time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. A. Johnson (K. Middleton gains possession),,,,Jump ball: J. Henson vs. A. Johnson (K. Middleton gains possession)
11:42.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
11:22.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by D. Saric),2,2-2,,
11:08.0,,,2-2,,K. Middleton misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by R. Covington,,2-2,,
11:02.0,D. Saric misses 3-pt shot from 26 ft,,2-2,,
10:56.0,Offensive rebound by A. Johnson,,2-2,,
10:48.0,D. Saric makes 2-pt shot from 1 ft,2,4-2,,
10:38.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by E. Bledsoe)
10:27.0,A. Johnson makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,6-4,,
10:19.0,,,6-4,,K. Middleton misses 3-pt shot from 26 ft
10:16.0,,,6-4,,Offensive rebound by M. Brogdon
10:01.0,,,6-4,,G. Antetokounmpo misses 3-pt shot from 27 ft
9:58.0,Defensive rebound by D. Saric,,6-4,,
9:53.0,,,6-4,,Personal foul by M. Brogdon (drawn by R. Covington)
9:50.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by R. Covington),2,8-4,,
9:38.0,Personal foul by T. Luwawu-Cabarrot (drawn by E. Bledsoe),,8-4,,
9:32.0,,,8-6,2,E. Bledsoe makes 2-pt shot from 19 ft
9:28.0,Shooting foul by E. Bledsoe (drawn by T. Luwawu-Cabarrot),,8-6,,
9:28.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,9-6,,
9:28.0,,,9-6,,T. Snell enters the game for E. Bledsoe
9:28.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,10-6,,
9:03.0,,,10-8,2,K. Middleton makes 2-pt shot from 14 ft
8:56.0,D. Saric misses 3-pt shot from 27 ft,,10-8,,
8:53.0,,,10-8,,Defensive rebound by G. Antetokounmpo
8:50.0,,,10-8,,M. Brogdon misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by A. Johnson,,10-8,,
8:40.0,D. Saric misses 3-pt shot from 27 ft,,10-8,,
8:36.0,,,10-8,,Defensive rebound by G. Antetokounmpo
8:30.0,,,10-8,,T. Snell misses 3-pt shot from 22 ft
8:27.0,Defensive rebound by R. Covington,,10-8,,
8:11.0,B. Simmons makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,12-8,,
8:00.0,Personal foul by B. Simmons (drawn by G. Antetokounmpo),,12-8,,
8:00.0,J. Anderson enters the game for R. Covington,,12-8,,
7:55.0,,,12-8,,G. Antetokounmpo misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by D. Saric,,12-8,,
7:49.0,J. Anderson makes 2-pt shot from 1 ft (assist by B. Simmons),2,14-8,,
7:48.0,,,14-8,,Milwaukee full timeout
7:48.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,14-8,,
7:23.0,,,14-10,2,J. Henson makes 2-pt shot from 4 ft (assist by M. Brogdon)
7:06.0,D. Saric misses 2-pt shot from 4 ft (block by J. Henson),,14-10,,
7:03.0,,,14-10,,Defensive rebound by J. Henson
7:02.0,Personal foul by J. Anderson (drawn by G. Antetokounmpo),,14-10,,
6:58.0,,,14-10,,M. Brogdon misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by B. Simmons,,14-10,,
6:34.0,B. Simmons misses 2-pt shot from 12 ft,,14-10,,
6:32.0,,,14-10,,Defensive rebound by M. Brogdon
6:25.0,,,14-10,,K. Middleton misses 2-pt shot at rim
6:25.0,Defensive rebound by D. Saric,,14-10,,
6:20.0,A. Johnson misses 2-pt shot from 7 ft (block by K. Middleton),,14-10,,
6:19.0,Offensive rebound by Team,,14-10,,
6:19.0,,,14-10,,S. Brown enters the game for G. Antetokounmpo
6:19.0,R. Holmes enters the game for A. Johnson,,14-10,,
6:18.0,J. Anderson misses 3-pt shot from 25 ft,,14-10,,
6:15.0,Offensive rebound by D. Saric,,14-10,,
6:09.0,D. Saric makes 2-pt shot from 5 ft,2,16-10,,
5:54.0,Personal foul by B. Simmons (drawn by J. Henson),,16-10,,
5:46.0,,,16-10,,Turnover by K. Middleton (bad pass; steal by J. Anderson)
5:43.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,18-10,,
5:40.0,,,18-10,,Turnover by M. Brogdon (lost ball; steal by T. McConnell)
5:36.0,Shooting foul by J. Henson (drawn by D. Saric),,18-10,,
5:36.0,D. Saric makes free throw 1 of 2,1,19-10,,
5:36.0,,,19-10,,M. Dellavedova enters the game for M. Brogdon
5:36.0,D. Saric makes free throw 2 of 2,1,20-10,,
5:27.0,,,20-12,2,S. Brown makes 2-pt shot at rim (assist by M. Dellavedova)
5:07.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,22-12,,
4:56.0,,,22-14,2,K. Middleton makes 2-pt shot from 15 ft
4:42.0,T. McConnell misses 2-pt shot from 18 ft,,22-14,,
4:38.0,,,22-14,,Defensive rebound by T. Snell
4:33.0,Personal foul by R. Holmes (drawn by K. Middleton),,22-14,,
4:33.0,,,22-14,,K. Middleton misses free throw 1 of 2
4:33.0,,,22-14,,Offensive rebound by Team
4:33.0,,,22-14,,T. Maker enters the game for J. Henson
4:33.0,,,22-15,1,K. Middleton makes free throw 2 of 2
4:13.0,D. Saric misses 3-pt shot from 26 ft,,22-15,,
4:09.0,,,22-15,,Defensive rebound by K. Middleton
4:03.0,,,22-18,3,T. Snell makes 3-pt shot from 26 ft (assist by K. Middleton)
4:02.0,Philadelphia full timeout,,22-18,,
4:02.0,T. Booker enters the game for J. Anderson,,22-18,,
4:02.0,J. Young enters the game for D. Saric,,22-18,,
4:02.0,R. Covington enters the game for B. Simmons,,22-18,,
3:40.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,24-18,,
3:15.0,,,24-18,,K. Middleton misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by T. Booker,,24-18,,
3:03.0,R. Holmes makes 2-pt shot at rim (assist by R. Covington),2,26-18,,
2:44.0,,,26-18,,Shooting foul by J. Young (drawn by K. Middleton)
2:44.0,,,26-19,1,K. Middleton makes free throw 1 of 2
2:44.0,,,26-20,1,K. Middleton makes free throw 2 of 2
2:32.0,T. McConnell makes 2-pt shot from 7 ft,2,28-20,,
2:09.0,,,28-20,,T. Snell misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by R. Covington,,28-20,,
2:03.0,Turnover by T. McConnell (bad pass; steal by K. Middleton),,28-20,,
1:58.0,,,28-20,,T. Snell misses 2-pt shot from 1 ft
1:54.0,,,28-20,,Offensive rebound by T. Snell
1:53.0,,,28-22,2,T. Snell makes 2-pt shot at rim
1:32.0,Turnover by R. Holmes (out of bounds lost ball),,28-22,,
1:32.0,,,28-22,,G. Antetokounmpo enters the game for K. Middleton
1:11.0,,,28-24,2,T. Maker makes 2-pt shot from 13 ft (assist by M. Dellavedova)
1:00.0,Shooting foul by M. Dellavedova (drawn by R. Covington),,28-24,,
1:00.0,R. Covington makes free throw 1 of 2,1,29-24,,
1:00.0,R. Covington makes free throw 2 of 2,1,30-24,,
