time,Phoenix,pts.away,score,pts.home,Minnesota
4:08.0,T. Daniels makes free throw 2 of 3,1,102-98,,
4:08.0,T. Warren enters the game for D. House,,102-98,,
4:08.0,T. Daniels makes free throw 3 of 3,1,103-98,,
3:47.0,,,103-98,,A. Wiggins misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by A. Len,,103-98,,
3:33.0,Phoenix full timeout,,103-98,,
3:21.0,T. Ulis misses 2-pt shot from 16 ft (block by J. Teague),,103-98,,
3:19.0,Offensive rebound by T. Ulis,,103-98,,
3:18.0,T. Ulis misses 2-pt shot from 12 ft,,103-98,,
3:18.0,,,103-98,,Defensive rebound by J. Butler
2:58.0,Personal foul by T. Ulis (drawn by J. Teague),,103-98,,
2:58.0,I. Canaan enters the game for T. Ulis,,103-98,,
2:50.0,,,103-98,,K. Towns misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by A. Len,,103-98,,
2:30.0,Turnover by I. Canaan (bad pass; steal by J. Butler),,103-98,,
2:28.0,,,103-100,2,J. Butler makes 2-pt shot at rim
2:08.0,T. Daniels misses 2-pt shot from 20 ft,,103-100,,
2:05.0,,,103-100,,Defensive rebound by T. Gibson
1:57.0,,,103-102,2,J. Teague makes 2-pt shot at rim
1:34.0,T. Warren misses 2-pt shot from 16 ft (block by A. Wiggins),,103-102,,
1:33.0,Offensive rebound by A. Len,,103-102,,
1:33.0,Turnover by Team (shot clock),,103-102,,
1:22.0,,,103-104,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
1:22.0,Phoenix full timeout,,103-104,,
1:18.0,Shooting foul by K. Towns (drawn by T. Warren),,103-104,,
1:18.0,T. Warren makes free throw 1 of 2,1,104-104,,
1:18.0,T. Warren makes free throw 2 of 2,1,105-104,,
1:08.0,,,105-104,,J. Butler misses 2-pt shot from 3 ft
1:06.0,,,105-104,,Offensive rebound by J. Butler
1:06.0,,,105-106,2,J. Butler makes 2-pt shot at rim
0:52.0,T. Warren misses 2-pt shot from 3 ft,,105-106,,
0:50.0,,,105-106,,Defensive rebound by Team
0:31.0,,,105-106,,J. Butler misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by D. Bender,,105-106,,
0:06.0,Shooting foul by J. Teague (drawn by I. Canaan),,105-106,,
0:06.0,I. Canaan makes free throw 1 of 3,1,106-106,,
0:06.0,I. Canaan makes free throw 2 of 3,1,107-106,,
0:06.0,I. Canaan makes free throw 3 of 3,1,108-106,,
0:06.0,,,108-106,,Minnesota full timeout
0:06.0,,,108-106,,J. Crawford enters the game for T. Gibson
0:06.0,D. House enters the game for I. Canaan,,108-106,,
0:06.0,J. Jackson enters the game for T. Daniels,,108-106,,
0:05.0,Personal take foul by J. Jackson (drawn by J. Teague),,108-106,,
0:05.0,,,108-106,,Minnesota full timeout
0:05.0,T. Daniels enters the game for D. Bender,,108-106,,
0:01.0,,,108-106,,J. Butler misses 2-pt shot from 15 ft (block by A. Len)
0:01.0,,,108-106,,Offensive rebound by Team
0:00.0,,,108-106,,J. Butler misses 2-pt shot from 15 ft
0:00.0,,,108-106,,Offensive rebound by Team
