time,Phoenix,pts.away,score,pts.home,Minnesota
1:07.0,,,20-23,,G. Dieng misses 2-pt shot at rim (block by D. Bender)
1:07.0,,,20-23,,Offensive rebound by Team
0:59.0,,,20-25,2,A. Wiggins makes 2-pt shot from 20 ft
0:35.0,D. Bender misses 2-pt shot from 5 ft,,20-25,,
0:33.0,,,20-25,,Defensive rebound by G. Dieng
0:28.0,,,20-25,,J. Crawford misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by T. Warren,,20-25,,
0:04.0,A. Len makes 2-pt shot from 2 ft (assist by I. Canaan),2,22-25,,
0:01.0,,,22-25,,A. Wiggins misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by D. Bender,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by I. Canaan (traveling),,22-25,,
11:26.0,,,22-25,,J. Crawford misses 2-pt shot from 20 ft
11:23.0,Defensive rebound by A. Len,,22-25,,
11:14.0,Turnover by T. Daniels (lost ball; steal by M. Georges-Hunt),,22-25,,
11:14.0,Personal foul by A. Len (drawn by M. Georges-Hunt),,22-25,,
11:03.0,,,22-25,,G. Dieng misses 3-pt shot from 22 ft
11:01.0,,,22-25,,Offensive rebound by K. Towns
10:58.0,,,22-28,3,J. Crawford makes 3-pt shot from 24 ft (assist by K. Towns)
10:39.0,Turnover by A. Len (out of bounds lost ball),,22-28,,
10:29.0,,,22-28,,G. Dieng misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by A. Len,,22-28,,
10:17.0,Turnover by D. Bender (bad pass; steal by G. Dieng),,22-28,,
10:04.0,,,22-28,,J. Crawford misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by A. Len,,22-28,,
9:49.0,D. Bender makes 3-pt shot from 24 ft (assist by I. Canaan),3,25-28,,
9:27.0,,,25-28,,K. Towns misses 2-pt shot from 8 ft
9:27.0,,,25-28,,Offensive rebound by Team
9:26.0,Personal foul by D. House (drawn by J. Crawford),,25-28,,
9:26.0,,,25-29,1,J. Crawford makes free throw 1 of 1
9:22.0,,,25-29,,Turnover by K. Towns (lost ball; steal by D. Bender)
9:13.0,I. Canaan misses 2-pt shot from 2 ft (block by G. Dieng),,25-29,,
9:10.0,Offensive rebound by A. Len,,25-29,,
9:09.0,Turnover by A. Len (lost ball; steal by T. Jones),,25-29,,
9:06.0,,,25-31,2,M. Georges-Hunt makes 2-pt shot from 1 ft (assist by J. Crawford)
8:51.0,D. Bender makes 2-pt shot from 6 ft,2,27-31,,
8:38.0,,,27-31,,Shooting foul by D. Bender (drawn by M. Georges-Hunt)
8:38.0,,,27-31,,M. Georges-Hunt misses free throw 1 of 2
8:38.0,,,27-31,,Offensive rebound by Team
8:38.0,,,27-31,,M. Georges-Hunt misses free throw 2 of 2
8:36.0,,,27-31,,Offensive rebound by Team
8:27.0,,,27-31,,M. Georges-Hunt misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by A. Len,,27-31,,
8:21.0,Shooting foul by J. Crawford (drawn by D. House),,27-31,,
8:21.0,D. House makes free throw 1 of 2,1,28-31,,
8:21.0,,,28-31,,J. Butler enters the game for M. Georges-Hunt
8:21.0,D. House makes free throw 2 of 2,1,29-31,,
8:08.0,J. Jackson enters the game for D. House,,29-31,,
7:57.0,,,29-33,2,J. Butler makes 2-pt shot at rim
7:47.0,Offensive foul by A. Len (drawn by T. Jones),,29-33,,
7:47.0,Turnover by A. Len (offensive foul),,29-33,,
7:47.0,,,29-33,,T. Gibson enters the game for G. Dieng
7:47.0,T. Chandler enters the game for A. Len,,29-33,,
7:36.0,,,29-33,,K. Towns misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by J. Jackson,,29-33,,
7:28.0,Turnover by J. Jackson (lost ball; steal by T. Jones),,29-33,,
7:25.0,,,29-35,2,T. Jones makes 2-pt shot from 1 ft
7:24.0,Phoenix full timeout,,29-35,,
7:24.0,,,29-35,,J. Teague enters the game for T. Jones
7:12.0,T. Daniels misses 3-pt shot from 24 ft,,29-35,,
7:10.0,,,29-35,,Defensive rebound by T. Gibson
6:56.0,,,29-35,,K. Towns misses 2-pt shot from 8 ft
6:52.0,Defensive rebound by T. Chandler,,29-35,,
6:41.0,Turnover by I. Canaan (traveling),,29-35,,
6:41.0,T. Warren enters the game for T. Daniels,,29-35,,
6:25.0,,,29-35,,T. Gibson misses 2-pt shot from 5 ft
6:22.0,Defensive rebound by T. Chandler,,29-35,,
6:16.0,Shooting foul by J. Teague (drawn by J. Jackson),,29-35,,
6:16.0,J. Jackson makes free throw 1 of 2,1,30-35,,
6:16.0,,,30-35,,A. Wiggins enters the game for J. Crawford
6:16.0,T. Ulis enters the game for I. Canaan,,30-35,,
6:16.0,M. Chriss enters the game for D. Bender,,30-35,,
6:16.0,J. Jackson makes free throw 2 of 2,1,31-35,,
5:59.0,,,31-35,,J. Butler misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by M. Chriss,,31-35,,
5:52.0,J. Jackson makes 2-pt shot from 1 ft (assist by M. Chriss),2,33-35,,
5:52.0,Shooting foul by J. Butler (drawn by J. Jackson),,33-35,,
5:52.0,J. Jackson misses free throw 1 of 1,,33-35,,
5:50.0,,,33-35,,Defensive rebound by T. Gibson
5:36.0,,,33-37,2,T. Gibson makes 2-pt shot from 17 ft (assist by J. Butler)
5:26.0,Turnover by T. Ulis (bad pass),,33-37,,
5:11.0,,,33-39,2,J. Teague makes 2-pt shot from 19 ft
4:55.0,T. Warren misses 2-pt shot from 10 ft,,33-39,,
4:53.0,,,33-39,,Defensive rebound by K. Towns
4:42.0,,,33-39,,A. Wiggins misses 3-pt shot from 23 ft
4:40.0,Defensive rebound by T. Ulis,,33-39,,
4:35.0,T. Warren misses 2-pt shot from 10 ft,,33-39,,
4:31.0,,,33-39,,Defensive rebound by K. Towns
4:23.0,,,33-42,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
4:21.0,Phoenix full timeout,,33-42,,
4:09.0,J. Jackson misses 3-pt shot from 25 ft,,33-42,,
4:08.0,,,33-42,,Defensive rebound by Team
3:53.0,,,33-42,,J. Butler misses 2-pt shot from 12 ft
3:50.0,Defensive rebound by T. Warren,,33-42,,
3:48.0,T. Ulis misses 3-pt shot from 25 ft,,33-42,,
3:48.0,Offensive rebound by J. Jackson,,33-42,,
3:45.0,J. Jackson makes 2-pt shot from 1 ft,2,35-42,,
3:23.0,,,35-42,,Shooting foul by T. Chandler (drawn by K. Towns)
3:23.0,,,35-43,1,K. Towns makes free throw 1 of 2
3:23.0,,,35-44,1,K. Towns makes free throw 2 of 2
2:59.0,T. Ulis misses 2-pt shot from 19 ft (block by J. Teague),,35-44,,
2:59.0,Offensive rebound by Team,,35-44,,
2:59.0,Turnover by Team (shot clock),,35-44,,
2:40.0,,,35-44,,T. Gibson misses 2-pt shot from 1 ft
2:36.0,,,35-44,,Offensive rebound by T. Gibson
2:36.0,,,35-46,2,T. Gibson makes 2-pt shot at rim
2:17.0,M. Chriss misses 2-pt shot from 11 ft,,35-46,,
2:15.0,,,35-46,,Defensive rebound by K. Towns
2:11.0,,,35-48,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
1:49.0,J. Jackson misses 2-pt shot from 11 ft,,35-48,,
1:47.0,,,35-48,,Defensive rebound by Team
1:47.0,Loose ball foul by J. Jackson (drawn by T. Gibson),,35-48,,
1:47.0,,,35-49,1,T. Gibson makes free throw 1 of 2
1:47.0,J. Dudley enters the game for M. Chriss,,35-49,,
1:47.0,,,35-50,1,T. Gibson makes free throw 2 of 2
1:32.0,Shooting foul by K. Towns (drawn by T. Warren),,35-50,,
1:32.0,T. Warren makes free throw 1 of 2,1,36-50,,
1:32.0,T. Warren makes free throw 2 of 2,1,37-50,,
1:26.0,,,37-50,,Offensive charge foul by A. Wiggins (drawn by T. Ulis)
1:26.0,,,37-50,,Turnover by A. Wiggins (offensive foul)
1:21.0,T. Warren misses 2-pt shot from 21 ft,,37-50,,
1:18.0,,,37-50,,Defensive rebound by J. Teague
1:08.0,,,37-50,,J. Teague misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by J. Jackson,,37-50,,
1:03.0,Shooting foul by A. Wiggins (drawn by J. Jackson),,37-50,,
1:03.0,J. Jackson makes free throw 1 of 2,1,38-50,,
1:03.0,A. Len enters the game for T. Chandler,,38-50,,
