time,Toronto,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. S. Ibaka (K. Lowry gains possession),,,,Jump ball: Z. Pachulia vs. S. Ibaka (K. Lowry gains possession)
11:41.0,Shooting foul by K. Thompson (drawn by S. Ibaka),,0-0,,
11:41.0,S. Ibaka makes free throw 1 of 2,1,1-0,,
11:41.0,S. Ibaka makes free throw 2 of 2,1,2-0,,
11:22.0,,,2-2,2,K. Durant makes 2-pt shot from 7 ft
11:10.0,S. Ibaka misses 3-pt shot from 24 ft,,2-2,,
11:10.0,,,2-2,,Defensive rebound by Z. Pachulia
10:59.0,Personal foul by N. Powell (drawn by Z. Pachulia),,2-2,,
10:54.0,,,2-2,,K. Thompson misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by S. Ibaka,,2-2,,
10:49.0,Turnover by K. Lowry (lost ball; steal by S. Curry),,2-2,,
10:42.0,,,2-2,,S. Curry misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by Team,,2-2,,
10:18.0,,,2-2,,Personal foul by S. Curry (drawn by K. Lowry)
10:12.0,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry),2,4-2,,
9:54.0,,,4-2,,K. Thompson misses 2-pt shot from 2 ft (block by S. Ibaka)
9:48.0,Defensive rebound by P. Siakam,,4-2,,
9:48.0,Shooting foul by Z. Pachulia (drawn by K. Lowry),,4-2,,
9:48.0,K. Lowry makes free throw 1 of 3,1,5-2,,
9:48.0,K. Lowry makes free throw 2 of 3,1,6-2,,
9:48.0,K. Lowry makes free throw 3 of 3,1,7-2,,
9:37.0,,,7-5,3,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson)
9:24.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry),2,9-5,,
9:13.0,,,9-7,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson)
8:52.0,N. Powell makes 2-pt shot at rim (assist by P. Siakam),2,11-7,,
8:39.0,,,11-9,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
8:12.0,P. Siakam misses 3-pt shot from 22 ft,,11-9,,
8:12.0,Offensive rebound by D. DeRozan,,11-9,,
8:12.0,Turnover by Team (shot clock),,11-9,,
7:59.0,,,11-9,,Shooting foul by N. Powell (drawn by S. Curry)
7:59.0,,,11-10,1,S. Curry makes free throw 1 of 2
7:59.0,D. Wright enters the game for N. Powell,,11-10,,
7:59.0,,,11-11,1,S. Curry makes free throw 2 of 2
7:48.0,,,11-11,,Personal foul by K. Durant (drawn by K. Lowry)
7:42.0,S. Ibaka makes 3-pt shot from 23 ft (assist by D. DeRozan),3,14-11,,
7:34.0,,,14-11,,S. Curry misses 2-pt shot from 6 ft
7:28.0,,,14-11,,Offensive rebound by D. Green
7:27.0,,,14-11,,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Wright)
7:20.0,Defensive rebound by S. Ibaka,,14-11,,
7:18.0,K. Lowry misses 3-pt shot from 25 ft,,14-11,,
7:16.0,,,14-11,,Defensive rebound by Z. Pachulia
7:16.0,,,14-11,,Shooting foul by D. Wright (drawn by D. Green)
7:16.0,,,14-12,1,D. Green makes free throw 1 of 2
7:16.0,,,14-13,1,D. Green makes free throw 2 of 2
7:08.0,Turnover by P. Siakam (step out of bounds),,14-13,,
6:58.0,,,14-13,,Turnover by K. Thompson (bad pass; steal by K. Lowry)
6:41.0,S. Ibaka misses 3-pt shot from 26 ft,,14-13,,
6:37.0,,,14-13,,Defensive rebound by Z. Pachulia
6:34.0,,,14-13,,Turnover by D. Green (bad pass; steal by D. DeRozan)
6:29.0,,,14-13,,Golden State full timeout
6:28.0,D. DeRozan makes 2-pt shot from 2 ft,2,16-13,,
6:23.0,,,16-15,2,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson)
6:03.0,P. Siakam misses 2-pt shot from 5 ft,,16-15,,
5:59.0,,,16-15,,Defensive rebound by Z. Pachulia
5:57.0,,,16-18,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
5:38.0,S. Ibaka misses 3-pt shot from 25 ft,,16-18,,
5:35.0,,,16-18,,Defensive rebound by K. Thompson
5:18.0,,,16-20,2,S. Curry makes 2-pt shot from 1 ft
5:06.0,S. Ibaka makes 2-pt shot from 11 ft,2,18-20,,
4:54.0,,,18-20,,Shooting foul by S. Ibaka (drawn by Z. Pachulia)
4:54.0,,,18-20,,Z. Pachulia misses free throw 1 of 2
4:54.0,,,18-20,,Offensive rebound by Team
4:54.0,,,18-20,,A. Iguodala enters the game for K. Durant
4:54.0,O. Anunoby enters the game for P. Siakam,,18-20,,
4:54.0,,,18-21,1,Z. Pachulia makes free throw 2 of 2
4:45.0,O. Anunoby misses 3-pt shot from 22 ft,,18-21,,
4:42.0,,,18-21,,Defensive rebound by D. Green
4:41.0,,,18-21,,Turnover by D. Green (bad pass; steal by D. DeRozan)
4:35.0,,,18-21,,J. Bell enters the game for Z. Pachulia
4:35.0,,,18-21,,P. McCaw enters the game for K. Thompson
4:28.0,S. Ibaka makes 2-pt shot from 7 ft (assist by D. DeRozan),2,20-21,,
4:18.0,,,20-23,2,P. McCaw makes 2-pt shot from 2 ft (assist by D. Green)
4:03.0,Turnover by O. Anunoby (traveling),,20-23,,
3:52.0,,,20-23,,S. Curry misses 3-pt shot from 25 ft
3:45.0,,,20-23,,Offensive rebound by D. Green
3:38.0,,,20-23,,S. Curry misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by D. Wright,,20-23,,
3:17.0,K. Lowry misses 3-pt shot from 25 ft,,20-23,,
3:12.0,,,20-23,,Defensive rebound by D. Green
3:08.0,,,20-23,,D. Green misses 2-pt shot from 7 ft
3:04.0,,,20-23,,Offensive rebound by J. Bell
3:04.0,,,20-23,,J. Bell misses 2-pt shot from 2 ft (block by K. Lowry)
3:04.0,,,20-23,,Offensive rebound by D. Green
3:04.0,C. Miles enters the game for K. Lowry,,20-23,,
2:55.0,,,20-25,2,S. Curry makes 2-pt shot from 18 ft
2:45.0,Toronto full timeout,,20-25,,
2:45.0,J. Poeltl enters the game for S. Ibaka,,20-25,,
2:39.0,D. DeRozan makes 2-pt shot from 14 ft,2,22-25,,
2:39.0,Shooting foul by J. Bell (drawn by D. DeRozan),,22-25,,
2:39.0,D. DeRozan misses free throw 1 of 1,,22-25,,
2:36.0,Offensive rebound by J. Poeltl,,22-25,,
2:20.0,Turnover by D. Wright (bad pass; steal by D. Green),,22-25,,
2:13.0,,,22-25,,Turnover by J. Bell (bad pass; steal by C. Miles)
1:55.0,D. DeRozan misses 2-pt shot from 18 ft,,22-25,,
1:51.0,Offensive rebound by J. Poeltl,,22-25,,
1:48.0,C. Miles misses 3-pt shot from 30 ft,,22-25,,
1:45.0,,,22-25,,Defensive rebound by S. Curry
1:43.0,,,22-25,,S. Curry misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by C. Miles,,22-25,,
1:35.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Miles),2,24-25,,
1:20.0,,,24-27,2,J. Bell makes 2-pt shot from 1 ft (assist by A. Iguodala)
1:04.0,Turnover by D. DeRozan (bad pass; steal by J. Bell),,24-27,,
0:52.0,,,24-27,,D. Green misses 3-pt shot from 29 ft
0:50.0,Defensive rebound by Team,,24-27,,
0:50.0,F. VanVleet enters the game for D. DeRozan,,24-27,,
0:26.0,J. Poeltl makes 2-pt shot from 6 ft (assist by C. Miles),2,26-27,,
0:05.0,,,26-27,,S. Curry misses 3-pt shot from 26 ft
0:03.0,,,26-27,,Offensive rebound by D. Green
0:03.0,,,26-29,2,D. Green makes 2-pt shot at rim
0:00.0,D. Wright misses 3-pt shot from 29 ft,,26-29,,
0:00.0,Offensive rebound by Team,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-29,,D. West misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by J. Poeltl,,26-29,,
11:30.0,C. Miles misses 3-pt shot from 24 ft,,26-29,,
11:25.0,,,26-29,,Defensive rebound by K. Durant
11:23.0,,,26-29,,K. Durant misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by J. Poeltl,,26-29,,
11:12.0,C. Miles makes 3-pt shot from 27 ft (assist by F. VanVleet),3,29-29,,
10:54.0,,,29-29,,K. Thompson misses 2-pt shot from 11 ft
10:50.0,Defensive rebound by F. VanVleet,,29-29,,
10:47.0,Shooting foul by D. West (drawn by C. Miles),,29-29,,
10:47.0,C. Miles makes free throw 1 of 2,1,30-29,,
10:47.0,C. Miles makes free throw 2 of 2,1,31-29,,
10:33.0,,,31-32,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston)
10:10.0,C. Miles misses 3-pt shot from 24 ft,,31-32,,
10:05.0,,,31-32,,Defensive rebound by K. Thompson
9:59.0,,,31-32,,Turnover by K. Thompson (bad pass)
9:58.0,Turnover by D. Wright (bad pass; steal by D. West),,31-32,,
9:38.0,,,31-34,2,D. West makes 2-pt shot from 1 ft (assist by K. Thompson)
9:27.0,,,31-34,,Personal foul by A. Iguodala (drawn by J. Poeltl)
9:13.0,D. Wright misses 3-pt shot from 26 ft (block by D. West),,31-34,,
9:11.0,Offensive rebound by O. Anunoby,,31-34,,
9:11.0,Turnover by Team (shot clock),,31-34,,
8:53.0,,,31-36,2,K. Durant makes 2-pt shot from 8 ft
8:49.0,N. Powell enters the game for D. Wright,,31-36,,
8:46.0,C. Miles makes 3-pt shot from 26 ft (assist by N. Powell),3,34-36,,
8:20.0,,,34-38,2,K. Thompson makes 2-pt shot from 18 ft
7:56.0,N. Powell misses 3-pt shot from 25 ft,,34-38,,
7:44.0,Offensive rebound by J. Poeltl,,34-38,,
7:44.0,J. Poeltl makes 2-pt shot at rim,2,36-38,,
7:35.0,,,36-40,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. West)
7:18.0,Offensive charge foul by J. Poeltl (drawn by S. Livingston),,36-40,,
7:18.0,Turnover by J. Poeltl (offensive foul),,36-40,,
7:18.0,K. Lowry enters the game for F. VanVleet,,36-40,,
7:08.0,,,36-40,,Turnover by D. West (bad pass)
6:52.0,C. Miles makes 2-pt shot from 11 ft,2,38-40,,
6:37.0,,,38-40,,K. Durant misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by C. Miles,,38-40,,
6:29.0,C. Miles misses 3-pt shot from 31 ft,,38-40,,
6:24.0,Offensive rebound by O. Anunoby,,38-40,,
6:24.0,O. Anunoby misses 2-pt shot at rim,,38-40,,
6:23.0,Offensive rebound by O. Anunoby,,38-40,,
6:21.0,O. Anunoby makes 3-pt shot from 23 ft (assist by N. Powell),3,41-40,,
6:21.0,,,41-40,,Golden State full timeout
6:21.0,,,41-40,,S. Curry enters the game for D. West
6:21.0,,,41-40,,D. Green enters the game for A. Iguodala
6:21.0,D. DeRozan enters the game for O. Anunoby,,41-40,,
6:12.0,Personal foul by N. Powell (drawn by K. Thompson),,41-40,,
6:05.0,,,41-40,,K. Durant misses 2-pt shot from 1 ft (block by J. Poeltl)
5:57.0,Defensive rebound by N. Powell,,41-40,,
5:51.0,K. Lowry makes 2-pt shot at rim (assist by D. DeRozan),2,43-40,,
5:39.0,,,43-43,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
5:25.0,K. Lowry misses 2-pt shot from 7 ft,,43-43,,
5:19.0,Offensive rebound by J. Poeltl,,43-43,,
5:19.0,J. Poeltl misses 2-pt shot at rim,,43-43,,
5:17.0,,,43-43,,Defensive rebound by S. Curry
5:14.0,,,43-46,3,K. Durant makes 3-pt shot from 23 ft (assist by S. Curry)
5:02.0,Turnover by D. DeRozan (bad pass; steal by K. Durant),,43-46,,
4:56.0,,,43-46,,Turnover by S. Curry (bad pass; steal by D. DeRozan)
4:51.0,C. Miles misses 3-pt shot from 22 ft,,43-46,,
4:43.0,Offensive rebound by J. Poeltl,,43-46,,
4:26.0,Turnover by K. Lowry (bad pass; steal by D. Green),,43-46,,
4:20.0,,,43-49,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
4:19.0,Toronto full timeout,,43-49,,
4:19.0,D. Wright enters the game for C. Miles,,43-49,,
4:19.0,S. Ibaka enters the game for N. Powell,,43-49,,
4:19.0,P. Siakam enters the game for J. Poeltl,,43-49,,
4:12.0,D. DeRozan makes 2-pt shot from 13 ft (assist by K. Lowry),2,45-49,,
3:59.0,,,45-49,,K. Thompson misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by D. Wright,,45-49,,
3:50.0,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry),2,47-49,,
3:32.0,,,47-49,,Shooting foul by D. Wright (drawn by K. Durant)
3:32.0,,,47-50,1,K. Durant makes free throw 1 of 2
3:32.0,,,47-50,,A. Iguodala enters the game for S. Livingston
3:32.0,,,47-51,1,K. Durant makes free throw 2 of 2
3:12.0,D. DeRozan misses 2-pt shot from 16 ft,,47-51,,
3:07.0,,,47-51,,Defensive rebound by A. Iguodala
3:03.0,,,47-53,2,D. Green makes 2-pt shot from 10 ft (assist by A. Iguodala)
2:51.0,Turnover by S. Ibaka (traveling),,47-53,,
2:47.0,,,47-55,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
2:22.0,K. Lowry misses 2-pt shot from 10 ft,,47-55,,
2:17.0,,,47-55,,Defensive rebound by K. Thompson
2:15.0,,,47-55,,Turnover by D. Green (bad pass; steal by D. DeRozan)
2:12.0,D. Wright misses 3-pt shot from 25 ft,,47-55,,
2:12.0,,,47-55,,Defensive rebound by Team
1:57.0,,,47-55,,K. Durant misses 2-pt shot from 17 ft
1:49.0,Defensive rebound by S. Ibaka,,47-55,,
1:42.0,Shooting foul by S. Curry (drawn by D. DeRozan),,47-55,,
1:42.0,D. DeRozan makes free throw 1 of 2,1,48-55,,
1:42.0,D. DeRozan makes free throw 2 of 2,1,49-55,,
1:31.0,,,49-55,,K. Durant misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by P. Siakam,,49-55,,
1:24.0,K. Lowry misses 3-pt shot from 26 ft,,49-55,,
1:19.0,,,49-55,,Defensive rebound by K. Thompson
1:19.0,,,49-55,,Shooting foul by P. Siakam (drawn by S. Curry)
1:19.0,,,49-56,1,S. Curry makes free throw 1 of 2
1:19.0,,,49-57,1,S. Curry makes free throw 2 of 2
1:03.0,S. Ibaka misses 2-pt shot from 15 ft,,49-57,,
0:58.0,,,49-57,,Defensive rebound by K. Durant
0:57.0,Personal foul by K. Lowry (drawn by S. Curry),,49-57,,
0:57.0,,,49-58,1,S. Curry makes free throw 2 of 2
0:57.0,,,49-59,1,S. Curry makes free throw 1 of 2
0:37.0,D. DeRozan misses 2-pt shot from 12 ft,,49-59,,
0:29.0,,,49-59,,Defensive rebound by D. Green
0:27.0,,,49-59,,Turnover by D. Green (bad pass; steal by D. DeRozan)
0:24.0,P. Siakam makes 2-pt shot from 2 ft (assist by D. DeRozan),2,51-59,,
0:06.0,,,51-61,2,K. Thompson makes 2-pt shot from 21 ft (assist by S. Curry)
0:02.0,K. Lowry makes 2-pt shot from 2 ft,2,53-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,53-64,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant)
11:27.0,S. Ibaka misses 3-pt shot from 26 ft,,53-64,,
11:22.0,,,53-64,,Defensive rebound by K. Thompson
11:18.0,,,53-67,3,K. Durant makes 3-pt shot from 25 ft (assist by K. Thompson)
10:57.0,D. DeRozan makes 2-pt shot from 12 ft,2,55-67,,
10:42.0,,,55-69,2,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia)
10:28.0,P. Siakam makes 2-pt shot from 2 ft (assist by N. Powell),2,57-69,,
10:15.0,,,57-69,,Z. Pachulia misses 2-pt shot from 6 ft (block by S. Ibaka)
10:11.0,Defensive rebound by D. DeRozan,,57-69,,
10:07.0,S. Ibaka misses 3-pt shot from 24 ft,,57-69,,
10:00.0,,,57-69,,Defensive rebound by K. Thompson
9:54.0,,,57-71,2,K. Durant makes 2-pt shot from 14 ft (assist by D. Green)
9:26.0,Shooting foul by K. Durant (drawn by S. Ibaka),,57-71,,
9:26.0,S. Ibaka makes free throw 1 of 2,1,58-71,,
9:26.0,S. Ibaka makes free throw 2 of 2,1,59-71,,
9:21.0,,,59-71,,Turnover by S. Curry (bad pass)
9:15.0,K. Lowry misses 3-pt shot from 25 ft,,59-71,,
9:09.0,,,59-71,,Defensive rebound by D. Green
9:06.0,Personal foul by K. Lowry (drawn by K. Thompson),,59-71,,
8:55.0,,,59-71,,K. Durant misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by Team,,59-71,,
8:31.0,S. Ibaka makes 2-pt shot from 1 ft,2,61-71,,
8:24.0,,,61-73,2,S. Curry makes 2-pt shot from 2 ft
8:12.0,P. Siakam makes 2-pt shot from 3 ft (assist by K. Lowry),2,63-73,,
8:12.0,,,63-73,,Golden State full timeout
8:02.0,,,63-75,2,K. Durant makes 2-pt shot from 14 ft (assist by Z. Pachulia)
7:47.0,Turnover by D. DeRozan (traveling),,63-75,,
7:32.0,,,63-75,,K. Durant misses 2-pt shot from 18 ft (block by K. Lowry)
7:32.0,Defensive rebound by K. Lowry,,63-75,,
7:27.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,65-75,,
7:13.0,,,65-75,,Turnover by K. Thompson (bad pass; steal by N. Powell)
7:03.0,P. Siakam makes 2-pt shot at rim (assist by N. Powell),2,67-75,,
6:46.0,,,67-75,,Offensive charge foul by K. Thompson (drawn by K. Lowry)
6:46.0,,,67-75,,Turnover by K. Thompson (offensive foul)
6:46.0,,,67-75,,A. Iguodala enters the game for K. Durant
6:27.0,P. Siakam makes 3-pt shot from 25 ft (assist by D. DeRozan),3,70-75,,
6:07.0,,,70-75,,Turnover by Z. Pachulia (turnover)
5:49.0,S. Ibaka misses 2-pt shot from 18 ft,,70-75,,
5:45.0,,,70-75,,Defensive rebound by A. Iguodala
5:38.0,,,70-75,,D. Green misses 2-pt shot from 8 ft
5:33.0,Defensive rebound by S. Ibaka,,70-75,,
5:29.0,P. Siakam makes 3-pt shot from 23 ft (assist by D. DeRozan),3,73-75,,
5:07.0,,,73-75,,Turnover by D. Green (bad pass; steal by D. DeRozan)
