time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. K. Porzingis (J. Jack gains possession),,,,Jump ball: T. Zeller vs. K. Porzingis (J. Jack gains possession)
11:39.0,Shooting foul by T. Zeller (drawn by L. Thomas),,0-0,,
11:39.0,L. Thomas makes free throw 1 of 2,1,1-0,,
11:39.0,L. Thomas makes free throw 2 of 2,1,2-0,,
11:26.0,,,2-0,,A. Crabbe misses 3-pt shot from 27 ft
11:22.0,Defensive rebound by E. Kanter,,2-0,,
11:04.0,E. Kanter misses 2-pt shot from 5 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by S. Dinwiddie
10:40.0,,,2-3,3,S. Dinwiddie makes 3-pt shot from 25 ft
10:22.0,Turnover by K. Porzingis (lost ball; steal by R. Hollis-Jefferson),,2-3,,
10:19.0,,,2-5,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
10:07.0,C. Lee makes 2-pt shot from 17 ft,2,4-5,,
9:43.0,,,4-7,2,R. Hollis-Jefferson makes 2-pt shot from 10 ft (assist by D. Carroll)
9:27.0,K. Porzingis makes 2-pt shot from 11 ft,2,6-7,,
9:16.0,,,6-9,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
9:16.0,,,6-9,,Shooting foul by K. Porzingis (drawn by R. Hollis-Jefferson)
9:16.0,,,6-10,1,R. Hollis-Jefferson makes free throw 1 of 1
9:04.0,C. Lee makes 2-pt shot from 18 ft,2,8-10,,
8:48.0,,,8-10,,S. Dinwiddie misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by E. Kanter,,8-10,,
8:40.0,K. Porzingis makes 2-pt shot at rim (assist by J. Jack),2,10-10,,
8:21.0,,,10-10,,A. Crabbe misses 3-pt shot from 27 ft
8:17.0,Defensive rebound by K. Porzingis,,10-10,,
8:14.0,L. Thomas misses 2-pt shot from 3 ft (block by S. Dinwiddie),,10-10,,
8:14.0,Offensive rebound by Team,,10-10,,
8:07.0,J. Jack makes 3-pt shot from 25 ft (assist by K. Porzingis),3,13-10,,
7:43.0,Personal foul by L. Thomas (drawn by T. Zeller),,13-10,,
7:30.0,,,13-10,,D. Carroll misses 2-pt shot from 7 ft
7:27.0,Defensive rebound by C. Lee,,13-10,,
7:22.0,K. Porzingis misses 2-pt shot from 3 ft,,13-10,,
7:21.0,,,13-10,,Defensive rebound by T. Zeller
7:06.0,,,13-12,2,D. Carroll makes 2-pt shot from 1 ft (assist by T. Zeller)
6:49.0,K. Porzingis misses 2-pt shot from 14 ft,,13-12,,
6:49.0,Offensive rebound by Team,,13-12,,
6:49.0,,,13-12,,Brooklyn full timeout
6:49.0,,,13-12,,C. LeVert enters the game for A. Crabbe
6:43.0,C. Lee makes 2-pt shot from 15 ft (assist by J. Jack),2,15-12,,
6:18.0,Personal foul by L. Thomas (drawn by D. Carroll),,15-12,,
6:18.0,D. McDermott enters the game for L. Thomas,,15-12,,
6:10.0,,,15-14,2,T. Zeller makes 2-pt shot from 1 ft (assist by C. LeVert)
5:59.0,C. Lee misses 2-pt shot from 12 ft,,15-14,,
5:56.0,,,15-14,,Defensive rebound by S. Dinwiddie
5:52.0,,,15-14,,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Porzingis)
5:47.0,D. McDermott misses 3-pt shot from 26 ft,,15-14,,
5:44.0,,,15-14,,Defensive rebound by T. Zeller
5:35.0,,,15-17,3,C. LeVert makes 3-pt shot from 26 ft
5:14.0,E. Kanter misses 2-pt shot from 2 ft,,15-17,,
5:10.0,,,15-17,,Defensive rebound by S. Dinwiddie
5:09.0,,,15-17,,Turnover by S. Dinwiddie (bad pass)
5:09.0,,,15-17,,Q. Acy enters the game for R. Hollis-Jefferson
5:09.0,,,15-17,,J. Allen enters the game for T. Zeller
4:41.0,D. McDermott makes 3-pt shot from 23 ft (assist by K. Porzingis),3,18-17,,
4:28.0,,,18-17,,Turnover by S. Dinwiddie (turnover)
4:28.0,,,18-17,,J. Harris enters the game for D. Carroll
4:28.0,F. Ntilikina enters the game for J. Jack,,18-17,,
4:20.0,K. Porzingis misses 3-pt shot from 28 ft,,18-17,,
4:17.0,,,18-17,,Defensive rebound by C. LeVert
3:59.0,,,18-17,,J. Allen misses 2-pt shot from 4 ft
3:57.0,Defensive rebound by E. Kanter,,18-17,,
3:52.0,E. Kanter makes 2-pt shot from 4 ft (assist by F. Ntilikina),2,20-17,,
3:52.0,Shooting foul by J. Allen (drawn by E. Kanter),,20-17,,
3:52.0,,,20-17,,A. Crabbe enters the game for S. Dinwiddie
3:52.0,E. Kanter makes free throw 1 of 1,1,21-17,,
3:37.0,Personal foul by E. Kanter (drawn by C. LeVert),,21-17,,
3:37.0,K. O'Quinn enters the game for E. Kanter,,21-17,,
3:34.0,,,21-17,,Turnover by C. LeVert (lost ball; steal by K. O'Quinn)
3:27.0,,,21-17,,Shooting block foul by J. Allen (drawn by K. Porzingis)
3:27.0,K. Porzingis makes free throw 1 of 2,1,22-17,,
3:27.0,K. Porzingis makes free throw 2 of 2,1,23-17,,
3:08.0,,,23-17,,J. Harris misses 3-pt shot from 26 ft
3:05.0,,,23-17,,Offensive rebound by Q. Acy
3:03.0,,,23-17,,Turnover by J. Allen (lost ball; steal by F. Ntilikina)
2:58.0,K. Porzingis makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,25-17,,
2:41.0,,,25-17,,C. LeVert misses 3-pt shot from 26 ft
2:38.0,,,25-17,,Offensive rebound by Q. Acy
2:35.0,,,25-17,,J. Harris misses 3-pt shot from 26 ft
2:32.0,,,25-17,,Offensive rebound by C. LeVert
2:29.0,,,25-20,3,C. LeVert makes 3-pt shot from 23 ft
2:18.0,New York full timeout,,25-20,,
2:18.0,R. Baker enters the game for C. Lee,,25-20,,
2:18.0,M. Beasley enters the game for K. Porzingis,,25-20,,
2:12.0,D. McDermott misses 2-pt shot from 7 ft,,25-20,,
2:08.0,,,25-20,,Defensive rebound by J. Allen
2:00.0,,,25-22,2,J. Harris makes 2-pt shot from 1 ft (assist by C. LeVert)
1:43.0,R. Baker makes 3-pt shot from 23 ft (assist by M. Beasley),3,28-22,,
1:32.0,,,28-22,,A. Crabbe misses 2-pt shot from 13 ft
1:29.0,Defensive rebound by R. Baker,,28-22,,
1:25.0,R. Baker misses 3-pt shot from 26 ft,,28-22,,
1:22.0,Offensive rebound by F. Ntilikina,,28-22,,
1:15.0,F. Ntilikina misses 3-pt shot from 25 ft,,28-22,,
1:12.0,,,28-22,,Defensive rebound by Q. Acy
0:55.0,,,28-22,,J. Allen misses 2-pt shot from 2 ft (block by R. Baker)
0:51.0,,,28-22,,Offensive rebound by C. LeVert
0:49.0,Personal foul by M. Beasley (drawn by C. LeVert),,28-22,,
0:49.0,,,28-23,1,C. LeVert makes free throw 1 of 2
0:49.0,,,28-24,1,C. LeVert makes free throw 2 of 2
0:38.0,,,28-24,,Personal foul by C. LeVert (drawn by F. Ntilikina)
0:30.0,M. Beasley makes 2-pt shot from 13 ft (assist by F. Ntilikina),2,30-24,,
0:25.0,,,30-26,2,J. Harris makes 2-pt shot from 1 ft (assist by C. LeVert)
0:07.0,M. Beasley misses 3-pt shot from 26 ft,,30-26,,
0:03.0,Offensive rebound by K. O'Quinn,,30-26,,
0:03.0,Shooting foul by J. Allen (drawn by K. O'Quinn),,30-26,,
0:03.0,K. O'Quinn makes free throw 1 of 2,1,31-26,,
0:03.0,,,31-26,,T. Zeller enters the game for J. Allen
0:03.0,K. O'Quinn makes free throw 2 of 2,1,32-26,,
0:00.0,,,32-26,,C. LeVert misses 3-pt shot from 35 ft
0:00.0,,,32-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,32-26,,Q. Acy misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by K. O'Quinn,,32-26,,
11:24.0,K. O'Quinn misses 2-pt shot from 12 ft,,32-26,,
11:19.0,,,32-26,,Defensive rebound by A. Crabbe
11:19.0,Personal foul by F. Ntilikina (drawn by C. LeVert),,32-26,,
11:03.0,,,32-26,,Shooting foul by K. O'Quinn (drawn by T. Mozgov)
11:03.0,,,32-27,1,T. Mozgov makes free throw 1 of 2
11:03.0,,,32-27,,T. Mozgov misses free throw 2 of 2
10:59.0,Defensive rebound by M. Beasley,,32-27,,
10:45.0,M. Beasley makes 2-pt shot from 4 ft,2,34-27,,
10:31.0,,,34-27,,Q. Acy misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by K. O'Quinn,,34-27,,
10:25.0,Offensive foul by M. Beasley (drawn by C. LeVert),,34-27,,
10:25.0,Turnover by M. Beasley (offensive foul),,34-27,,
10:08.0,,,34-27,,A. Crabbe misses 3-pt shot from 26 ft
10:05.0,,,34-27,,Offensive rebound by Q. Acy
10:01.0,,,34-27,,Q. Acy misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by Team,,34-27,,
9:49.0,D. McDermott makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,36-27,,
9:28.0,,,36-27,,J. Harris misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by M. Beasley,,36-27,,
9:22.0,Shooting foul by Q. Acy (drawn by K. O'Quinn),,36-27,,
9:22.0,K. O'Quinn makes free throw 1 of 2,1,37-27,,
9:22.0,K. O'Quinn makes free throw 2 of 2,1,38-27,,
9:15.0,,,38-27,,Offensive foul by T. Mozgov (drawn by F. Ntilikina)
9:15.0,,,38-27,,Turnover by T. Mozgov (offensive foul)
9:15.0,,,38-27,,R. Hollis-Jefferson enters the game for Q. Acy
8:59.0,F. Ntilikina misses 3-pt shot from 25 ft,,38-27,,
8:56.0,Offensive rebound by K. O'Quinn,,38-27,,
