time,Cleveland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Green (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. J. Green (B. Simmons gains possession)
11:38.0,,,0-0,,D. Saric misses 3-pt shot from 23 ft
11:35.0,Defensive rebound by R. Hood,,0-0,,
11:31.0,R. Hood misses 2-pt shot from 16 ft,,0-0,,
11:27.0,Offensive rebound by C. Osman,,0-0,,
11:24.0,K. Love makes 3-pt shot from 25 ft (assist by J. Green),3,3-0,,
11:17.0,Personal foul by C. Osman (drawn by J. Redick),,3-0,,
11:10.0,,,3-0,,J. Redick misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by R. Hood,,3-0,,
11:02.0,J. Green makes 2-pt shot from 1 ft (assist by R. Hood),2,5-0,,
10:49.0,,,5-2,2,J. Redick makes 2-pt shot from 15 ft (assist by A. Johnson)
10:22.0,C. Osman misses 3-pt shot from 22 ft,,5-2,,
10:19.0,,,5-2,,Defensive rebound by D. Saric
10:13.0,,,5-2,,B. Simmons misses 2-pt shot from 2 ft
10:08.0,,,5-2,,Offensive rebound by B. Simmons
10:08.0,,,5-4,2,B. Simmons makes 2-pt shot at rim
10:00.0,Turnover by L. James (bad pass),,5-4,,
9:55.0,Violation by J. Green (kicked ball),,5-4,,
9:38.0,,,5-6,2,B. Simmons makes 2-pt shot from 7 ft
9:17.0,L. James misses 3-pt shot from 26 ft,,5-6,,
9:13.0,,,5-6,,Defensive rebound by B. Simmons
9:08.0,,,5-8,2,J. Redick makes 2-pt shot from 1 ft (assist by B. Simmons)
8:42.0,R. Hood misses 2-pt shot from 6 ft,,5-8,,
8:40.0,,,5-8,,Defensive rebound by B. Simmons
8:27.0,,,5-8,,B. Simmons misses 2-pt shot from 4 ft
8:25.0,Defensive rebound by K. Love,,5-8,,
8:22.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,7-8,,
8:22.0,Shooting foul by J. Redick (drawn by L. James),,7-8,,
