time,Houston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. C. Capela (J. Harris gains possession),,,,Jump ball: J. Allen vs. C. Capela (J. Harris gains possession)
11:39.0,,,0-0,,J. Allen misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
11:37.0,Defensive rebound by C. Paul,,0-0,,
11:30.0,C. Capela makes 2-pt shot from 5 ft (assist by L. Mbah a Moute),2,2-0,,
11:12.0,,,2-3,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Harris)
10:55.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-3,,
10:36.0,,,4-3,,J. Allen misses 2-pt shot at rim
10:33.0,Defensive rebound by C. Capela,,4-3,,
10:20.0,C. Paul makes 3-pt shot from 22 ft,3,7-3,,
9:54.0,,,7-5,2,D. Carroll makes 2-pt shot at rim
9:40.0,J. Harden misses 3-pt shot from 24 ft,,7-5,,
9:40.0,,,7-5,,Defensive rebound by A. Crabbe
9:30.0,,,7-5,,D. Carroll misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by C. Capela,,7-5,,
9:19.0,J. Harden misses 2-pt shot from 8 ft,,7-5,,
9:14.0,Offensive rebound by C. Capela,,7-5,,
9:14.0,C. Capela makes 2-pt shot at rim,2,9-5,,
9:02.0,,,9-5,,Turnover by S. Dinwiddie (bad pass; steal by C. Paul)
8:56.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,9-5,,
8:53.0,Offensive rebound by R. Anderson,,9-5,,
8:51.0,R. Anderson misses 2-pt shot from 2 ft,,9-5,,
8:48.0,,,9-5,,Defensive rebound by S. Dinwiddie
8:44.0,,,9-8,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
8:18.0,Shooting foul by D. Carroll (drawn by C. Capela),,9-8,,
8:18.0,C. Capela makes free throw 1 of 2,1,10-8,,
8:18.0,C. Capela makes free throw 2 of 2,1,11-8,,
8:06.0,,,11-10,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
7:51.0,C. Capela makes 2-pt shot from 4 ft,2,13-10,,
7:36.0,,,13-13,3,S. Dinwiddie makes 3-pt shot from 22 ft (assist by J. Allen)
7:19.0,Turnover by C. Paul (bad pass; steal by S. Dinwiddie),,13-13,,
7:14.0,,,13-13,,Shooting foul by C. Paul (drawn by J. Allen)
7:14.0,,,13-14,1,J. Allen makes free throw 1 of 2
7:14.0,E. Gordon enters the game for C. Paul,,13-14,,
7:14.0,,,13-15,1,J. Allen makes free throw 2 of 2
6:57.0,J. Harden makes 3-pt shot from 22 ft,3,16-15,,
6:39.0,,,16-15,,J. Allen misses 2-pt shot from 1 ft (block by C. Capela)
6:36.0,Defensive rebound by L. Mbah a Moute,,16-15,,
6:29.0,E. Gordon misses 2-pt shot from 7 ft,,16-15,,
6:28.0,Offensive rebound by Team,,16-15,,
6:28.0,,,16-15,,Brooklyn full timeout
6:28.0,P. Tucker enters the game for R. Anderson,,16-15,,
6:14.0,Shooting foul by D. Carroll (drawn by J. Harden),,16-15,,
6:14.0,J. Harden makes free throw 1 of 2,1,17-15,,
6:14.0,J. Harden makes free throw 2 of 2,1,18-15,,
6:01.0,,,18-15,,Shooting foul by C. Capela (drawn by S. Dinwiddie)
6:01.0,,,18-16,1,S. Dinwiddie makes free throw 1 of 3
6:01.0,,,18-17,1,S. Dinwiddie makes free throw 2 of 3
6:01.0,,,18-18,1,S. Dinwiddie makes free throw 3 of 3
5:51.0,P. Tucker misses 3-pt shot from 24 ft,,18-18,,
5:47.0,,,18-18,,Defensive rebound by A. Crabbe
5:38.0,,,18-18,,A. Crabbe misses 2-pt shot from 20 ft
5:35.0,Defensive rebound by C. Capela,,18-18,,
5:23.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Harden),3,21-18,,
5:05.0,,,21-18,,J. Harris misses 3-pt shot from 22 ft
4:58.0,Defensive rebound by P. Tucker,,21-18,,
4:57.0,Turnover by P. Tucker (bad pass; steal by D. Carroll),,21-18,,
4:55.0,,,21-20,2,D. Carroll makes 2-pt shot from 2 ft
4:45.0,J. Harden misses 3-pt shot from 26 ft,,21-20,,
4:42.0,,,21-20,,Defensive rebound by D. Carroll
4:39.0,,,21-20,,Turnover by D. Carroll (out of bounds lost ball)
4:39.0,,,21-20,,D. Russell enters the game for J. Harris
4:22.0,C. Capela misses 2-pt shot from 6 ft,,21-20,,
4:19.0,Offensive rebound by C. Capela,,21-20,,
4:19.0,Turnover by P. Tucker (step out of bounds),,21-20,,
4:19.0,G. Green enters the game for L. Mbah a Moute,,21-20,,
4:07.0,,,21-20,,Turnover by S. Dinwiddie (bad pass; steal by P. Tucker)
4:03.0,P. Tucker misses 2-pt shot from 1 ft,,21-20,,
3:59.0,Offensive rebound by E. Gordon,,21-20,,
3:59.0,E. Gordon makes 2-pt shot at rim,2,23-20,,
3:54.0,,,23-22,2,D. Russell makes 2-pt shot at rim
3:40.0,G. Green makes 2-pt shot from 1 ft (assist by J. Harden),2,25-22,,
3:29.0,,,25-24,2,J. Allen makes 2-pt shot from 1 ft
3:18.0,Turnover by J. Harden (bad pass),,25-24,,
3:18.0,,,25-24,,J. Okafor enters the game for J. Allen
3:18.0,,,25-24,,N. Stauskas enters the game for A. Crabbe
3:18.0,N. Hilario enters the game for C. Capela,,25-24,,
2:55.0,,,25-24,,D. Russell misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by J. Harden,,25-24,,
2:49.0,J. Harden makes 2-pt shot at rim,2,27-24,,
2:49.0,Shooting foul by N. Stauskas (drawn by J. Harden),,27-24,,
2:49.0,Houston full timeout,,27-24,,
2:49.0,,,27-24,,J. Webb enters the game for S. Dinwiddie
2:49.0,,,27-24,,C. LeVert enters the game for D. Carroll
2:49.0,J. Harden makes free throw 1 of 1,1,28-24,,
2:33.0,,,28-26,2,J. Okafor makes 2-pt shot from 1 ft
2:21.0,J. Harden makes 2-pt shot at rim (assist by N. Hilario),2,30-26,,
2:11.0,C. Paul enters the game for J. Harden,,30-26,,
2:08.0,,,30-26,,Turnover by N. Stauskas (bad pass)
