time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (L. Ball gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (L. Ball gains possession)
11:46.0,,,0-0,,Personal foul by R. Rubio (drawn by B. Lopez)
11:38.0,B. Ingram misses 2-pt shot from 15 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Favors
11:29.0,,,0-0,,R. Hood misses 2-pt shot from 2 ft (block by B. Lopez)
11:29.0,,,0-0,,Offensive rebound by Team
11:20.0,,,0-2,2,D. Favors makes 2-pt shot from 17 ft (assist by R. Hood)
11:03.0,B. Lopez makes 2-pt shot from 8 ft,2,2-2,,
10:48.0,,,2-2,,R. Hood misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by L. Ball,,2-2,,
10:35.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by J. Ingles
10:25.0,,,2-2,,J. Ingles misses 2-pt shot from 5 ft (block by B. Ingram)
10:25.0,,,2-2,,Offensive rebound by Team
10:12.0,,,2-2,,R. Gobert misses 2-pt shot from 11 ft
10:09.0,,,2-2,,Offensive rebound by D. Favors
10:07.0,,,2-2,,R. Hood misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by B. Ingram,,2-2,,
9:55.0,B. Ingram misses 2-pt shot from 3 ft,,2-2,,
9:53.0,,,2-2,,Defensive rebound by R. Gobert
9:49.0,,,2-5,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio)
9:30.0,K. Caldwell-Pope makes 2-pt shot from 5 ft (assist by L. Ball),2,4-5,,
9:15.0,,,4-7,2,R. Rubio makes 2-pt shot from 2 ft
8:51.0,L. Ball misses 2-pt shot from 2 ft,,4-7,,
8:46.0,Offensive rebound by B. Lopez,,4-7,,
8:46.0,B. Lopez misses 2-pt shot at rim,,4-7,,
8:45.0,,,4-7,,Defensive rebound by R. Hood
8:42.0,,,4-10,3,R. Hood makes 3-pt shot from 24 ft
8:35.0,Turnover by L. Ball (bad pass; steal by J. Ingles),,4-10,,
8:23.0,,,4-10,,Turnover by R. Rubio (bad pass; steal by K. Caldwell-Pope)
8:17.0,,,4-10,,Def 3 sec tech foul by J. Ingles
8:17.0,K. Caldwell-Pope makes technical free throw,1,5-10,,
8:13.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,5-10,,
8:10.0,,,5-10,,Defensive rebound by R. Gobert
8:01.0,,,5-10,,J. Ingles misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by B. Lopez,,5-10,,
7:50.0,K. Caldwell-Pope misses 2-pt shot from 11 ft (block by R. Gobert),,5-10,,
7:47.0,,,5-10,,Defensive rebound by R. Rubio
7:40.0,,,5-12,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
