time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. S. Labissiere (D. Fox gains possession),,,,Jump ball: Z. Pachulia vs. S. Labissiere (D. Fox gains possession)
11:38.0,S. Labissiere makes 2-pt shot from 10 ft (assist by G. Hill),2,2-0,,
11:18.0,,,2-3,3,D. Green makes 3-pt shot from 25 ft (assist by P. McCaw)
10:54.0,Z. Randolph misses 2-pt shot from 21 ft,,2-3,,
10:53.0,,,2-3,,Defensive rebound by Team
10:35.0,,,2-3,,K. Thompson misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by D. Fox,,2-3,,
10:30.0,G. Temple makes 2-pt shot from 1 ft (assist by D. Fox),2,4-3,,
10:24.0,,,4-3,,Shooting foul by D. Fox (drawn by K. Thompson)
10:24.0,,,4-4,1,K. Thompson makes free throw 1 of 2
10:24.0,,,4-5,1,K. Thompson makes free throw 2 of 2
10:17.0,D. Fox misses 2-pt shot from 1 ft,,4-5,,
10:13.0,,,4-5,,Defensive rebound by P. McCaw
10:10.0,,,4-7,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
10:10.0,Violation by D. Fox (def goaltending),,4-7,,
9:52.0,G. Hill makes 3-pt shot from 24 ft (assist by S. Labissiere),3,7-7,,
9:37.0,,,7-10,3,D. Green makes 3-pt shot from 26 ft (assist by Z. Pachulia)
9:18.0,S. Labissiere misses 2-pt shot from 11 ft,,7-10,,
9:15.0,Offensive rebound by Z. Randolph,,7-10,,
9:13.0,Z. Randolph makes 2-pt shot from 1 ft,2,9-10,,
9:03.0,,,9-10,,K. Thompson misses 2-pt shot from 3 ft (block by S. Labissiere)
8:57.0,Defensive rebound by D. Fox,,9-10,,
8:51.0,G. Hill misses 2-pt shot from 6 ft,,9-10,,
8:45.0,,,9-10,,Defensive rebound by P. McCaw
8:39.0,,,9-10,,Z. Pachulia misses 2-pt shot from 3 ft (block by S. Labissiere)
8:36.0,Defensive rebound by Z. Randolph,,9-10,,
8:27.0,Z. Randolph misses 2-pt shot from 18 ft,,9-10,,
8:23.0,,,9-10,,Defensive rebound by O. Casspi
8:16.0,,,9-10,,Turnover by Z. Pachulia (bad pass; steal by D. Fox)
8:11.0,S. Labissiere makes 2-pt shot from 1 ft (assist by G. Temple),2,11-10,,
7:50.0,,,11-10,,Z. Pachulia misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by S. Labissiere,,11-10,,
7:28.0,S. Labissiere misses 2-pt shot from 10 ft,,11-10,,
