time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Turner (J. Grant gains possession),,,,Jump ball: R. Lopez vs. M. Turner (J. Grant gains possession)
11:34.0,,,0-0,,R. Lopez misses 2-pt shot from 7 ft
11:32.0,Defensive rebound by B. Bogdanovic,,0-0,,
11:23.0,M. Turner misses 2-pt shot from 19 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by L. Markkanen
11:13.0,,,0-0,,L. Markkanen misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by M. Turner,,0-0,,
10:57.0,Offensive foul by M. Turner (drawn by R. Lopez),,0-0,,
10:57.0,Turnover by M. Turner (offensive foul),,0-0,,
10:50.0,,,0-0,,Turnover by R. Lopez (traveling)
10:39.0,V. Oladipo makes 2-pt shot from 14 ft (assist by D. Collison),2,2-0,,
10:17.0,,,2-0,,R. Lopez misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by M. Turner,,2-0,,
10:05.0,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo),2,4-0,,
9:43.0,,,4-0,,L. Markkanen misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by V. Oladipo,,4-0,,
9:28.0,Turnover by M. Turner (bad pass; steal by L. Markkanen),,4-0,,
9:19.0,,,4-3,3,J. Holiday makes 3-pt shot from 23 ft (assist by L. Markkanen)
9:01.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Collison),2,6-3,,
8:45.0,,,6-3,,J. Holiday misses 2-pt shot from 12 ft
8:40.0,,,6-3,,Offensive rebound by J. Holiday
8:39.0,,,6-5,2,J. Holiday makes 2-pt shot from 5 ft
8:34.0,T. Young makes 3-pt shot from 25 ft (assist by V. Oladipo),3,9-5,,
8:16.0,,,9-5,,R. Lopez misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by B. Bogdanovic,,9-5,,
8:04.0,Turnover by T. Young (lost ball; steal by L. Markkanen),,9-5,,
8:04.0,Personal foul by B. Bogdanovic (drawn by J. Grant),,9-5,,
7:52.0,,,9-5,,P. Zipser misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by V. Oladipo,,9-5,,
7:46.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Oladipo),3,12-5,,
7:28.0,Personal foul by B. Bogdanovic (drawn by P. Zipser),,12-5,,
7:21.0,,,12-5,,P. Zipser misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by D. Collison,,12-5,,
7:07.0,M. Turner misses 2-pt shot from 10 ft,,12-5,,
7:03.0,,,12-5,,Defensive rebound by L. Markkanen
6:48.0,,,12-8,3,J. Holiday makes 3-pt shot from 23 ft (assist by P. Zipser)
6:40.0,T. Young makes 2-pt shot from 22 ft (assist by D. Collison),2,14-8,,
6:19.0,,,14-10,2,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez)
6:04.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,16-10,,
5:57.0,Personal foul by M. Turner (drawn by J. Grant),,16-10,,
5:57.0,,,16-10,,Chicago full timeout
5:57.0,C. Joseph enters the game for M. Turner,,16-10,,
5:57.0,D. Sabonis enters the game for B. Bogdanovic,,16-10,,
5:39.0,,,16-12,2,J. Grant makes 2-pt shot from 18 ft (assist by L. Markkanen)
5:24.0,V. Oladipo makes 2-pt shot from 19 ft (assist by T. Young),2,18-12,,
5:01.0,,,18-12,,L. Markkanen misses 3-pt shot from 25 ft
4:57.0,,,18-12,,Offensive rebound by R. Lopez
4:57.0,,,18-12,,D. Valentine enters the game for P. Zipser
4:53.0,,,18-12,,J. Holiday misses 3-pt shot from 25 ft
4:49.0,,,18-12,,Offensive rebound by Team
4:34.0,,,18-12,,D. Valentine misses 2-pt shot from 6 ft
4:32.0,Defensive rebound by V. Oladipo,,18-12,,
4:22.0,D. Sabonis makes 2-pt shot from 1 ft,2,20-12,,
3:59.0,,,20-12,,J. Grant misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by V. Oladipo,,20-12,,
3:53.0,D. Collison misses 2-pt shot from 2 ft (block by L. Markkanen),,20-12,,
3:49.0,,,20-12,,Defensive rebound by L. Markkanen
3:41.0,Personal foul by D. Collison (drawn by J. Grant),,20-12,,
3:41.0,,,20-12,,B. Portis enters the game for J. Grant
3:41.0,,,20-12,,K. Dunn enters the game for L. Markkanen
3:29.0,,,20-12,,B. Portis misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by V. Oladipo,,20-12,,
3:21.0,L. Stephenson enters the game for D. Collison,,20-12,,
3:20.0,V. Oladipo misses 2-pt shot from 1 ft,,20-12,,
3:20.0,Offensive rebound by Team,,20-12,,
