time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Lauvergne (J. Jerebko gains possession),,,,Jump ball: D. Favors vs. J. Lauvergne (J. Jerebko gains possession)
11:38.0,,,0-3,3,R. Hood makes 3-pt shot from 25 ft (assist by J. Jerebko)
11:14.0,B. Forbes misses 3-pt shot from 25 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by J. Ingles
11:04.0,,,0-3,,D. Favors misses 2-pt shot from 13 ft
11:01.0,Defensive rebound by L. Aldridge,,0-3,,
10:52.0,L. Aldridge makes 3-pt shot from 25 ft (assist by T. Parker),3,3-3,,
10:23.0,,,3-3,,R. Rubio misses 3-pt shot from 23 ft (block by K. Leonard)
10:23.0,,,3-3,,Offensive rebound by Team
10:22.0,,,3-3,,D. Favors misses 2-pt shot from 7 ft
10:22.0,,,3-3,,Offensive rebound by Team
10:22.0,,,3-3,,Turnover by Team (shot clock)
10:13.0,,,3-3,,Personal foul by J. Ingles (drawn by K. Leonard)
10:06.0,K. Leonard misses 2-pt shot from 15 ft,,3-3,,
10:03.0,,,3-3,,Defensive rebound by R. Rubio
9:58.0,,,3-3,,R. Hood misses 3-pt shot from 25 ft
9:56.0,,,3-3,,Offensive rebound by D. Favors
9:53.0,,,3-3,,R. Rubio misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by B. Forbes,,3-3,,
9:45.0,T. Parker misses 2-pt shot from 14 ft,,3-3,,
9:45.0,,,3-3,,Defensive rebound by R. Hood
9:29.0,,,3-3,,J. Ingles misses 3-pt shot from 23 ft
9:26.0,,,3-3,,Offensive rebound by D. Favors
9:25.0,,,3-5,2,D. Favors makes 2-pt shot from 1 ft
9:06.0,Turnover by K. Leonard (bad pass),,3-5,,
8:55.0,,,3-7,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
8:41.0,T. Parker makes 2-pt shot from 1 ft,2,5-7,,
8:19.0,,,5-9,2,J. Jerebko makes 2-pt shot from 9 ft
8:04.0,B. Forbes makes 3-pt shot from 25 ft (assist by T. Parker),3,8-9,,
7:43.0,,,8-11,2,J. Jerebko makes 2-pt shot from 13 ft
7:27.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by T. Parker),2,10-11,,
7:08.0,,,10-11,,Shooting foul by J. Lauvergne (drawn by J. Ingles)
7:08.0,,,10-11,,J. Ingles misses free throw 1 of 2
7:08.0,,,10-11,,Offensive rebound by Team
7:08.0,,,10-11,,J. Ingles misses free throw 2 of 2
7:05.0,Defensive rebound by K. Leonard,,10-11,,
6:47.0,J. Lauvergne makes 2-pt shot from 3 ft,2,12-11,,
6:41.0,,,12-11,,Utah full timeout
6:32.0,,,12-13,2,R. Hood makes 2-pt shot from 19 ft (assist by J. Jerebko)
6:18.0,Offensive foul by B. Forbes (drawn by R. Rubio),,12-13,,
6:18.0,Turnover by B. Forbes (offensive foul),,12-13,,
6:18.0,R. Gay enters the game for J. Lauvergne,,12-13,,
6:18.0,P. Mills enters the game for B. Forbes,,12-13,,
6:08.0,,,12-13,,Turnover by R. Hood (bad pass)
6:08.0,D. Murray enters the game for T. Parker,,12-13,,
5:54.0,K. Leonard makes 2-pt shot from 2 ft,2,14-13,,
5:45.0,,,14-13,,R. Rubio misses 2-pt shot from 15 ft
5:38.0,,,14-13,,Offensive rebound by D. Favors
5:38.0,,,14-15,2,D. Favors makes 2-pt shot at rim
5:27.0,R. Gay misses 2-pt shot from 16 ft,,14-15,,
5:23.0,,,14-15,,Defensive rebound by D. Favors
5:06.0,,,14-15,,D. Favors misses 2-pt shot from 2 ft (block by L. Aldridge)
5:06.0,,,14-15,,Offensive rebound by Team
5:06.0,,,14-15,,J. Johnson enters the game for R. Rubio
5:06.0,,,14-15,,A. Burks enters the game for J. Jerebko
5:06.0,K. Anderson enters the game for K. Leonard,,14-15,,
5:01.0,,,14-18,3,A. Burks makes 3-pt shot from 26 ft
4:45.0,K. Anderson misses 2-pt shot from 2 ft,,14-18,,
4:43.0,,,14-18,,Defensive rebound by A. Burks
4:32.0,,,14-20,2,R. Hood makes 2-pt shot from 22 ft
4:32.0,San Antonio full timeout,,14-20,,
4:32.0,J. Lauvergne enters the game for L. Aldridge,,14-20,,
