time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. C. Capela (P. Tucker gains possession),,,,Jump ball: K. Durant vs. C. Capela (P. Tucker gains possession)
11:42.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,2-0,,
11:20.0,,,2-0,,D. Green misses 2-pt shot from 12 ft
11:19.0,Defensive rebound by C. Paul,,2-0,,
11:06.0,C. Capela makes 2-pt shot at rim (assist by P. Tucker),2,4-0,,
10:56.0,,,4-0,,S. Curry misses 3-pt shot from 27 ft
10:55.0,Defensive rebound by C. Capela,,4-0,,
10:40.0,C. Paul misses 3-pt shot from 26 ft,,4-0,,
10:38.0,,,4-0,,Defensive rebound by D. Green
10:33.0,,,4-0,,Shooting foul by C. Capela (drawn by D. Green)
10:33.0,,,4-1,1,D. Green makes free throw 1 of 2
10:33.0,,,4-2,1,D. Green makes free throw 2 of 2
10:19.0,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden),2,6-2,,
10:03.0,,,6-4,2,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry)
9:45.0,C. Paul misses 2-pt shot from 3 ft (block by K. Thompson),,6-4,,
9:43.0,,,6-4,,Defensive rebound by A. Iguodala
9:41.0,,,6-4,,Turnover by D. Green (turnover)
9:26.0,T. Ariza makes 2-pt shot from 4 ft (assist by J. Harden),2,8-4,,
9:16.0,,,8-4,,Golden State full timeout
9:16.0,E. Gordon enters the game for P. Tucker,,8-4,,
9:04.0,,,8-7,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala)
8:48.0,J. Harden misses 3-pt shot from 26 ft,,8-7,,
8:46.0,,,8-7,,Defensive rebound by D. Green
8:31.0,,,8-9,2,K. Thompson makes 2-pt shot from 2 ft
8:12.0,Turnover by J. Harden (lost ball; steal by D. Green),,8-9,,
8:05.0,,,8-11,2,K. Durant makes 2-pt shot from 2 ft (assist by D. Green)
7:56.0,T. Ariza misses 3-pt shot from 25 ft,,8-11,,
7:54.0,,,8-11,,Defensive rebound by D. Green
7:51.0,,,8-11,,K. Durant misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by C. Paul,,8-11,,
7:44.0,Turnover by T. Ariza (bad pass; steal by K. Thompson),,8-11,,
7:39.0,,,8-13,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Thompson)
7:32.0,Turnover by E. Gordon (lost ball; steal by A. Iguodala),,8-13,,
7:25.0,,,8-13,,Turnover by K. Thompson (bad pass; steal by J. Harden)
7:10.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,10-13,,
6:58.0,,,10-13,,S. Curry misses 3-pt shot from 30 ft
6:55.0,Defensive rebound by T. Ariza,,10-13,,
6:52.0,J. Harden makes 3-pt shot from 28 ft (assist by C. Capela),3,13-13,,
6:41.0,,,13-16,3,D. Green makes 3-pt shot from 27 ft (assist by A. Iguodala)
6:27.0,,,13-16,,Personal foul by S. Curry (drawn by E. Gordon)
6:27.0,,,13-16,,K. Looney enters the game for A. Iguodala
6:27.0,G. Green enters the game for C. Paul,,13-16,,
