time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. R. Gobert (D. Favors gains possession),,,,Jump ball: D. Powell vs. R. Gobert (D. Favors gains possession)
11:41.0,R. Rubio misses 3-pt shot from 25 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by H. Barnes
11:28.0,,,0-0,,D. Powell misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by R. Gobert,,0-0,,
11:17.0,R. Rubio makes 2-pt shot from 11 ft (assist by J. Ingles),2,2-0,,
11:03.0,,,2-0,,H. Barnes misses 2-pt shot from 6 ft
11:01.0,Defensive rebound by R. Gobert,,2-0,,
10:54.0,D. Favors misses 2-pt shot from 9 ft,,2-0,,
10:50.0,Offensive rebound by D. Mitchell,,2-0,,
10:48.0,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell),2,4-0,,
10:35.0,,,4-2,2,J. Barea makes 2-pt shot from 6 ft
10:18.0,D. Mitchell makes 2-pt shot from 2 ft (assist by J. Ingles),2,6-2,,
10:03.0,,,6-4,2,H. Barnes makes 2-pt shot from 3 ft
9:47.0,R. Rubio makes 2-pt shot from 1 ft (assist by J. Ingles),2,8-4,,
9:29.0,,,8-4,,Turnover by D. Finney-Smith (bad pass; steal by D. Mitchell)
9:20.0,D. Mitchell misses 3-pt shot from 22 ft,,8-4,,
9:18.0,,,8-4,,Defensive rebound by D. Powell
9:01.0,,,8-4,,Turnover by D. Nowitzki (lost ball; steal by R. Rubio)
8:56.0,Turnover by R. Rubio (lost ball; steal by D. Powell),,8-4,,
8:54.0,Personal take foul by J. Ingles (drawn by J. Barea),,8-4,,
8:42.0,,,8-7,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Powell)
8:25.0,D. Mitchell makes 2-pt shot at rim (assist by J. Ingles),2,10-7,,
8:12.0,,,10-10,3,J. Barea makes 3-pt shot from 24 ft
7:58.0,Shooting foul by D. Nowitzki (drawn by D. Favors),,10-10,,
