time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. Love (L. James gains possession),,,,Jump ball: J. Valanciunas vs. K. Love (L. James gains possession)
11:53.0,J. Smith misses 3-pt shot from 25 ft,,0-0,,
11:50.0,,,0-0,,Defensive rebound by J. Valanciunas
11:43.0,,,0-0,,Turnover by D. DeRozan (turnover)
11:32.0,K. Love misses 2-pt shot from 4 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by J. Valanciunas
11:27.0,,,0-3,3,K. Lowry makes 3-pt shot from 26 ft
11:15.0,,,0-3,,Personal foul by O. Anunoby (drawn by L. James)
11:04.0,K. Korver makes 2-pt shot from 1 ft (assist by L. James),2,2-3,,
10:44.0,,,2-3,,S. Ibaka misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by Team,,2-3,,
10:25.0,K. Love misses 3-pt shot from 25 ft,,2-3,,
10:23.0,,,2-3,,Defensive rebound by J. Valanciunas
10:14.0,Personal foul by K. Korver (drawn by K. Lowry),,2-3,,
10:06.0,,,2-3,,D. DeRozan misses 2-pt shot from 13 ft
10:04.0,Defensive rebound by K. Love,,2-3,,
9:55.0,L. James makes 2-pt shot from 1 ft,2,4-3,,
9:48.0,,,4-3,,S. Ibaka misses 2-pt shot from 6 ft
9:47.0,Defensive rebound by L. James,,4-3,,
9:39.0,K. Love misses 2-pt shot from 1 ft (block by J. Valanciunas),,4-3,,
9:39.0,Offensive rebound by Team,,4-3,,
9:36.0,Turnover by L. James (bad pass; steal by O. Anunoby),,4-3,,
9:32.0,,,4-5,2,K. Lowry makes 2-pt shot at rim (assist by O. Anunoby)
9:08.0,K. Love makes 2-pt shot at rim (assist by J. Smith),2,6-5,,
8:57.0,,,6-7,2,J. Valanciunas makes 2-pt shot from 11 ft (assist by D. DeRozan)
8:38.0,G. Hill makes 2-pt shot from 2 ft,2,8-7,,
8:30.0,,,8-9,2,D. DeRozan makes 2-pt shot from 2 ft
8:30.0,,,8-9,,Shooting foul by G. Hill (drawn by D. DeRozan)
8:30.0,,,8-10,1,D. DeRozan makes free throw 1 of 1
8:17.0,G. Hill misses 2-pt shot from 3 ft,,8-10,,
8:15.0,,,8-10,,Defensive rebound by S. Ibaka
8:04.0,,,8-10,,S. Ibaka misses 2-pt shot from 11 ft
8:02.0,Defensive rebound by K. Love,,8-10,,
7:47.0,K. Love makes 2-pt shot from 1 ft (assist by K. Korver),2,10-10,,
7:27.0,,,10-10,,D. DeRozan misses 3-pt shot from 24 ft
7:23.0,,,10-10,,Offensive rebound by J. Valanciunas
7:23.0,,,10-10,,J. Valanciunas misses 2-pt shot at rim
7:22.0,,,10-10,,Offensive rebound by S. Ibaka
7:19.0,,,10-12,2,O. Anunoby makes 2-pt shot from 1 ft (assist by S. Ibaka)
6:58.0,,,10-12,,Personal foul by K. Lowry (drawn by K. Love)
6:58.0,,,10-12,,Toronto full timeout
6:46.0,L. James misses 2-pt shot from 16 ft,,10-12,,
6:44.0,,,10-12,,Defensive rebound by S. Ibaka
6:38.0,,,10-14,2,D. DeRozan makes 2-pt shot from 1 ft
6:20.0,K. Love misses 2-pt shot from 12 ft,,10-14,,
6:19.0,,,10-14,,Defensive rebound by J. Valanciunas
5:58.0,,,10-14,,J. Valanciunas misses 2-pt shot from 13 ft
5:56.0,,,10-14,,Offensive rebound by S. Ibaka
5:55.0,,,10-14,,S. Ibaka misses 2-pt shot from 1 ft
5:54.0,,,10-14,,Offensive rebound by S. Ibaka
5:54.0,,,10-14,,Shooting foul by K. Korver (drawn by S. Ibaka)
5:54.0,,,10-15,1,S. Ibaka makes free throw 1 of 2
5:54.0,T. Thompson enters the game for K. Korver,,10-15,,
5:54.0,,,10-16,1,S. Ibaka makes free throw 2 of 2
5:36.0,J. Smith misses 2-pt shot from 7 ft,,10-16,,
5:34.0,,,10-16,,Defensive rebound by K. Lowry
5:26.0,,,10-16,,Offensive foul by J. Valanciunas (drawn by J. Smith)
5:26.0,,,10-16,,Turnover by J. Valanciunas (offensive foul)
5:04.0,K. Love makes 2-pt shot from 2 ft,2,12-16,,
4:49.0,,,12-18,2,J. Valanciunas makes 2-pt shot from 10 ft (assist by D. DeRozan)
4:33.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,14-18,,
4:19.0,,,14-20,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
4:02.0,Shooting foul by O. Anunoby (drawn by L. James),,14-20,,
4:02.0,L. James makes free throw 1 of 3,1,15-20,,
4:02.0,L. James misses free throw 2 of 3,,15-20,,
4:02.0,Offensive rebound by Team,,15-20,,
4:02.0,,,15-20,,C. Miles enters the game for O. Anunoby
4:02.0,,,15-20,,P. Siakam enters the game for S. Ibaka
4:02.0,L. James makes free throw 3 of 3,1,16-20,,
3:48.0,,,16-23,3,K. Lowry makes 3-pt shot from 25 ft
3:33.0,G. Hill makes 2-pt shot from 1 ft,2,18-23,,
3:21.0,,,18-25,2,K. Lowry makes 2-pt shot from 2 ft
3:13.0,Shooting foul by D. DeRozan (drawn by J. Smith),,18-25,,
3:13.0,J. Smith makes free throw 1 of 2,1,19-25,,
3:13.0,J. Green enters the game for L. James,,19-25,,
3:13.0,J. Smith makes free throw 2 of 2,1,20-25,,
2:56.0,,,20-25,,Offensive foul by P. Siakam (drawn by K. Love)
2:56.0,,,20-25,,Turnover by P. Siakam (offensive foul)
2:56.0,Cleveland full timeout,,20-25,,
2:56.0,,,20-25,,J. Poeltl enters the game for K. Lowry
2:56.0,,,20-25,,D. Wright enters the game for J. Valanciunas
2:32.0,K. Love misses 2-pt shot from 5 ft,,20-25,,
2:30.0,,,20-25,,Defensive rebound by D. Wright
2:24.0,,,20-27,2,D. DeRozan makes 2-pt shot from 7 ft
2:09.0,J. Smith misses 2-pt shot from 9 ft,,20-27,,
2:08.0,Offensive rebound by J. Smith,,20-27,,
2:07.0,J. Smith makes 2-pt shot from 9 ft,2,22-27,,
1:50.0,,,22-27,,D. Wright misses 2-pt shot from 1 ft
1:48.0,Defensive rebound by K. Love,,22-27,,
1:41.0,K. Love makes 2-pt shot from 1 ft (assist by G. Hill),2,24-27,,
1:26.0,,,24-27,,D. DeRozan misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by G. Hill,,24-27,,
1:14.0,,,24-27,,Personal foul by P. Siakam (drawn by K. Love)
1:14.0,K. Love makes free throw 1 of 2,1,25-27,,
1:14.0,,,25-27,,F. VanVleet enters the game for P. Siakam
1:14.0,R. Hood enters the game for G. Hill,,25-27,,
1:14.0,J. Clarkson enters the game for J. Smith,,25-27,,
1:14.0,K. Love makes free throw 2 of 2,1,26-27,,
0:58.0,,,26-29,2,D. DeRozan makes 2-pt shot at rim
0:39.0,Turnover by R. Hood (lost ball; steal by J. Poeltl),,26-29,,
0:37.0,Jump ball: J. Poeltl vs. R. Hood (C. Miles gains possession),,,,Jump ball: J. Poeltl vs. R. Hood (C. Miles gains possession)
0:31.0,,,26-29,,C. Miles misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by R. Hood,,26-29,,
0:10.0,J. Clarkson misses 3-pt shot from 26 ft,,26-29,,
0:08.0,,,26-29,,Defensive rebound by D. Wright
0:01.0,,,26-29,,D. DeRozan misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by T. Thompson,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,26-32,3,D. Wright makes 3-pt shot from 25 ft (assist by F. VanVleet)
11:22.0,J. Green misses 3-pt shot from 25 ft,,26-32,,
11:18.0,,,26-32,,Defensive rebound by P. Siakam
11:16.0,Personal foul by R. Hood (drawn by C. Miles),,26-32,,
11:16.0,K. Korver enters the game for T. Thompson,,26-32,,
10:59.0,,,26-34,2,F. VanVleet makes 2-pt shot from 13 ft (assist by D. Wright)
10:39.0,J. Green makes 3-pt shot from 25 ft (assist by L. James),3,29-34,,
10:21.0,,,29-37,3,F. VanVleet makes 3-pt shot from 27 ft
10:06.0,R. Hood misses 2-pt shot from 7 ft,,29-37,,
10:04.0,Offensive rebound by R. Hood,,29-37,,
10:03.0,J. Clarkson misses 3-pt shot from 27 ft,,29-37,,
10:00.0,,,29-37,,Defensive rebound by P. Siakam
