time,New Orleans,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Davis (I. Smith gains possession),,,,Jump ball: A. Drummond vs. A. Davis (I. Smith gains possession)
11:42.0,,,0-0,,Turnover by B. Griffin (bad pass; steal by A. Davis)
11:35.0,E. Okafor misses 2-pt shot from 16 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by A. Drummond
11:20.0,,,0-0,,A. Drummond misses 2-pt shot from 9 ft
11:18.0,Defensive rebound by E. Moore,,0-0,,
11:08.0,R. Rondo makes 3-pt shot from 24 ft (assist by E. Moore),3,3-0,,
10:45.0,,,3-0,,I. Smith misses 2-pt shot from 3 ft
10:43.0,Defensive rebound by R. Rondo,,3-0,,
10:39.0,R. Rondo misses 2-pt shot from 3 ft,,3-0,,
10:34.0,Offensive rebound by E. Okafor,,3-0,,
10:34.0,E. Okafor makes 2-pt shot at rim,2,5-0,,
10:24.0,,,5-2,2,I. Smith makes 2-pt shot from 1 ft
10:14.0,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo),2,7-2,,
9:59.0,,,7-2,,Shooting foul by E. Moore (drawn by R. Bullock)
9:59.0,,,7-3,1,R. Bullock makes free throw 1 of 2
9:59.0,,,7-4,1,R. Bullock makes free throw 2 of 2
9:48.0,,,7-4,,Violation by A. Drummond (kicked ball)
9:36.0,A. Davis misses 3-pt shot from 22 ft,,7-4,,
9:33.0,,,7-4,,Defensive rebound by R. Bullock
9:29.0,,,7-4,,Offensive foul by B. Griffin (drawn by R. Rondo)
9:29.0,,,7-4,,Turnover by B. Griffin (offensive foul)
9:17.0,A. Davis misses 2-pt shot from 7 ft,,7-4,,
9:14.0,,,7-4,,Defensive rebound by A. Drummond
9:01.0,,,7-6,2,R. Bullock makes 2-pt shot from 15 ft (assist by B. Griffin)
8:55.0,J. Holiday makes 2-pt shot at rim (assist by E. Moore),2,9-6,,
8:49.0,,,9-6,,Detroit full timeout
8:42.0,,,9-6,,Turnover by B. Griffin (bad pass)
8:36.0,Turnover by J. Holiday (bad pass; steal by A. Drummond),,9-6,,
8:32.0,,,9-8,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
8:14.0,R. Rondo makes 3-pt shot from 25 ft (assist by J. Holiday),3,12-8,,
7:54.0,,,12-8,,I. Smith misses 2-pt shot from 12 ft
7:53.0,,,12-8,,Offensive rebound by B. Griffin
7:53.0,Personal foul by R. Rondo (drawn by B. Griffin),,12-8,,
7:53.0,,,12-8,,Offensive foul by A. Drummond (drawn by R. Rondo)
7:53.0,,,12-8,,Turnover by A. Drummond (offensive foul)
7:36.0,E. Moore misses 3-pt shot from 25 ft,,12-8,,
7:35.0,,,12-8,,Defensive rebound by A. Drummond
7:33.0,Personal foul by E. Moore (drawn by B. Griffin),,12-8,,
7:33.0,,,12-9,1,B. Griffin makes clear path free throw 1 of 2
7:33.0,,,12-10,1,B. Griffin makes clear path free throw 2 of 2
7:22.0,,,12-10,,Shooting foul by R. Rondo (drawn by I. Smith)
