time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Gobert (T. Warren gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (T. Warren gains possession)
11:34.0,,,0-2,2,T. Warren makes 2-pt shot from 18 ft
11:17.0,R. Gobert misses 2-pt shot from 5 ft (block by T. Chandler),,0-2,,
11:10.0,,,0-2,,Defensive rebound by J. Jackson
11:08.0,,,0-2,,J. Jackson misses 2-pt shot from 1 ft (block by R. Gobert)
11:04.0,Defensive rebound by R. Gobert,,0-2,,
10:54.0,Turnover by J. Ingles (bad pass; steal by T. Warren),,0-2,,
10:38.0,,,0-2,,D. Booker misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by R. Rubio,,0-2,,
10:31.0,D. Mitchell makes 2-pt shot at rim,2,2-2,,
10:31.0,Shooting foul by T. Chandler (drawn by D. Mitchell),,2-2,,
10:31.0,D. Mitchell makes free throw 1 of 1,1,3-2,,
10:10.0,,,3-4,2,M. Chriss makes 2-pt shot from 9 ft (assist by D. Booker)
9:50.0,R. Rubio makes 2-pt shot at rim,2,5-4,,
9:39.0,,,5-4,,M. Chriss misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by R. Gobert,,5-4,,
9:27.0,J. Ingles makes 2-pt shot at rim,2,7-4,,
9:27.0,,,7-4,,Violation by M. Chriss (def goaltending)
9:14.0,,,7-4,,J. Jackson misses 2-pt shot from 12 ft
9:09.0,Defensive rebound by D. Favors,,7-4,,
9:00.0,D. Mitchell makes 3-pt shot from 24 ft (assist by J. Ingles),3,10-4,,
8:45.0,,,10-4,,D. Booker misses 2-pt shot from 12 ft
8:43.0,Defensive rebound by D. Mitchell,,10-4,,
8:37.0,R. Gobert misses 2-pt shot at rim (block by T. Chandler),,10-4,,
8:36.0,Offensive rebound by D. Favors,,10-4,,
8:35.0,D. Favors misses 2-pt shot from 2 ft,,10-4,,
8:31.0,,,10-4,,Defensive rebound by M. Chriss
8:13.0,,,10-4,,T. Warren misses 2-pt shot from 10 ft
8:11.0,Defensive rebound by D. Favors,,10-4,,
7:59.0,J. Ingles misses 3-pt shot from 25 ft,,10-4,,
7:55.0,,,10-4,,Defensive rebound by J. Jackson
7:48.0,,,10-6,2,D. Booker makes 2-pt shot from 18 ft (assist by T. Chandler)
7:26.0,R. Rubio makes 2-pt shot from 20 ft,2,12-6,,
7:24.0,,,12-6,,Phoenix full timeout
7:24.0,,,12-6,,J. Dudley enters the game for M. Chriss
7:12.0,,,12-6,,Shooting foul by R. Gobert (drawn by T. Chandler)
7:12.0,,,12-7,1,T. Chandler makes free throw 1 of 2
7:12.0,,,12-8,1,T. Chandler makes free throw 2 of 2
7:01.0,D. Favors makes 2-pt shot from 13 ft (assist by R. Rubio),2,14-8,,
6:52.0,,,14-8,,D. Booker misses 3-pt shot from 24 ft
6:50.0,,,14-8,,Offensive rebound by T. Chandler
6:45.0,,,14-8,,J. Dudley misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by R. Gobert,,14-8,,
6:37.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,17-8,,
6:12.0,,,17-8,,J. Jackson misses 2-pt shot from 1 ft (block by R. Gobert)
6:06.0,Defensive rebound by D. Favors,,17-8,,
6:05.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Mitchell),2,19-8,,
6:05.0,,,19-8,,Phoenix full timeout
6:05.0,,,19-8,,T. Daniels enters the game for T. Chandler
6:05.0,,,19-8,,D. Bender enters the game for J. Jackson
5:46.0,,,19-8,,T. Warren misses 2-pt shot from 6 ft
5:43.0,Defensive rebound by R. Rubio,,19-8,,
5:36.0,R. Rubio makes 2-pt shot at rim,2,21-8,,
5:17.0,,,21-8,,Turnover by J. Dudley (bad pass; steal by R. Gobert)
5:15.0,Turnover by R. Gobert (bad pass),,21-8,,
5:15.0,A. Burks enters the game for R. Rubio,,21-8,,
5:15.0,J. Jerebko enters the game for D. Favors,,21-8,,
4:57.0,,,21-8,,J. Dudley misses 3-pt shot from 22 ft
4:54.0,Defensive rebound by A. Burks,,21-8,,
4:47.0,D. Mitchell makes 3-pt shot from 25 ft (assist by A. Burks),3,24-8,,
4:30.0,,,24-11,3,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker)
4:14.0,,,24-11,,Personal foul by T. Daniels (drawn by A. Burks)
4:14.0,,,24-11,,T. Ulis enters the game for D. Booker
4:14.0,R. O'Neale enters the game for J. Ingles,,24-11,,
4:12.0,Turnover by R. Gobert (bad pass),,24-11,,
3:55.0,,,24-11,,D. Bender misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by A. Burks,,24-11,,
3:40.0,A. Burks misses 3-pt shot from 26 ft,,24-11,,
3:39.0,,,24-11,,Defensive rebound by Team
3:27.0,,,24-11,,T. Warren misses 2-pt shot from 10 ft
3:23.0,Defensive rebound by R. O'Neale,,24-11,,
3:15.0,R. Gobert makes 2-pt shot at rim (assist by R. O'Neale),2,26-11,,
3:02.0,,,26-13,2,D. Bender makes 2-pt shot at rim
2:42.0,A. Burks misses 3-pt shot from 23 ft,,26-13,,
2:39.0,,,26-13,,Defensive rebound by D. Bender
2:32.0,,,26-15,2,T. Ulis makes 2-pt shot at rim
2:23.0,Utah full timeout,,26-15,,
2:23.0,,,26-15,,D. House enters the game for T. Warren
2:23.0,R. Neto enters the game for J. Jerebko,,26-15,,
2:23.0,J. Johnson enters the game for R. Gobert,,26-15,,
2:23.0,D. Favors enters the game for D. Mitchell,,26-15,,
2:11.0,J. Johnson misses 3-pt shot from 25 ft,,26-15,,
2:05.0,,,26-15,,Defensive rebound by D. Bender
1:52.0,,,26-18,3,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis)
1:38.0,R. O'Neale misses 2-pt shot from 1 ft,,26-18,,
1:36.0,,,26-18,,Defensive rebound by D. Bender
1:36.0,,,26-18,,J. Dudley misses 3-pt shot from 26 ft
