time,Boston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. A. Baynes (A. Horford gains possession),,,,Jump ball: S. Labissiere vs. A. Baynes (A. Horford gains possession)
11:45.0,A. Baynes misses 2-pt shot from 6 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by W. Cauley-Stein
11:27.0,,,0-0,,Turnover by S. Labissiere (bad pass; steal by J. Tatum)
11:23.0,J. Tatum makes 2-pt shot at rim,2,2-0,,
11:17.0,,,2-0,,Turnover by D. Fox (lost ball; steal by T. Rozier)
11:07.0,Turnover by J. Brown (turnover),,2-0,,
10:57.0,,,2-2,2,D. Fox makes 2-pt shot from 15 ft
10:44.0,,,2-2,,Personal foul by S. Labissiere (drawn by A. Horford)
10:36.0,Turnover by J. Brown (lost ball; steal by B. Bogdanovic),,2-2,,
10:30.0,,,2-2,,B. Bogdanovic misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by A. Horford,,2-2,,
10:13.0,T. Rozier makes 3-pt shot from 24 ft (assist by A. Baynes),3,5-2,,
9:57.0,,,5-2,,W. Cauley-Stein misses 2-pt shot from 3 ft
9:54.0,Defensive rebound by T. Rozier,,5-2,,
9:49.0,T. Rozier misses 3-pt shot from 24 ft,,5-2,,
9:46.0,,,5-2,,Defensive rebound by W. Cauley-Stein
9:32.0,,,5-4,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
9:16.0,J. Tatum makes 2-pt shot from 1 ft,2,7-4,,
8:57.0,,,7-6,2,D. Fox makes 2-pt shot from 1 ft
8:35.0,Turnover by A. Baynes (out of bounds lost ball),,7-6,,
8:19.0,,,7-8,2,B. Bogdanovic makes 2-pt shot from 2 ft
8:03.0,A. Horford misses 2-pt shot from 3 ft,,7-8,,
8:00.0,,,7-8,,Defensive rebound by W. Cauley-Stein
7:46.0,,,7-8,,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Brown)
7:42.0,Defensive rebound by A. Horford,,7-8,,
7:41.0,Offensive foul by J. Brown (drawn by S. Labissiere),,7-8,,
7:41.0,Turnover by J. Brown (offensive foul),,7-8,,
7:25.0,,,7-8,,W. Cauley-Stein misses 2-pt shot from 17 ft
7:22.0,Defensive rebound by T. Rozier,,7-8,,
7:11.0,T. Rozier makes 2-pt shot from 2 ft,2,9-8,,
7:04.0,,,9-8,,D. Fox misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by J. Tatum,,9-8,,
6:55.0,Turnover by J. Tatum (bad pass),,9-8,,
6:55.0,,,9-8,,Sacramento full timeout
6:55.0,S. Ojeleye enters the game for J. Tatum,,9-8,,
6:41.0,Personal foul by J. Brown (drawn by B. Bogdanovic),,9-8,,
6:30.0,,,9-8,,Shooting foul by A. Horford (drawn by W. Cauley-Stein)
6:30.0,,,9-9,1,W. Cauley-Stein makes free throw 1 of 2
6:30.0,,,9-10,1,W. Cauley-Stein makes free throw 2 of 2
6:17.0,J. Brown makes 2-pt shot at rim (assist by A. Horford),2,11-10,,
6:03.0,,,11-10,,B. Bogdanovic misses 2-pt shot from 21 ft
5:59.0,Defensive rebound by T. Rozier,,11-10,,
5:40.0,T. Rozier makes 3-pt shot from 24 ft (assist by A. Horford),3,14-10,,
5:25.0,,,14-10,,W. Cauley-Stein misses 2-pt shot from 5 ft
5:25.0,,,14-10,,Offensive rebound by Team
5:25.0,Loose ball foul by J. Brown (drawn by W. Cauley-Stein),,14-10,,
5:25.0,,,14-10,,V. Carter enters the game for B. Bogdanovic
5:25.0,A. Nader enters the game for J. Brown,,14-10,,
5:15.0,,,14-10,,W. Cauley-Stein misses 2-pt shot from 5 ft
5:12.0,Defensive rebound by A. Horford,,14-10,,
5:05.0,A. Horford makes 2-pt shot from 3 ft,2,16-10,,
4:44.0,,,16-12,2,S. Labissiere makes 2-pt shot from 9 ft
4:22.0,Turnover by S. Ojeleye (turnover),,16-12,,
4:22.0,,,16-12,,K. Koufos enters the game for W. Cauley-Stein
4:09.0,,,16-14,2,J. Jackson makes 2-pt shot from 20 ft (assist by K. Koufos)
3:54.0,Shooting foul by V. Carter (drawn by S. Ojeleye),,16-14,,
3:54.0,S. Ojeleye misses free throw 1 of 2,,16-14,,
3:54.0,Offensive rebound by Team,,16-14,,
3:54.0,G. Monroe enters the game for A. Baynes,,16-14,,
3:54.0,S. Ojeleye makes free throw 2 of 2,1,17-14,,
3:42.0,,,17-16,2,D. Fox makes 2-pt shot from 17 ft
3:30.0,A. Nader misses 2-pt shot from 3 ft,,17-16,,
3:28.0,,,17-16,,Defensive rebound by K. Koufos
3:23.0,,,17-18,2,D. Fox makes 2-pt shot from 1 ft
