time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gasol (D. Murray gains possession),,,,Jump ball: P. Gasol vs. M. Gasol (D. Murray gains possession)
11:42.0,,,0-2,2,P. Mills makes 2-pt shot from 20 ft
11:17.0,C. Parsons misses 2-pt shot from 18 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by D. Murray
10:57.0,,,0-2,,D. Murray misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by J. Green,,0-2,,
10:51.0,K. Simmons misses 2-pt shot from 15 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by P. Gasol
10:34.0,,,0-4,2,L. Aldridge makes 2-pt shot from 9 ft
10:19.0,D. Brooks makes 2-pt shot at rim (assist by J. Green),2,2-4,,
10:05.0,,,2-4,,K. Anderson misses 2-pt shot from 6 ft
10:02.0,Defensive rebound by M. Gasol,,2-4,,
9:59.0,Turnover by D. Brooks (bad pass),,2-4,,
9:41.0,,,2-4,,P. Mills misses 3-pt shot from 27 ft
9:37.0,Defensive rebound by K. Simmons,,2-4,,
9:33.0,D. Brooks makes 2-pt shot from 1 ft (assist by K. Simmons),2,4-4,,
9:19.0,,,4-4,,Shooting foul by K. Simmons (drawn by P. Mills)
9:19.0,,,4-5,1,P. Mills makes free throw 1 of 2
9:19.0,,,4-5,,T. Parker enters the game for D. Murray
9:19.0,,,4-6,1,P. Mills makes free throw 2 of 2
9:02.0,J. Green makes 2-pt shot from 2 ft (assist by C. Parsons),2,6-6,,
8:46.0,,,6-6,,L. Aldridge misses 2-pt shot from 16 ft
8:42.0,Defensive rebound by M. Gasol,,6-6,,
8:31.0,Turnover by C. Parsons (lost ball; steal by K. Anderson),,6-6,,
8:25.0,,,6-6,,Turnover by L. Aldridge (lost ball; steal by M. Gasol)
8:14.0,,,6-6,,Def 3 sec tech foul by L. Aldridge
8:14.0,M. Gasol makes technical free throw,1,7-6,,
8:14.0,M. Henry enters the game for D. Brooks,,7-6,,
8:06.0,J. Green misses 2-pt shot from 4 ft (block by P. Gasol),,7-6,,
7:59.0,,,7-6,,Defensive rebound by P. Gasol
7:52.0,,,7-6,,P. Mills misses 2-pt shot from 5 ft (block by J. Green)
