time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. W. Cauley-Stein (B. Bogdanovic gains possession),,,,Jump ball: P. Gasol vs. W. Cauley-Stein (B. Bogdanovic gains possession)
11:43.0,Turnover by D. Fox (bad pass),,0-0,,
11:36.0,,,0-0,,P. Mills misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by Team,,0-0,,
11:34.0,,,0-0,,Loose ball foul by P. Gasol (drawn by W. Cauley-Stein)
11:20.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox),2,2-0,,
11:06.0,,,2-0,,D. Green misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by J. Sampson,,2-0,,
10:53.0,D. Fox makes 2-pt shot from 6 ft,2,4-0,,
10:40.0,,,4-0,,Turnover by P. Mills (step out of bounds)
10:20.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,6-0,,
9:57.0,,,6-0,,L. Aldridge misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by Team,,6-0,,
9:42.0,B. Bogdanovic misses 2-pt shot from 16 ft,,6-0,,
9:37.0,,,6-0,,Defensive rebound by P. Gasol
9:20.0,,,6-0,,P. Mills misses 3-pt shot from 23 ft
9:16.0,,,6-0,,Offensive rebound by L. Aldridge
9:10.0,,,6-2,2,L. Aldridge makes 2-pt shot from 6 ft
9:10.0,,,6-2,,Shooting foul by J. Sampson (drawn by L. Aldridge)
9:10.0,,,6-3,1,L. Aldridge makes free throw 1 of 1
8:51.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,6-3,,
8:46.0,Offensive rebound by J. Sampson,,6-3,,
8:46.0,J. Sampson makes 2-pt shot at rim,2,8-3,,
8:39.0,Personal foul by J. Sampson (drawn by L. Aldridge),,8-3,,
8:39.0,N. Hayes enters the game for J. Sampson,,8-3,,
8:29.0,,,8-5,2,D. Murray makes 2-pt shot from 5 ft (assist by L. Aldridge)
8:14.0,N. Hayes makes 2-pt shot from 13 ft (assist by D. Fox),2,10-5,,
7:50.0,,,10-5,,D. Green misses 2-pt shot from 16 ft
7:50.0,Defensive rebound by W. Cauley-Stein,,10-5,,
7:33.0,B. Bogdanovic misses 2-pt shot from 6 ft (block by D. Murray),,10-5,,
7:30.0,Offensive rebound by W. Cauley-Stein,,10-5,,
7:29.0,N. Hayes makes 3-pt shot from 23 ft (assist by W. Cauley-Stein),3,13-5,,
7:15.0,Violation by D. Fox (kicked ball),,13-5,,
7:04.0,,,13-5,,L. Aldridge misses 2-pt shot from 18 ft
6:58.0,,,13-5,,Offensive rebound by P. Gasol
6:58.0,,,13-7,2,P. Gasol makes 2-pt shot at rim
6:56.0,,,13-7,,San Antonio full timeout
6:56.0,,,13-7,,K. Anderson enters the game for D. Green
6:56.0,,,13-7,,R. Gay enters the game for P. Gasol
6:45.0,D. Fox misses 2-pt shot from 14 ft,,13-7,,
6:43.0,Offensive rebound by D. Fox,,13-7,,
6:36.0,B. Bogdanovic misses 2-pt shot from 7 ft,,13-7,,
6:36.0,Offensive rebound by W. Cauley-Stein,,13-7,,
6:30.0,W. Cauley-Stein misses 2-pt shot at rim,,13-7,,
6:30.0,Offensive rebound by B. Bogdanovic,,13-7,,
6:26.0,J. Jackson misses 3-pt shot from 23 ft,,13-7,,
6:23.0,,,13-7,,Defensive rebound by R. Gay
6:22.0,Personal foul by B. Bogdanovic (drawn by P. Mills),,13-7,,
6:14.0,,,13-9,2,L. Aldridge makes 2-pt shot from 1 ft
6:14.0,,,13-9,,Shooting foul by B. Bogdanovic (drawn by L. Aldridge)
6:14.0,,,13-9,,L. Aldridge misses free throw 1 of 1
6:14.0,Defensive rebound by N. Hayes,,13-9,,
6:03.0,Shooting foul by K. Anderson (drawn by W. Cauley-Stein),,13-9,,
6:03.0,W. Cauley-Stein makes free throw 1 of 2,1,14-9,,
6:03.0,B. Hield enters the game for B. Bogdanovic,,14-9,,
6:03.0,W. Cauley-Stein makes free throw 2 of 2,1,15-9,,
5:46.0,,,15-9,,D. Murray misses 2-pt shot from 7 ft
5:44.0,Defensive rebound by B. Hield,,15-9,,
5:33.0,B. Hield misses 2-pt shot from 18 ft,,15-9,,
5:31.0,,,15-9,,Defensive rebound by K. Anderson
5:11.0,,,15-9,,L. Aldridge misses 2-pt shot from 10 ft
5:08.0,,,15-9,,Offensive rebound by D. Murray
5:07.0,,,15-9,,D. Murray misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by N. Hayes,,15-9,,
4:56.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,15-9,,
4:53.0,,,15-9,,Defensive rebound by L. Aldridge
4:39.0,,,15-9,,Turnover by R. Gay (turnover)
4:39.0,,,15-9,,T. Parker enters the game for D. Murray
4:39.0,,,15-9,,M. Ginobili enters the game for P. Mills
4:39.0,V. Carter enters the game for J. Jackson,,15-9,,
4:27.0,D. Fox makes 3-pt shot from 26 ft,3,18-9,,
4:00.0,,,18-9,,L. Aldridge misses 2-pt shot at rim
3:58.0,Defensive rebound by W. Cauley-Stein,,18-9,,
3:45.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by K. Anderson),,18-9,,
3:45.0,Offensive rebound by Team,,18-9,,
3:45.0,Sacramento full timeout,,18-9,,
3:45.0,B. Caboclo enters the game for D. Fox,,18-9,,
3:36.0,N. Hayes makes 2-pt shot from 14 ft,2,20-9,,
3:17.0,,,20-12,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
2:58.0,V. Carter makes 3-pt shot from 25 ft (assist by N. Hayes),3,23-12,,
2:41.0,,,23-12,,M. Ginobili misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by Team,,23-12,,
2:39.0,,,23-12,,P. Gasol enters the game for L. Aldridge
2:39.0,J. Cooley enters the game for W. Cauley-Stein,,23-12,,
2:20.0,B. Hield misses 2-pt shot from 15 ft (block by P. Gasol),,23-12,,
2:17.0,,,23-12,,Defensive rebound by M. Ginobili
2:16.0,,,23-14,2,K. Anderson makes 2-pt shot at rim (assist by M. Ginobili)
2:16.0,,,23-14,,Shooting foul by V. Carter (drawn by K. Anderson)
2:16.0,,,23-14,,K. Anderson misses free throw 1 of 1
2:16.0,Defensive rebound by B. Caboclo,,23-14,,
1:58.0,J. Cooley misses 2-pt shot from 10 ft,,23-14,,
1:54.0,,,23-14,,Defensive rebound by K. Anderson
1:42.0,,,23-14,,R. Gay misses 2-pt shot from 11 ft
1:40.0,,,23-14,,Offensive rebound by P. Gasol
1:37.0,,,23-14,,Turnover by M. Ginobili (lost ball; steal by B. Hield)
1:32.0,B. Hield makes 2-pt shot from 1 ft (assist by V. Carter),2,25-14,,
1:17.0,,,25-14,,Turnover by T. Parker (bad pass)
1:17.0,B. Bogdanovic enters the game for N. Hayes,,25-14,,
0:53.0,J. Cooley misses 2-pt shot from 1 ft,,25-14,,
0:50.0,Offensive rebound by J. Cooley,,25-14,,
0:40.0,Offensive foul by V. Carter (drawn by M. Ginobili),,25-14,,
0:40.0,Turnover by V. Carter (offensive foul),,25-14,,
0:29.0,,,25-14,,Shooting foul by B. Hield (drawn by R. Gay)
0:29.0,Technical foul by V. Carter,,25-14,,
0:29.0,,,25-15,1,M. Ginobili makes technical free throw
0:29.0,,,25-16,1,R. Gay makes free throw 1 of 2
0:29.0,,,25-17,1,R. Gay makes free throw 2 of 2
0:06.0,Turnover by B. Bogdanovic (lost ball; steal by P. Gasol),,25-17,,
0:00.0,,,25-17,,T. Parker misses 3-pt shot from 27 ft
0:00.0,,,25-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-17,,T. Parker misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by J. Cooley,,25-17,,
11:20.0,J. Cooley makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,27-17,,
11:01.0,,,27-17,,P. Gasol misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by V. Carter,,27-17,,
10:53.0,B. Caboclo misses 2-pt shot from 7 ft,,27-17,,
10:53.0,,,27-17,,Defensive rebound by T. Parker
10:44.0,,,27-19,2,T. Parker makes 2-pt shot at rim
10:21.0,B. Bogdanovic misses 3-pt shot from 22 ft,,27-19,,
10:21.0,,,27-19,,Defensive rebound by P. Gasol
10:12.0,,,27-21,2,D. Green makes 2-pt shot at rim (assist by P. Gasol)
10:12.0,,,27-21,,Shooting foul by B. Bogdanovic (drawn by D. Green)
10:12.0,W. Cauley-Stein enters the game for J. Cooley,,27-21,,
10:12.0,,,27-22,1,D. Green makes free throw 1 of 1
9:58.0,B. Hield makes 3-pt shot from 25 ft,3,30-22,,
9:40.0,,,30-22,,Turnover by M. Ginobili (bad pass; steal by V. Carter)
9:33.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by V. Carter),2,32-22,,
9:33.0,,,32-22,,San Antonio full timeout
9:33.0,,,32-22,,P. Mills enters the game for T. Parker
9:33.0,,,32-22,,D. Murray enters the game for M. Ginobili
9:33.0,D. Fox enters the game for B. Bogdanovic,,32-22,,
9:21.0,,,32-22,,D. Bertans misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by B. Caboclo,,32-22,,
9:04.0,Turnover by D. Fox (lost ball; steal by P. Mills),,32-22,,
8:59.0,,,32-24,2,P. Mills makes 2-pt shot at rim
8:55.0,,,32-24,,Personal foul by D. Bertans (drawn by B. Hield)
8:55.0,J. Jackson enters the game for B. Caboclo,,32-24,,
8:44.0,D. Fox makes 3-pt shot from 22 ft (assist by W. Cauley-Stein),3,35-24,,
8:27.0,,,35-26,2,D. Bertans makes 2-pt shot at rim (assist by P. Mills)
8:17.0,D. Fox makes 3-pt shot from 23 ft,3,38-26,,
8:05.0,,,38-26,,Shooting foul by J. Jackson (drawn by D. Green)
8:05.0,,,38-26,,D. Green misses free throw 1 of 2
