time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Embiid (R. Covington gains possession),,,,Jump ball: H. Whiteside vs. J. Embiid (R. Covington gains possession)
11:53.0,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington),2,2-0,,
11:35.0,,,2-0,,J. Johnson misses 2-pt shot from 1 ft
11:32.0,,,2-0,,Offensive rebound by G. Dragic
11:28.0,,,2-0,,G. Dragic misses 2-pt shot from 4 ft
11:24.0,,,2-0,,Offensive rebound by H. Whiteside
11:22.0,,,2-2,2,H. Whiteside makes 2-pt shot from 1 ft
11:10.0,Turnover by B. Simmons (bad pass; steal by J. Johnson),,2-2,,
11:06.0,,,2-2,,T. Johnson misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by J. Redick,,2-2,,
11:01.0,Turnover by D. Saric (step out of bounds),,2-2,,
10:47.0,,,2-5,3,J. Richardson makes 3-pt shot from 26 ft (assist by H. Whiteside)
10:35.0,J. Redick misses 2-pt shot from 22 ft,,2-5,,
10:32.0,,,2-5,,Defensive rebound by H. Whiteside
10:28.0,,,2-7,2,J. Johnson makes 2-pt shot from 1 ft
10:08.0,B. Simmons misses 2-pt shot from 3 ft,,2-7,,
10:06.0,,,2-7,,Defensive rebound by J. Johnson
9:56.0,,,2-7,,J. Richardson misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by B. Simmons,,2-7,,
9:47.0,Shooting foul by J. Richardson (drawn by D. Saric),,2-7,,
9:47.0,D. Saric misses free throw 1 of 2,,2-7,,
9:47.0,Offensive rebound by Team,,2-7,,
9:47.0,D. Saric makes free throw 2 of 2,1,3-7,,
9:38.0,,,3-7,,Turnover by H. Whiteside (step out of bounds)
9:29.0,J. Embiid misses 2-pt shot from 21 ft,,3-7,,
9:25.0,,,3-7,,Defensive rebound by J. Richardson
9:15.0,,,3-7,,G. Dragic misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by R. Covington,,3-7,,
9:07.0,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington),2,5-7,,
8:51.0,,,5-9,2,H. Whiteside makes 2-pt shot from 14 ft (assist by G. Dragic)
8:41.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,5-9,,
8:41.0,J. Embiid makes free throw 1 of 2,1,6-9,,
8:41.0,J. Embiid makes free throw 2 of 2,1,7-9,,
8:31.0,,,7-12,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
8:18.0,Turnover by D. Saric (lost ball; steal by G. Dragic),,7-12,,
8:14.0,,,7-12,,G. Dragic misses 2-pt shot from 1 ft (block by R. Covington)
8:14.0,,,7-12,,Offensive rebound by Team
8:06.0,,,7-14,2,H. Whiteside makes 2-pt shot from 8 ft
7:40.0,J. Embiid makes 3-pt shot from 25 ft (assist by R. Covington),3,10-14,,
7:17.0,,,10-16,2,H. Whiteside makes 2-pt shot from 9 ft
7:09.0,B. Simmons misses 2-pt shot from 3 ft (block by J. Johnson),,10-16,,
7:08.0,,,10-16,,Defensive rebound by T. Johnson
7:08.0,Personal foul by R. Covington (drawn by T. Johnson),,10-16,,
7:08.0,,,10-16,,J. Winslow enters the game for J. Johnson
7:08.0,M. Belinelli enters the game for J. Redick,,10-16,,
6:58.0,,,10-16,,G. Dragic misses 2-pt shot from 8 ft
6:56.0,Defensive rebound by D. Saric,,10-16,,
6:50.0,Shooting foul by G. Dragic (drawn by D. Saric),,10-16,,
6:50.0,,,10-16,,Miami full timeout
6:50.0,A. Johnson enters the game for J. Embiid,,10-16,,
6:50.0,D. Saric makes free throw 1 of 2,1,11-16,,
6:50.0,D. Saric makes free throw 2 of 2,1,12-16,,
6:33.0,,,12-16,,Turnover by H. Whiteside (bad pass)
6:21.0,Turnover by M. Belinelli (bad pass; steal by G. Dragic),,12-16,,
6:17.0,,,12-18,2,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
6:08.0,,,12-18,,Personal foul by J. Richardson (drawn by D. Saric)
6:08.0,,,12-18,,D. Wade enters the game for J. Richardson
5:58.0,M. Belinelli misses 2-pt shot from 20 ft,,12-18,,
5:56.0,,,12-18,,Defensive rebound by H. Whiteside
5:42.0,,,12-18,,T. Johnson misses 2-pt shot from 1 ft (block by B. Simmons)
5:42.0,Defensive rebound by R. Covington,,12-18,,
5:23.0,A. Johnson makes 2-pt shot from 10 ft (assist by B. Simmons),2,14-18,,
5:06.0,,,14-18,,Turnover by D. Wade (bad pass; steal by B. Simmons)
5:03.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,16-18,,
5:03.0,Shooting foul by J. Winslow (drawn by D. Saric),,16-18,,
5:03.0,T. McConnell enters the game for R. Covington,,16-18,,
5:03.0,D. Saric makes free throw 1 of 1,1,17-18,,
4:49.0,,,17-18,,Shooting foul by B. Simmons (drawn by H. Whiteside)
4:49.0,,,17-19,1,H. Whiteside makes free throw 1 of 2
4:49.0,,,17-19,,H. Whiteside misses free throw 2 of 2
4:46.0,Defensive rebound by D. Saric,,17-19,,
4:31.0,D. Saric makes 3-pt shot from 25 ft (assist by M. Belinelli),3,20-19,,
4:07.0,,,20-22,3,D. Wade makes 3-pt shot from 22 ft
3:54.0,B. Simmons misses 2-pt shot from 1 ft,,20-22,,
3:52.0,,,20-22,,Defensive rebound by D. Wade
3:48.0,,,20-24,2,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
3:48.0,Philadelphia full timeout,,20-24,,
3:48.0,E. Ilyasova enters the game for A. Johnson,,20-24,,
3:48.0,J. Embiid enters the game for D. Saric,,20-24,,
3:48.0,J. Redick enters the game for B. Simmons,,20-24,,
3:48.0,,,20-24,,B. Adebayo enters the game for H. Whiteside
3:32.0,J. Redick makes 2-pt shot from 14 ft (assist by J. Embiid),2,22-24,,
3:07.0,,,22-26,2,D. Wade makes 2-pt shot from 14 ft
2:52.0,J. Embiid misses 2-pt shot from 16 ft,,22-26,,
2:50.0,,,22-26,,Defensive rebound by J. Winslow
2:46.0,,,22-26,,J. Winslow misses 2-pt shot from 6 ft
