time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. S. Adams (R. Rondo gains possession),,,,Jump ball: A. Davis vs. S. Adams (R. Rondo gains possession)
11:41.0,,,0-0,,A. Davis misses 2-pt shot from 9 ft (block by S. Adams)
11:37.0,Defensive rebound by C. Anthony,,0-0,,
11:21.0,P. George misses 2-pt shot from 20 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by E. Okafor
11:15.0,,,0-0,,J. Holiday misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by S. Adams,,0-0,,
11:01.0,Turnover by C. Anthony (lost ball; steal by J. Holiday),,0-0,,
10:58.0,,,0-0,,A. Davis misses 2-pt shot from 1 ft
10:57.0,,,0-0,,Offensive rebound by A. Davis
10:56.0,,,0-0,,A. Davis misses 2-pt shot at rim
10:54.0,Defensive rebound by P. George,,0-0,,
10:39.0,C. Anthony misses 3-pt shot from 26 ft,,0-0,,
10:35.0,Offensive rebound by C. Brewer,,0-0,,
10:26.0,R. Westbrook misses 2-pt shot from 2 ft,,0-0,,
10:21.0,,,0-0,,Defensive rebound by E. Moore
10:18.0,,,0-0,,E. Okafor misses 2-pt shot from 1 ft
10:18.0,,,0-0,,Offensive rebound by A. Davis
10:15.0,,,0-2,2,A. Davis makes 2-pt shot from 1 ft
9:59.0,C. Anthony misses 3-pt shot from 24 ft,,0-2,,
9:57.0,,,0-2,,Defensive rebound by E. Okafor
9:52.0,,,0-4,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
9:33.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-4,,
9:20.0,,,2-4,,A. Davis misses 2-pt shot from 21 ft
9:16.0,Defensive rebound by P. George,,2-4,,
9:05.0,Turnover by S. Adams (lost ball; steal by A. Davis),,2-4,,
9:00.0,,,2-4,,Turnover by R. Rondo (bad pass)
8:52.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,4-4,,
8:52.0,Shooting foul by A. Davis (drawn by S. Adams),,4-4,,
8:52.0,S. Adams makes free throw 1 of 1,1,5-4,,
8:48.0,,,5-4,,Turnover by J. Holiday (lost ball; steal by P. George)
8:39.0,C. Anthony misses 2-pt shot from 1 ft,,5-4,,
8:39.0,Offensive rebound by Team,,5-4,,
8:39.0,Loose ball foul by C. Anthony (drawn by E. Moore),,5-4,,
8:39.0,Turnover by C. Anthony (turnover),,5-4,,
8:27.0,Personal foul by C. Anthony (drawn by A. Davis),,5-4,,
8:18.0,,,5-4,,R. Rondo misses 3-pt shot from 22 ft
8:13.0,Defensive rebound by P. George,,5-4,,
8:06.0,P. George makes 3-pt shot from 24 ft,3,8-4,,
7:59.0,Violation by S. Adams (kicked ball),,8-4,,
7:50.0,,,8-4,,Turnover by A. Davis (lost ball; steal by P. George)
7:44.0,C. Anthony makes 3-pt shot from 26 ft (assist by P. George),3,11-4,,
7:28.0,,,11-7,3,R. Rondo makes 3-pt shot from 23 ft (assist by E. Moore)
7:16.0,P. George makes 2-pt shot from 19 ft (assist by C. Anthony),2,13-7,,
7:08.0,,,13-9,2,R. Rondo makes 2-pt shot from 1 ft
6:49.0,C. Anthony makes 2-pt shot from 13 ft,2,15-9,,
6:38.0,,,15-12,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday)
6:26.0,C. Brewer misses 2-pt shot from 2 ft,,15-12,,
6:22.0,,,15-12,,Defensive rebound by R. Rondo
6:14.0,,,15-12,,New Orleans full timeout
6:14.0,,,15-12,,S. Hill enters the game for J. Holiday
6:04.0,,,15-14,2,R. Rondo makes 2-pt shot from 23 ft (assist by E. Okafor)
5:47.0,Turnover by R. Westbrook (bad pass; steal by E. Moore),,15-14,,
5:45.0,,,15-14,,Turnover by A. Davis (out of bounds lost ball)
5:28.0,C. Anthony misses 2-pt shot from 11 ft,,15-14,,
5:28.0,Offensive rebound by Team,,15-14,,
5:28.0,Loose ball foul by C. Anthony (drawn by A. Davis),,15-14,,
5:28.0,Turnover by C. Anthony (turnover),,15-14,,
5:28.0,A. Abrines enters the game for C. Anthony,,15-14,,
5:28.0,J. Grant enters the game for P. George,,15-14,,
5:22.0,Personal foul by A. Abrines (drawn by A. Davis),,15-14,,
5:16.0,,,15-14,,S. Hill misses 3-pt shot from 27 ft
5:12.0,Defensive rebound by R. Westbrook,,15-14,,
5:08.0,R. Westbrook misses 2-pt shot from 3 ft,,15-14,,
5:06.0,,,15-14,,Defensive rebound by E. Okafor
5:03.0,,,15-14,,E. Moore misses 2-pt shot from 6 ft (block by J. Grant)
5:03.0,,,15-14,,Offensive rebound by A. Davis
4:55.0,,,15-14,,R. Rondo misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by C. Brewer,,15-14,,
4:48.0,,,15-14,,Personal foul by R. Rondo (drawn by A. Abrines)
4:48.0,Oklahoma City full timeout,,15-14,,
4:48.0,,,15-14,,I. Clark enters the game for E. Moore
4:44.0,R. Westbrook misses 2-pt shot at rim,,15-14,,
4:42.0,,,15-14,,Defensive rebound by S. Hill
4:32.0,,,15-14,,Turnover by I. Clark (bad pass; steal by J. Grant)
4:23.0,R. Westbrook misses 2-pt shot from 16 ft,,15-14,,
4:19.0,,,15-14,,Defensive rebound by A. Davis
4:05.0,Violation by C. Brewer (kicked ball),,15-14,,
4:05.0,P. George enters the game for R. Westbrook,,15-14,,
4:05.0,R. Felton enters the game for C. Brewer,,15-14,,
3:59.0,,,15-17,3,I. Clark makes 3-pt shot from 25 ft
3:36.0,Turnover by S. Adams (turnover),,15-17,,
3:36.0,,,15-17,,N. Mirotic enters the game for R. Rondo
3:36.0,,,15-17,,J. Holiday enters the game for A. Davis
3:17.0,,,15-17,,Turnover by E. Okafor (turnover)
3:07.0,P. George misses 3-pt shot from 25 ft,,15-17,,
3:04.0,,,15-17,,Defensive rebound by J. Holiday
2:51.0,,,15-17,,N. Mirotic misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by R. Felton,,15-17,,
2:41.0,R. Felton misses 2-pt shot from 20 ft,,15-17,,
2:37.0,,,15-17,,Defensive rebound by J. Holiday
2:32.0,,,15-17,,Shooting foul by J. Grant (drawn by J. Holiday)
2:32.0,,,15-17,,J. Holiday misses free throw 1 of 2
2:32.0,,,15-17,,Offensive rebound by Team
2:32.0,,,15-17,,C. Diallo enters the game for E. Okafor
2:32.0,P. Patterson enters the game for S. Adams,,15-17,,
2:32.0,,,15-18,1,J. Holiday makes free throw 2 of 2
2:20.0,P. George misses 3-pt shot from 25 ft,,15-18,,
2:18.0,,,15-18,,Defensive rebound by J. Holiday
2:10.0,,,15-20,2,N. Mirotic makes 2-pt shot from 12 ft (assist by J. Holiday)
1:57.0,P. Patterson misses 3-pt shot from 26 ft,,15-20,,
1:54.0,,,15-20,,Defensive rebound by S. Hill
1:46.0,,,15-22,2,N. Mirotic makes 2-pt shot from 17 ft
1:21.0,R. Felton misses 2-pt shot from 9 ft,,15-22,,
1:18.0,Offensive rebound by Team,,15-22,,
1:17.0,P. George misses 2-pt shot from 9 ft,,15-22,,
1:13.0,,,15-22,,Defensive rebound by C. Diallo
0:59.0,,,15-25,3,I. Clark makes 3-pt shot from 24 ft (assist by J. Holiday)
0:39.0,,,15-25,,D. Miller enters the game for S. Hill
0:37.0,P. George makes 2-pt shot from 2 ft (assist by R. Felton),2,17-25,,
0:37.0,Shooting foul by C. Diallo (drawn by P. George),,17-25,,
0:37.0,P. George makes free throw 1 of 1,1,18-25,,
0:29.0,,,18-28,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday)
0:07.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton),2,20-28,,
0:00.0,,,20-28,,I. Clark misses 2-pt shot from 5 ft
0:00.0,Defensive rebound by P. Patterson,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,20-28,,Personal foul by C. Diallo (drawn by P. George)
11:37.0,P. George makes 2-pt shot from 12 ft,2,22-28,,
11:15.0,,,22-28,,Turnover by I. Clark (bad pass; steal by P. Patterson)
11:11.0,P. George makes 2-pt shot from 1 ft,2,24-28,,
11:11.0,Technical foul by C. Anthony,,24-28,,
11:11.0,,,24-29,1,I. Clark makes technical free throw
11:11.0,,,24-29,,A. Davis enters the game for C. Diallo
10:57.0,,,24-29,,D. Miller misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by P. George,,24-29,,
10:42.0,P. George makes 2-pt shot from 2 ft (assist by P. Patterson),2,26-29,,
10:35.0,,,26-31,2,I. Clark makes 2-pt shot from 1 ft (assist by J. Holiday)
10:24.0,Shooting foul by J. Holiday (drawn by P. George),,26-31,,
10:24.0,P. George makes free throw 1 of 2,1,27-31,,
10:24.0,R. Westbrook enters the game for R. Felton,,27-31,,
10:24.0,P. George makes free throw 2 of 2,1,28-31,,
10:19.0,,,28-33,2,I. Clark makes 2-pt shot from 21 ft (assist by J. Holiday)
10:05.0,P. George makes 3-pt shot from 27 ft (assist by R. Westbrook),3,31-33,,
9:46.0,,,31-33,,D. Miller misses 3-pt shot from 22 ft
9:43.0,Defensive rebound by P. Patterson,,31-33,,
9:37.0,P. George misses 3-pt shot from 26 ft,,31-33,,
9:33.0,,,31-33,,Defensive rebound by N. Mirotic
9:24.0,,,31-33,,N. Mirotic misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by P. George,,31-33,,
9:18.0,R. Westbrook misses 3-pt shot from 24 ft,,31-33,,
9:14.0,Offensive rebound by J. Grant,,31-33,,
9:13.0,J. Grant makes 2-pt shot from 1 ft,2,33-33,,
9:06.0,,,33-33,,Turnover by J. Holiday (bad pass; steal by P. Patterson)
8:58.0,R. Westbrook makes 2-pt shot at rim (assist by P. George),2,35-33,,
8:52.0,,,35-33,,New Orleans full timeout
8:52.0,,,35-33,,S. Hill enters the game for N. Mirotic
8:52.0,,,35-33,,R. Rondo enters the game for J. Holiday
8:52.0,R. Felton enters the game for P. George,,35-33,,
8:42.0,,,35-35,2,A. Davis makes 2-pt shot from 1 ft (assist by I. Clark)
8:28.0,P. Patterson makes 3-pt shot from 22 ft (assist by R. Westbrook),3,38-35,,
8:07.0,,,38-35,,A. Davis misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by R. Westbrook,,38-35,,
8:00.0,R. Westbrook makes 2-pt shot from 1 ft,2,40-35,,
