time,Toronto,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Valanciunas (C. Anthony gains possession),,,,Jump ball: S. Adams vs. J. Valanciunas (C. Anthony gains possession)
11:42.0,,,0-2,2,R. Westbrook makes 2-pt shot from 15 ft (assist by C. Anthony)
11:16.0,J. Valanciunas misses 3-pt shot from 25 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by R. Westbrook
11:09.0,,,0-4,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:55.0,J. Valanciunas misses 2-pt shot from 2 ft,,0-4,,
10:55.0,Offensive rebound by J. Valanciunas,,0-4,,
10:52.0,J. Valanciunas makes 2-pt shot from 1 ft,2,2-4,,
10:31.0,,,2-6,2,C. Anthony makes 2-pt shot from 13 ft (assist by P. George)
10:19.0,O. Anunoby misses 3-pt shot from 26 ft,,2-6,,
10:17.0,,,2-6,,Defensive rebound by A. Roberson
10:11.0,,,2-6,,R. Westbrook misses 2-pt shot from 11 ft
10:05.0,,,2-6,,Offensive rebound by S. Adams
10:00.0,,,2-8,2,C. Anthony makes 2-pt shot from 18 ft
9:46.0,K. Lowry misses 3-pt shot from 24 ft,,2-8,,
9:45.0,,,2-8,,Defensive rebound by Team
9:32.0,,,2-10,2,P. George makes 2-pt shot from 14 ft
9:23.0,Toronto full timeout,,2-10,,
9:12.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,4-10,,
9:01.0,,,4-12,2,R. Westbrook makes 2-pt shot from 20 ft
8:42.0,Turnover by D. DeRozan (bad pass; steal by S. Adams),,4-12,,
8:37.0,,,4-14,2,C. Anthony makes 2-pt shot at rim (assist by R. Westbrook)
8:18.0,Turnover by K. Lowry (bad pass; steal by S. Adams),,4-14,,
8:15.0,,,4-16,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
7:51.0,K. Lowry makes 3-pt shot from 25 ft,3,7-16,,
7:31.0,,,7-16,,Turnover by R. Westbrook (bad pass; steal by K. Lowry)
7:25.0,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry),3,10-16,,
7:03.0,,,10-16,,R. Westbrook misses 2-pt shot from 18 ft
7:01.0,,,10-16,,Offensive rebound by S. Adams
7:00.0,,,10-18,2,S. Adams makes 2-pt shot at rim
7:00.0,Violation by S. Ibaka (def goaltending),,10-18,,
6:48.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,12-18,,
6:36.0,,,12-18,,Shooting foul by D. DeRozan (drawn by P. George)
6:36.0,,,12-19,1,P. George makes free throw 1 of 2
6:36.0,,,12-20,1,P. George makes free throw 2 of 2
6:22.0,O. Anunoby misses 3-pt shot from 25 ft,,12-20,,
6:18.0,,,12-20,,Defensive rebound by P. George
6:14.0,,,12-20,,C. Anthony misses 3-pt shot from 25 ft
6:11.0,,,12-20,,Offensive rebound by R. Westbrook
6:09.0,,,12-20,,Turnover by P. George (bad pass)
6:05.0,,,12-20,,Personal foul by A. Roberson (drawn by D. DeRozan)
5:58.0,S. Ibaka makes 2-pt shot at rim,2,14-20,,
5:42.0,,,14-22,2,R. Westbrook makes 2-pt shot at rim (assist by S. Adams)
5:42.0,,,14-22,,Shooting foul by S. Ibaka (drawn by R. Westbrook)
5:42.0,,,14-22,,R. Westbrook misses free throw 1 of 1
5:40.0,Defensive rebound by S. Ibaka,,14-22,,
5:33.0,O. Anunoby makes 3-pt shot from 23 ft (assist by K. Lowry),3,17-22,,
5:16.0,,,17-24,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
4:59.0,Shooting foul by A. Roberson (drawn by D. DeRozan),,17-24,,
4:59.0,D. DeRozan makes free throw 1 of 2,1,18-24,,
4:59.0,,,18-24,,J. Huestis enters the game for A. Roberson
4:59.0,J. Poeltl enters the game for J. Valanciunas,,18-24,,
4:59.0,D. DeRozan makes free throw 2 of 2,1,19-24,,
4:42.0,,,19-24,,C. Anthony misses 2-pt shot from 4 ft
4:40.0,Defensive rebound by S. Ibaka,,19-24,,
4:27.0,D. DeRozan misses 2-pt shot from 20 ft,,19-24,,
4:26.0,,,19-24,,Defensive rebound by R. Westbrook
4:23.0,,,19-26,2,C. Anthony makes 2-pt shot from 17 ft (assist by R. Westbrook)
4:00.0,,,19-26,,Personal foul by C. Anthony (drawn by S. Ibaka)
4:00.0,C. Miles enters the game for O. Anunoby,,19-26,,
4:00.0,,,19-26,,A. Abrines enters the game for P. George
3:47.0,Shooting foul by J. Huestis (drawn by D. DeRozan),,19-26,,
3:47.0,D. DeRozan makes free throw 1 of 2,1,20-26,,
3:47.0,F. VanVleet enters the game for K. Lowry,,20-26,,
3:47.0,D. DeRozan makes free throw 2 of 2,1,21-26,,
3:35.0,,,21-28,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:35.0,,,21-28,,Shooting foul by J. Poeltl (drawn by S. Adams)
3:35.0,,,21-29,1,S. Adams makes free throw 1 of 1
3:22.0,C. Miles misses 3-pt shot from 26 ft,,21-29,,
3:18.0,Offensive rebound by F. VanVleet,,21-29,,
3:14.0,C. Miles misses 3-pt shot from 24 ft,,21-29,,
3:10.0,,,21-29,,Defensive rebound by J. Huestis
3:02.0,,,21-29,,R. Westbrook misses 2-pt shot from 10 ft
2:58.0,Defensive rebound by D. DeRozan,,21-29,,
2:50.0,Shooting foul by S. Adams (drawn by C. Miles),,21-29,,
2:50.0,,,21-29,,Oklahoma City full timeout
2:50.0,,,21-29,,R. Felton enters the game for R. Westbrook
2:50.0,,,21-29,,J. Grant enters the game for C. Anthony
2:50.0,,,21-29,,P. George enters the game for J. Huestis
2:50.0,P. Siakam enters the game for S. Ibaka,,21-29,,
2:50.0,,,21-29,,P. Patterson enters the game for S. Adams
2:50.0,C. Miles makes free throw 1 of 2,1,22-29,,
2:50.0,C. Miles makes free throw 2 of 2,1,23-29,,
2:30.0,,,23-32,3,P. George makes 3-pt shot from 25 ft
2:04.0,C. Miles makes 3-pt shot from 22 ft (assist by D. DeRozan),3,26-32,,
1:44.0,,,26-32,,J. Grant misses 3-pt shot from 24 ft
1:40.0,Defensive rebound by P. Siakam,,26-32,,
1:24.0,D. DeRozan makes 2-pt shot from 6 ft,2,28-32,,
1:10.0,,,28-32,,P. George misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by F. VanVleet,,28-32,,
1:02.0,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet),2,30-32,,
1:02.0,Shooting foul by A. Abrines (drawn by P. Siakam),,30-32,,
1:02.0,P. Siakam makes free throw 1 of 1,1,31-32,,
0:48.0,,,31-32,,Turnover by P. George (lost ball; steal by P. Siakam)
0:43.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,33-32,,
0:33.0,,,33-32,,R. Felton misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by P. Siakam,,33-32,,
0:13.0,D. DeRozan makes 2-pt shot from 16 ft,2,35-32,,
0:10.0,Personal take foul by P. Siakam (drawn by P. George),,35-32,,
0:03.0,,,35-32,,P. Patterson misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by Team,,35-32,,
0:00.0,C. Miles makes 3-pt shot from 31 ft,3,38-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,F. VanVleet misses 2-pt shot from 2 ft (block by P. Patterson),,38-32,,
11:42.0,,,38-32,,Defensive rebound by J. Grant
11:33.0,,,38-34,2,R. Felton makes 2-pt shot from 5 ft
11:12.0,C. Miles makes 3-pt shot from 22 ft (assist by D. Wright),3,41-34,,
11:04.0,,,41-34,,Oklahoma City full timeout
10:58.0,Personal foul by F. VanVleet (drawn by P. George),,41-34,,
10:43.0,,,41-34,,P. George misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by F. VanVleet,,41-34,,
10:35.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,43-34,,
10:23.0,Personal foul by J. Poeltl (drawn by J. Grant),,43-34,,
10:15.0,,,43-34,,R. Felton misses 2-pt shot from 16 ft
10:12.0,Defensive rebound by P. Siakam,,43-34,,
10:07.0,,,43-34,,Personal foul by J. Grant (drawn by J. Poeltl)
9:55.0,D. Wright makes 2-pt shot from 1 ft,2,45-34,,
9:55.0,Shooting foul by A. Abrines (drawn by D. Wright),,45-34,,
9:55.0,,,45-34,,A. Roberson enters the game for A. Abrines
9:55.0,D. Wright makes free throw 1 of 1,1,46-34,,
9:36.0,,,46-36,2,P. George makes 2-pt shot from 1 ft (assist by A. Roberson)
9:21.0,Turnover by D. Wright (bad pass),,46-36,,
9:21.0,,,46-36,,R. Westbrook enters the game for P. George
9:10.0,,,46-36,,R. Westbrook misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by D. Wright,,46-36,,
9:05.0,D. Wright misses 2-pt shot from 4 ft,,46-36,,
9:01.0,,,46-36,,Defensive rebound by J. Grant
8:55.0,Personal foul by D. Wright (drawn by R. Westbrook),,46-36,,
8:55.0,K. Lowry enters the game for F. VanVleet,,46-36,,
8:47.0,,,46-38,2,R. Westbrook makes 2-pt shot from 1 ft
8:26.0,P. Siakam misses 2-pt shot from 4 ft,,46-38,,
8:24.0,,,46-38,,Defensive rebound by R. Westbrook
8:20.0,,,46-38,,R. Felton misses 2-pt shot from 1 ft (block by P. Siakam)
8:18.0,Defensive rebound by J. Poeltl,,46-38,,
8:15.0,C. Miles misses 3-pt shot from 27 ft,,46-38,,
8:15.0,,,46-38,,Defensive rebound by P. Patterson
8:01.0,Personal foul by K. Lowry (drawn by R. Westbrook),,46-38,,
8:01.0,,,46-38,,S. Adams enters the game for J. Grant
8:01.0,S. Ibaka enters the game for C. Miles,,46-38,,
8:01.0,J. Valanciunas enters the game for J. Poeltl,,46-38,,
8:01.0,O. Anunoby enters the game for P. Siakam,,46-38,,
7:54.0,,,46-38,,R. Westbrook misses 2-pt shot from 17 ft
7:52.0,,,46-38,,Offensive rebound by A. Roberson
7:49.0,,,46-38,,R. Westbrook misses 2-pt shot at rim
7:49.0,Defensive rebound by Team,,46-38,,
7:49.0,,,46-38,,Loose ball foul by S. Adams (drawn by S. Ibaka)
7:37.0,Turnover by S. Ibaka (lost ball; steal by R. Westbrook),,46-38,,
7:32.0,,,46-40,2,R. Westbrook makes 2-pt shot at rim
7:16.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,48-40,,
7:02.0,,,48-40,,R. Felton misses 3-pt shot from 23 ft
7:01.0,,,48-40,,Offensive rebound by Team
7:01.0,Loose ball foul by J. Valanciunas (drawn by S. Adams),,48-40,,
7:01.0,,,48-40,,S. Adams misses free throw 1 of 2
7:01.0,,,48-40,,Offensive rebound by Team
