time,Houston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Capela (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. C. Capela (S. Ibaka gains possession)
11:45.0,Personal foul by J. Harden (drawn by N. Powell),,0-0,,
11:31.0,,,0-0,,S. Ibaka misses 3-pt shot from 23 ft
11:28.0,Defensive rebound by T. Ariza,,0-0,,
11:15.0,T. Ariza misses 2-pt shot from 10 ft,,0-0,,
11:15.0,Offensive rebound by Team,,0-0,,
11:15.0,Turnover by T. Ariza (traveling),,0-0,,
10:59.0,,,0-0,,J. Valanciunas misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by C. Capela,,0-0,,
10:53.0,,,0-0,,Personal block foul by K. Lowry (drawn by J. Harden)
10:43.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,2-0,,
10:30.0,,,2-3,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
10:10.0,C. Capela misses 2-pt shot from 1 ft,,2-3,,
10:07.0,Offensive rebound by C. Capela,,2-3,,
10:06.0,Turnover by C. Capela (lost ball; steal by K. Lowry),,2-3,,
10:03.0,,,2-5,2,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry)
9:51.0,P. Tucker misses 3-pt shot from 23 ft,,2-5,,
9:47.0,,,2-5,,Defensive rebound by J. Valanciunas
9:37.0,,,2-5,,D. DeRozan misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by J. Harden,,2-5,,
9:29.0,J. Harden makes 2-pt shot at rim,2,4-5,,
9:05.0,,,4-7,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan)
8:47.0,C. Paul misses 2-pt shot from 13 ft,,4-7,,
8:45.0,,,4-7,,Defensive rebound by S. Ibaka
8:39.0,,,4-9,2,K. Lowry makes 2-pt shot from 1 ft
8:27.0,J. Harden misses 2-pt shot from 2 ft,,4-9,,
8:26.0,,,4-9,,Defensive rebound by N. Powell
8:22.0,,,4-12,3,K. Lowry makes 3-pt shot from 27 ft (assist by N. Powell)
8:04.0,J. Harden misses 3-pt shot from 25 ft,,4-12,,
8:02.0,,,4-12,,Defensive rebound by J. Valanciunas
7:55.0,,,4-12,,Turnover by K. Lowry (bad pass; steal by T. Ariza)
7:49.0,T. Ariza misses 3-pt shot from 23 ft,,4-12,,
7:46.0,,,4-12,,Defensive rebound by D. DeRozan
7:35.0,,,4-14,2,J. Valanciunas makes 2-pt shot from 10 ft (assist by K. Lowry)
7:10.0,C. Capela makes 2-pt shot from 3 ft (assist by C. Paul),2,6-14,,
6:54.0,,,6-14,,Turnover by D. DeRozan (bad pass; steal by C. Capela)
6:51.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,8-14,,
6:51.0,,,8-14,,Violation by S. Ibaka (def goaltending)
6:28.0,,,8-14,,J. Valanciunas misses 2-pt shot from 14 ft
6:25.0,Defensive rebound by C. Paul,,8-14,,
6:22.0,,,8-14,,Personal foul by D. DeRozan (drawn by J. Harden)
6:22.0,,,8-14,,Toronto full timeout
6:22.0,E. Gordon enters the game for C. Paul,,8-14,,
6:22.0,L. Mbah a Moute enters the game for P. Tucker,,8-14,,
6:12.0,E. Gordon misses 3-pt shot from 30 ft,,8-14,,
6:09.0,,,8-14,,Defensive rebound by S. Ibaka
5:55.0,,,8-17,3,K. Lowry makes 3-pt shot from 28 ft (assist by N. Powell)
5:34.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,8-17,,
5:31.0,Offensive rebound by C. Capela,,8-17,,
5:30.0,Shooting foul by J. Valanciunas (drawn by T. Ariza),,8-17,,
5:30.0,T. Ariza makes free throw 1 of 2,1,9-17,,
5:30.0,T. Ariza misses free throw 2 of 2,,9-17,,
5:28.0,,,9-17,,Defensive rebound by S. Ibaka
5:12.0,,,9-19,2,J. Valanciunas makes 2-pt shot from 2 ft
5:03.0,E. Gordon misses 2-pt shot from 10 ft,,9-19,,
5:00.0,Offensive rebound by C. Capela,,9-19,,
4:56.0,T. Ariza makes 2-pt shot at rim (assist by C. Capela),2,11-19,,
4:42.0,,,11-21,2,S. Ibaka makes 2-pt shot from 14 ft (assist by K. Lowry)
4:31.0,J. Harden makes 2-pt shot from 1 ft,2,13-21,,
4:22.0,,,13-23,2,K. Lowry makes 2-pt shot from 1 ft
4:00.0,Offensive foul by C. Capela (drawn by K. Lowry),,13-23,,
4:00.0,Turnover by C. Capela (offensive foul),,13-23,,
4:00.0,N. Hilario enters the game for C. Capela,,13-23,,
3:53.0,,,13-23,,J. Poeltl enters the game for J. Valanciunas
3:53.0,J. Johnson enters the game for T. Ariza,,13-23,,
3:44.0,,,13-23,,D. DeRozan misses 2-pt shot from 4 ft (block by E. Gordon)
3:41.0,,,13-23,,Offensive rebound by D. DeRozan
