time,Brooklyn,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. J. Allen (D. Russell gains possession),,,,Jump ball: C. Felicio vs. J. Allen (D. Russell gains possession)
11:39.0,D. Russell misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by C. Felicio
11:28.0,,,0-0,,J. Holiday misses 2-pt shot from 6 ft
11:23.0,Defensive rebound by A. Crabbe,,0-0,,
11:14.0,A. Crabbe misses 3-pt shot from 26 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by C. Felicio
10:49.0,,,0-2,2,C. Felicio makes 2-pt shot from 3 ft (assist by D. Nwaba)
10:32.0,J. Harris makes 2-pt shot from 1 ft,2,2-2,,
10:19.0,,,2-2,,D. Nwaba misses 2-pt shot from 8 ft
10:16.0,Defensive rebound by J. Harris,,2-2,,
10:00.0,D. Russell makes 3-pt shot from 25 ft,3,5-2,,
9:46.0,,,5-2,,J. Holiday misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by J. Allen,,5-2,,
9:39.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Russell),2,7-2,,
9:27.0,,,7-2,,Shooting foul by J. Allen (drawn by C. Payne)
9:27.0,,,7-2,,C. Payne misses free throw 1 of 2
9:27.0,,,7-2,,Offensive rebound by Team
9:27.0,,,7-3,1,C. Payne makes free throw 2 of 2
9:17.0,D. Russell misses 3-pt shot from 26 ft,,7-3,,
9:13.0,,,7-3,,Defensive rebound by B. Portis
9:10.0,,,7-3,,C. Payne misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by R. Hollis-Jefferson,,7-3,,
8:58.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Russell),3,10-3,,
8:41.0,,,10-3,,Turnover by B. Portis (bad pass; steal by A. Crabbe)
8:37.0,D. Russell misses 3-pt shot from 25 ft,,10-3,,
8:36.0,,,10-3,,Defensive rebound by Team
8:24.0,,,10-5,2,B. Portis makes 2-pt shot from 10 ft
8:03.0,J. Allen makes 2-pt shot from 2 ft (assist by J. Harris),2,12-5,,
