time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,M. Gortat makes 2-pt shot at rim (assist by O. Porter),2,2-0,,
11:29.0,,,2-2,2,J. Smith makes 2-pt shot from 15 ft
11:15.0,B. Beal misses 2-pt shot from 16 ft,,2-2,,
11:12.0,,,2-2,,Defensive rebound by L. James
11:11.0,,,2-4,2,L. James makes 2-pt shot from 1 ft
11:11.0,,,2-4,,Shooting foul by O. Porter (drawn by L. James)
11:11.0,,,2-5,1,L. James makes free throw 1 of 1
10:49.0,M. Morris misses 3-pt shot from 25 ft,,2-5,,
10:44.0,,,2-5,,Defensive rebound by T. Thompson
10:33.0,,,2-5,,G. Hill misses 2-pt shot from 5 ft
10:31.0,,,2-5,,Offensive rebound by G. Hill
10:17.0,,,2-7,2,L. James makes 2-pt shot from 16 ft
9:55.0,O. Porter makes 2-pt shot from 12 ft (assist by T. Satoransky),2,4-7,,
9:40.0,,,4-9,2,J. Smith makes 2-pt shot from 21 ft (assist by T. Thompson)
9:15.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,6-9,,
8:54.0,,,6-9,,C. Osman misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by O. Porter,,6-9,,
8:36.0,O. Porter misses 3-pt shot from 25 ft,,6-9,,
8:32.0,Offensive rebound by T. Satoransky,,6-9,,
8:30.0,B. Beal misses 3-pt shot from 25 ft,,6-9,,
8:30.0,,,6-9,,Defensive rebound by L. James
8:24.0,,,6-11,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
8:11.0,Turnover by M. Morris (lost ball; steal by L. James),,6-11,,
8:06.0,,,6-13,2,C. Osman makes 2-pt shot from 7 ft (assist by L. James)
8:05.0,Washington full timeout,,6-13,,
7:50.0,O. Porter misses 2-pt shot from 6 ft,,6-13,,
7:48.0,,,6-13,,Defensive rebound by G. Hill
7:43.0,,,6-15,2,T. Thompson makes 2-pt shot from 9 ft (assist by L. James)
7:30.0,T. Satoransky makes 2-pt shot from 10 ft,2,8-15,,
7:30.0,Shooting foul by G. Hill (drawn by T. Satoransky),,8-15,,
7:30.0,T. Satoransky makes free throw 1 of 1,1,9-15,,
7:17.0,,,9-15,,J. Smith misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by T. Satoransky,,9-15,,
7:06.0,B. Beal makes 2-pt shot from 19 ft,2,11-15,,
6:49.0,,,11-15,,G. Hill misses 2-pt shot from 2 ft
6:46.0,,,11-15,,Offensive rebound by T. Thompson
6:44.0,,,11-15,,T. Thompson misses 2-pt shot from 14 ft
6:44.0,Defensive rebound by M. Morris,,11-15,,
6:31.0,M. Morris makes 2-pt shot from 2 ft (assist by T. Satoransky),2,13-15,,
6:21.0,,,13-17,2,C. Osman makes 2-pt shot from 6 ft
6:03.0,B. Beal misses 2-pt shot from 17 ft,,13-17,,
6:00.0,,,13-17,,Defensive rebound by L. James
5:57.0,,,13-19,2,L. James makes 2-pt shot from 1 ft
5:57.0,,,13-19,,Shooting foul by T. Satoransky (drawn by L. James)
5:57.0,,,13-19,,L. James misses free throw 1 of 1
5:55.0,Defensive rebound by M. Morris,,13-19,,
5:40.0,M. Morris misses 2-pt shot from 12 ft,,13-19,,
5:38.0,,,13-19,,Defensive rebound by Team
5:26.0,,,13-19,,J. Smith misses 3-pt shot from 24 ft
5:26.0,,,13-19,,Offensive rebound by Team
5:19.0,Personal foul by O. Porter (drawn by G. Hill),,13-19,,
5:19.0,K. Oubre enters the game for O. Porter,,13-19,,
5:11.0,,,13-19,,C. Osman misses 2-pt shot from 21 ft
5:08.0,Defensive rebound by B. Beal,,13-19,,
5:02.0,M. Gortat misses 2-pt shot from 12 ft,,13-19,,
4:59.0,,,13-19,,Defensive rebound by C. Osman
4:50.0,,,13-19,,J. Smith misses 2-pt shot at rim
4:44.0,,,13-19,,Offensive rebound by T. Thompson
4:44.0,,,13-21,2,T. Thompson makes 2-pt shot at rim
4:27.0,T. Satoransky misses 2-pt shot from 22 ft,,13-21,,
4:23.0,,,13-21,,Defensive rebound by T. Thompson
4:15.0,,,13-21,,Turnover by J. Smith (bad pass; steal by M. Morris)
4:09.0,K. Oubre misses 3-pt shot from 22 ft,,13-21,,
4:06.0,,,13-21,,Defensive rebound by L. James
4:02.0,,,13-21,,Turnover by L. James (lost ball; steal by T. Satoransky)
4:02.0,,,13-21,,Personal foul by T. Thompson (drawn by T. Satoransky)
4:02.0,,,13-21,,R. Hood enters the game for C. Osman
3:43.0,M. Gortat misses 2-pt shot from 7 ft,,13-21,,
3:41.0,,,13-21,,Defensive rebound by L. James
3:37.0,,,13-24,3,J. Smith makes 3-pt shot from 29 ft (assist by L. James)
3:36.0,Washington full timeout,,13-24,,
3:36.0,,,13-24,,J. Green enters the game for R. Hood
3:36.0,I. Mahinmi enters the game for M. Morris,,13-24,,
3:36.0,M. Scott enters the game for M. Gortat,,13-24,,
3:23.0,K. Oubre misses 3-pt shot from 22 ft,,13-24,,
3:20.0,Offensive rebound by M. Scott,,13-24,,
3:12.0,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal),2,15-24,,
2:57.0,,,15-26,2,J. Smith makes 2-pt shot from 18 ft (assist by L. James)
2:50.0,B. Beal makes 3-pt shot from 27 ft,3,18-26,,
2:30.0,,,18-26,,Turnover by L. James (bad pass; steal by K. Oubre)
2:25.0,B. Beal misses 3-pt shot from 26 ft,,18-26,,
2:22.0,,,18-26,,Defensive rebound by T. Thompson
2:16.0,,,18-28,2,G. Hill makes 2-pt shot from 10 ft (assist by L. James)
1:54.0,M. Scott misses 2-pt shot from 6 ft,,18-28,,
1:52.0,Offensive rebound by I. Mahinmi,,18-28,,
