time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: K. Love vs. J. Valanciunas (K. Lowry gains possession)
11:42.0,Turnover by J. Valanciunas (bad pass; steal by G. Hill),,0-0,,
11:38.0,,,0-2,2,G. Hill makes 2-pt shot from 1 ft (assist by L. James)
11:30.0,K. Lowry makes 3-pt shot from 25 ft,3,3-2,,
11:21.0,,,3-4,2,L. James makes 2-pt shot at rim (assist by K. Love)
11:21.0,,,3-4,,Shooting foul by O. Anunoby (drawn by L. James)
11:21.0,,,3-5,1,L. James makes free throw 1 of 1
11:04.0,Turnover by S. Ibaka (bad pass; steal by K. Love),,3-5,,
11:00.0,,,3-7,2,J. Green makes 2-pt shot at rim (assist by J. Calderon)
10:47.0,D. DeRozan makes 2-pt shot from 12 ft,2,5-7,,
10:30.0,,,5-9,2,K. Love makes 2-pt shot from 17 ft (assist by L. James)
10:05.0,D. DeRozan misses 2-pt shot from 21 ft,,5-9,,
10:01.0,,,5-9,,Defensive rebound by K. Love
9:55.0,,,5-11,2,L. James makes 2-pt shot at rim
9:41.0,,,5-11,,Shooting block foul by K. Love (drawn by S. Ibaka)
9:41.0,S. Ibaka makes free throw 1 of 2,1,6-11,,
9:41.0,S. Ibaka makes free throw 2 of 2,1,7-11,,
9:26.0,,,7-11,,K. Love misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by S. Ibaka,,7-11,,
9:08.0,J. Valanciunas makes 3-pt shot from 23 ft (assist by D. DeRozan),3,10-11,,
8:49.0,,,10-13,2,L. James makes 2-pt shot from 1 ft (assist by J. Green)
8:31.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by S. Ibaka),2,12-13,,
8:19.0,,,12-13,,Turnover by J. Calderon (out of bounds lost ball)
8:04.0,K. Lowry makes 3-pt shot from 29 ft,3,15-13,,
7:43.0,,,15-16,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
7:33.0,O. Anunoby makes 3-pt shot from 24 ft (assist by D. DeRozan),3,18-16,,
7:22.0,,,18-18,2,K. Love makes 2-pt shot from 1 ft (assist by J. Calderon)
7:11.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,20-18,,
7:11.0,Shooting foul by J. Green (drawn by J. Valanciunas),,20-18,,
7:11.0,J. Valanciunas misses free throw 1 of 1,,20-18,,
7:11.0,,,20-18,,Defensive rebound by K. Love
7:00.0,,,20-18,,J. Calderon misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by J. Valanciunas,,20-18,,
6:53.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,22-18,,
6:46.0,,,22-18,,Cleveland full timeout
6:35.0,,,22-20,2,G. Hill makes 2-pt shot at rim (assist by L. James)
6:17.0,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,24-20,,
6:05.0,,,24-20,,Shooting foul by J. Valanciunas (drawn by J. Green)
6:05.0,,,24-21,1,J. Green makes free throw 1 of 2
