time,Denver,pts.away,score,pts.home,Chicago
1:43.0,,,132-98,3,N. Vonleh makes 3-pt shot from 26 ft (assist by D. Nwaba)
1:41.0,Turnover by T. Craig (bad pass),,132-98,,
1:35.0,,,132-100,2,C. Felicio makes 2-pt shot at rim (assist by A. Blakeney)
1:28.0,Turnover by M. Beasley (lost ball; steal by C. Payne),,132-100,,
1:26.0,,,132-102,2,D. Nwaba makes 2-pt shot at rim (assist by C. Felicio)
1:06.0,T. Craig misses 2-pt shot from 16 ft,,132-102,,
1:02.0,Offensive rebound by T. Lyles,,132-102,,
1:02.0,Turnover by Team (shot clock),,132-102,,
0:46.0,,,132-102,,C. Payne misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by T. Lyles,,132-102,,
0:34.0,D. Arthur makes 3-pt shot from 22 ft (assist by R. Jefferson),3,135-102,,
0:20.0,,,135-102,,C. Felicio misses 2-pt shot from 4 ft (block by D. Arthur)
0:13.0,Defensive rebound by T. Lyles,,135-102,,
0:13.0,,,135-102,,Personal foul by D. Nwaba (drawn by R. Jefferson)
