time,Denver,pts.away,score,pts.home,Chicago
1:15.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,33-23,,
1:13.0,,,33-23,,Turnover by N. Vonleh (bad pass)
0:57.0,N. Jokic makes 2-pt shot from 8 ft,2,35-23,,
0:57.0,Shooting foul by D. Nwaba (drawn by N. Jokic),,35-23,,
0:57.0,N. Jokic makes free throw 1 of 1,1,36-23,,
0:46.0,,,36-25,2,B. Portis makes 2-pt shot from 15 ft (assist by J. Grant)
0:34.0,D. Harris makes 3-pt shot from 25 ft (assist by T. Craig),3,39-25,,
0:29.0,,,39-25,,J. Grant misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by M. Plumlee,,39-25,,
0:07.0,D. Harris misses 3-pt shot from 26 ft,,39-25,,
0:04.0,,,39-25,,Defensive rebound by B. Portis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,39-27,2,B. Portis makes 2-pt shot from 10 ft
11:46.0,,,39-27,,Shooting foul by T. Lyles (drawn by B. Portis)
11:46.0,,,39-28,1,B. Portis makes free throw 1 of 1
11:31.0,J. Murray misses 2-pt shot from 15 ft,,39-28,,
11:28.0,,,39-28,,Defensive rebound by B. Portis
11:12.0,,,39-28,,N. Vonleh misses 3-pt shot from 23 ft
11:09.0,Defensive rebound by T. Craig,,39-28,,
11:02.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray),2,41-28,,
10:51.0,,,41-28,,B. Portis misses 2-pt shot from 8 ft
10:51.0,Defensive rebound by N. Jokic,,41-28,,
10:38.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Harris),2,43-28,,
10:28.0,,,43-28,,N. Vonleh misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Murray,,43-28,,
10:09.0,N. Jokic makes 2-pt shot from 15 ft,2,45-28,,
10:09.0,,,45-28,,Chicago full timeout
9:58.0,,,45-28,,Shooting foul by T. Craig (drawn by D. Nwaba)
9:58.0,,,45-29,1,D. Nwaba makes free throw 1 of 2
9:58.0,,,45-29,,D. Nwaba misses free throw 2 of 2
9:52.0,Defensive rebound by T. Craig,,45-29,,
9:32.0,J. Murray makes 3-pt shot from 23 ft,3,48-29,,
9:21.0,,,48-31,2,N. Vonleh makes 2-pt shot from 4 ft (assist by J. Grant)
9:10.0,,,48-31,,Personal foul by N. Vonleh (drawn by N. Jokic)
8:59.0,Shooting foul by D. Nwaba (drawn by J. Murray),,48-31,,
8:59.0,J. Murray makes free throw 1 of 2,1,49-31,,
8:59.0,J. Murray makes free throw 2 of 2,1,50-31,,
