time,San Antonio,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. P. Gasol (K. Anderson gains possession),,,,Jump ball: T. Zeller vs. P. Gasol (K. Anderson gains possession)
11:39.0,K. Anderson misses 2-pt shot from 12 ft,,0-0,,
11:36.0,Offensive rebound by K. Anderson,,0-0,,
11:28.0,P. Gasol makes 2-pt shot from 21 ft (assist by T. Parker),2,2-0,,
11:09.0,,,2-2,2,R. Hollis-Jefferson makes 2-pt shot from 5 ft
10:57.0,T. Parker misses 2-pt shot from 17 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by D. Carroll
10:50.0,,,2-2,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Green)
10:44.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Green),2,4-2,,
10:20.0,,,4-5,3,D. Carroll makes 3-pt shot from 23 ft
10:03.0,Shooting foul by A. Crabbe (drawn by D. Green),,4-5,,
10:03.0,D. Green misses free throw 1 of 2,,4-5,,
10:03.0,Offensive rebound by Team,,4-5,,
10:03.0,D. Green makes free throw 2 of 2,1,5-5,,
9:57.0,,,5-5,,S. Dinwiddie misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by D. Green,,5-5,,
9:46.0,D. Green misses 2-pt shot from 22 ft,,5-5,,
9:42.0,,,5-5,,Defensive rebound by R. Hollis-Jefferson
9:40.0,,,5-5,,Turnover by D. Carroll (bad pass)
9:24.0,L. Aldridge makes 2-pt shot from 9 ft,2,7-5,,
9:10.0,,,7-5,,A. Crabbe misses 2-pt shot from 17 ft
9:05.0,,,7-5,,Offensive rebound by T. Zeller
9:02.0,,,7-8,3,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
8:45.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker),2,9-8,,
8:31.0,,,9-8,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
8:29.0,Defensive rebound by P. Gasol,,9-8,,
8:16.0,L. Aldridge misses 2-pt shot from 4 ft,,9-8,,
8:14.0,,,9-8,,Defensive rebound by D. Carroll
8:09.0,,,9-8,,Shooting foul by D. Green (drawn by A. Crabbe)
8:09.0,,,9-9,1,A. Crabbe makes free throw 1 of 3
8:09.0,,,9-9,,A. Crabbe misses free throw 2 of 3
8:09.0,,,9-9,,Offensive rebound by Team
8:09.0,,,9-10,1,A. Crabbe makes free throw 3 of 3
8:00.0,,,9-10,,Personal foul by T. Zeller (drawn by P. Gasol)
