time,Dallas,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Barnes (W. Matthews gains possession),,,,Jump ball: M. Gortat vs. H. Barnes (W. Matthews gains possession)
11:45.0,D. Smith makes 2-pt shot from 1 ft (assist by W. Matthews),2,2-0,,
11:21.0,,,2-0,,Turnover by B. Beal (out of bounds lost ball)
11:07.0,D. Nowitzki makes 2-pt shot from 3 ft (assist by D. Smith),2,4-0,,
10:49.0,,,4-0,,M. Morris misses 2-pt shot from 11 ft
10:46.0,Defensive rebound by W. Matthews,,4-0,,
10:41.0,D. Smith makes 2-pt shot from 15 ft,2,6-0,,
10:40.0,Shooting foul by B. Beal (drawn by D. Smith),,6-0,,
10:40.0,D. Smith makes free throw 1 of 1,1,7-0,,
10:28.0,,,7-2,2,B. Beal makes 2-pt shot from 20 ft (assist by J. Wall)
10:13.0,W. Matthews misses 2-pt shot from 9 ft,,7-2,,
10:11.0,,,7-2,,Defensive rebound by O. Porter
10:06.0,,,7-2,,B. Beal misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by D. Nowitzki,,7-2,,
9:49.0,D. Smith makes 2-pt shot from 17 ft,2,9-2,,
9:28.0,,,9-4,2,O. Porter makes 2-pt shot from 13 ft
9:09.0,Turnover by D. Nowitzki (step out of bounds),,9-4,,
9:00.0,,,9-4,,Shooting foul by D. Nowitzki (drawn by J. Wall)
9:00.0,,,9-5,1,J. Wall makes free throw 1 of 2
9:00.0,,,9-6,1,J. Wall makes free throw 2 of 2
8:41.0,Y. Ferrell misses 3-pt shot from 27 ft,,9-6,,
8:38.0,,,9-6,,Defensive rebound by M. Morris
8:30.0,,,9-6,,J. Wall misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by H. Barnes,,9-6,,
8:20.0,,,9-6,,Personal foul by M. Morris (drawn by H. Barnes)
8:14.0,D. Smith misses 3-pt shot from 25 ft,,9-6,,
8:09.0,,,9-6,,Defensive rebound by B. Beal
7:58.0,Personal foul by H. Barnes (drawn by M. Gortat),,9-6,,
7:58.0,S. Mejri enters the game for D. Nowitzki,,9-6,,
7:52.0,,,9-6,,Turnover by M. Morris (bad pass; steal by D. Smith)
7:46.0,D. Smith misses 2-pt shot from 3 ft,,9-6,,
7:44.0,,,9-6,,Defensive rebound by B. Beal
7:41.0,,,9-6,,B. Beal misses 2-pt shot from 2 ft
7:39.0,,,9-6,,Offensive rebound by M. Morris
7:38.0,,,9-8,2,M. Morris makes 2-pt shot from 1 ft
7:20.0,H. Barnes makes 2-pt shot from 2 ft (assist by D. Smith),2,11-8,,
7:07.0,,,11-10,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:54.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith),3,14-10,,
6:45.0,,,14-10,,Turnover by M. Morris (out of bounds lost ball)
6:45.0,,,14-10,,Washington full timeout
6:36.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews),3,17-10,,
