time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Turner (T. Young gains possession),,,,Jump ball: A. Drummond vs. M. Turner (T. Young gains possession)
11:34.0,M. Turner misses 2-pt shot from 2 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by R. Jackson
11:28.0,,,0-2,2,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson)
11:07.0,B. Bogdanovic misses 2-pt shot from 7 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by A. Drummond
10:56.0,,,0-5,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Bullock)
10:36.0,V. Oladipo makes 2-pt shot from 15 ft,2,2-5,,
10:18.0,,,2-7,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
10:05.0,D. Collison makes 3-pt shot from 26 ft (assist by M. Turner),3,5-7,,
9:39.0,,,5-7,,Turnover by A. Drummond (lost ball; steal by V. Oladipo)
9:37.0,Turnover by M. Turner (lost ball; steal by R. Bullock),,5-7,,
9:31.0,,,5-9,2,R. Bullock makes 2-pt shot from 1 ft
9:23.0,D. Collison misses 3-pt shot from 28 ft,,5-9,,
9:16.0,,,5-9,,Defensive rebound by T. Harris
9:13.0,,,5-11,2,A. Drummond makes 2-pt shot from 1 ft (assist by T. Harris)
9:13.0,,,5-11,,Shooting foul by M. Turner (drawn by A. Drummond)
9:13.0,,,5-12,1,A. Drummond makes free throw 1 of 1
8:50.0,Turnover by M. Turner (bad pass),,5-12,,
8:36.0,,,5-15,3,L. Kennard makes 3-pt shot from 27 ft (assist by R. Jackson)
8:30.0,Indiana full timeout,,5-15,,
8:16.0,V. Oladipo makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,8-15,,
7:58.0,Personal foul by M. Turner (drawn by A. Drummond),,8-15,,
7:47.0,,,8-15,,R. Bullock misses 3-pt shot from 27 ft
7:43.0,Defensive rebound by M. Turner,,8-15,,
7:35.0,Turnover by V. Oladipo (bad pass),,8-15,,
7:24.0,,,8-18,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
7:01.0,M. Turner misses 3-pt shot from 24 ft,,8-18,,
6:58.0,,,8-18,,Defensive rebound by L. Kennard
6:51.0,,,8-20,2,R. Bullock makes 2-pt shot from 2 ft (assist by R. Jackson)
6:28.0,Shooting foul by L. Kennard (drawn by M. Turner),,8-20,,
6:28.0,M. Turner makes free throw 1 of 2,1,9-20,,
6:28.0,M. Turner misses free throw 2 of 2,,9-20,,
6:27.0,,,9-20,,Defensive rebound by A. Drummond
6:21.0,,,9-23,3,L. Kennard makes 3-pt shot from 22 ft (assist by R. Jackson)
6:20.0,Indiana full timeout,,9-23,,
6:20.0,D. Sabonis enters the game for M. Turner,,9-23,,
6:11.0,B. Bogdanovic misses 2-pt shot from 11 ft,,9-23,,
6:09.0,,,9-23,,Defensive rebound by R. Jackson
6:05.0,,,9-26,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
5:40.0,D. Sabonis misses 2-pt shot from 16 ft,,9-26,,
5:38.0,,,9-26,,Defensive rebound by A. Drummond
5:30.0,,,9-26,,Shooting foul by D. Sabonis (drawn by T. Harris)
5:30.0,,,9-27,1,T. Harris makes free throw 1 of 2
5:30.0,L. Stephenson enters the game for B. Bogdanovic,,9-27,,
5:30.0,,,9-27,,S. Johnson enters the game for L. Kennard
5:30.0,,,9-28,1,T. Harris makes free throw 2 of 2
5:16.0,Turnover by L. Stephenson (bad pass; steal by T. Harris),,9-28,,
5:08.0,,,9-28,,R. Jackson misses 2-pt shot from 4 ft
5:04.0,Defensive rebound by T. Young,,9-28,,
5:03.0,T. Young makes 2-pt shot from 1 ft,2,11-28,,
4:45.0,,,11-30,2,T. Harris makes 2-pt shot from 13 ft (assist by R. Bullock)
4:20.0,Turnover by V. Oladipo (out of bounds lost ball),,11-30,,
4:20.0,,,11-30,,I. Smith enters the game for R. Jackson
4:20.0,C. Joseph enters the game for D. Collison,,11-30,,
3:58.0,,,11-30,,I. Smith misses 2-pt shot from 9 ft (block by T. Young)
3:55.0,Defensive rebound by D. Sabonis,,11-30,,
3:53.0,V. Oladipo misses 2-pt shot from 2 ft,,11-30,,
3:51.0,,,11-30,,Defensive rebound by T. Harris
3:47.0,,,11-33,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
3:28.0,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo),2,13-33,,
3:09.0,,,13-33,,R. Bullock misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by T. Young,,13-33,,
3:01.0,T. Young misses 2-pt shot from 8 ft,,13-33,,
3:00.0,,,13-33,,Defensive rebound by A. Drummond
2:52.0,,,13-33,,S. Johnson misses 3-pt shot from 26 ft
2:48.0,Defensive rebound by L. Stephenson,,13-33,,
2:42.0,Turnover by L. Stephenson (bad pass; steal by S. Johnson),,13-33,,
2:35.0,,,13-35,2,T. Harris makes 2-pt shot at rim (assist by S. Johnson)
2:11.0,D. Sabonis misses 2-pt shot from 13 ft,,13-35,,
2:08.0,,,13-35,,Defensive rebound by T. Harris
2:02.0,,,13-35,,R. Bullock misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by Team,,13-35,,
2:02.0,,,13-35,,E. Moreland enters the game for A. Drummond
2:02.0,A. Poythress enters the game for T. Young,,13-35,,
1:47.0,C. Joseph makes 2-pt shot from 18 ft (assist by D. Sabonis),2,15-35,,
1:25.0,,,15-35,,I. Smith misses 2-pt shot from 1 ft
1:21.0,,,15-35,,Offensive rebound by E. Moreland
1:21.0,,,15-35,,E. Moreland misses 2-pt shot from 2 ft
1:20.0,,,15-35,,Offensive rebound by E. Moreland
1:19.0,,,15-38,3,T. Harris makes 3-pt shot from 26 ft (assist by E. Moreland)
0:59.0,D. Sabonis makes 2-pt shot from 4 ft (assist by L. Stephenson),2,17-38,,
0:46.0,,,17-40,2,R. Bullock makes 2-pt shot from 1 ft (assist by E. Moreland)
0:34.0,,,17-40,,Personal foul by E. Moreland (drawn by C. Joseph)
0:25.0,C. Joseph makes 2-pt shot from 2 ft,2,19-40,,
0:06.0,Personal foul by A. Poythress (drawn by T. Harris),,19-40,,
0:01.0,,,19-40,,I. Smith misses 2-pt shot from 9 ft
0:01.0,,,19-40,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,19-40,,L. Galloway misses 2-pt shot from 20 ft
11:42.0,,,19-40,,Offensive rebound by Team
11:42.0,Loose ball foul by D. Sabonis (drawn by E. Moreland),,19-40,,
11:28.0,,,19-40,,I. Smith misses 2-pt shot from 2 ft
11:26.0,Defensive rebound by D. Sabonis,,19-40,,
11:12.0,D. Sabonis misses 2-pt shot from 2 ft,,19-40,,
11:12.0,Offensive rebound by D. Sabonis,,19-40,,
11:07.0,D. Sabonis makes 2-pt shot at rim,2,21-40,,
10:53.0,,,21-40,,Turnover by A. Tolliver (bad pass)
10:39.0,,,21-40,,Violation by I. Smith (kicked ball)
10:30.0,C. Joseph misses 2-pt shot from 14 ft,,21-40,,
10:28.0,Offensive rebound by Team,,21-40,,
10:23.0,C. Joseph makes 2-pt shot from 1 ft (assist by D. Sabonis),2,23-40,,
10:05.0,,,23-40,,Turnover by A. Tolliver (bad pass; steal by B. Bogdanovic)
10:03.0,B. Bogdanovic misses 2-pt shot at rim,,23-40,,
10:01.0,,,23-40,,Defensive rebound by Team
9:47.0,,,23-40,,Turnover by I. Smith (lost ball; steal by A. Poythress)
9:44.0,,,23-40,,Personal foul by S. Johnson (drawn by B. Bogdanovic)
9:33.0,B. Bogdanovic makes 2-pt shot from 7 ft,2,25-40,,
9:27.0,,,25-40,,Detroit full timeout
9:06.0,,,25-40,,S. Johnson misses 3-pt shot from 25 ft
9:06.0,,,25-40,,Offensive rebound by Team
9:06.0,,,25-40,,Turnover by Team (shot clock)
8:50.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Sabonis),3,28-40,,
8:26.0,,,28-40,,Shooting foul by D. Sabonis (drawn by S. Johnson)
8:26.0,,,28-41,1,S. Johnson makes free throw 1 of 2
8:26.0,M. Turner enters the game for D. Sabonis,,28-41,,
8:26.0,,,28-41,,S. Johnson misses free throw 2 of 2
8:26.0,Defensive rebound by Team,,28-41,,
8:26.0,,,28-41,,Loose ball foul by E. Moreland (drawn by M. Turner)
8:18.0,Turnover by B. Bogdanovic (bad pass; steal by L. Galloway),,28-41,,
8:17.0,Personal foul by C. Joseph (drawn by I. Smith),,28-41,,
8:07.0,,,28-43,2,I. Smith makes 2-pt shot from 1 ft
7:43.0,C. Joseph misses 3-pt shot from 29 ft,,28-43,,
7:42.0,Offensive rebound by Team,,28-43,,
7:42.0,,,28-43,,Loose ball foul by L. Galloway (drawn by B. Bogdanovic)
7:36.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Turner),2,30-43,,
7:21.0,,,30-43,,L. Galloway misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by A. Poythress,,30-43,,
7:13.0,A. Poythress makes 2-pt shot from 1 ft (assist by L. Stephenson),2,32-43,,
7:13.0,,,32-43,,Violation by E. Moreland (def goaltending)
7:03.0,,,32-45,2,I. Smith makes 2-pt shot at rim
6:51.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by E. Moreland),,32-45,,
6:51.0,Offensive rebound by Team,,32-45,,
6:51.0,,,32-45,,A. Drummond enters the game for I. Smith
6:51.0,,,32-45,,R. Jackson enters the game for E. Moreland
6:45.0,B. Bogdanovic misses 3-pt shot from 24 ft,,32-45,,
6:42.0,Offensive rebound by A. Poythress,,32-45,,
6:35.0,L. Stephenson makes 2-pt shot from 1 ft,2,34-45,,
6:12.0,,,34-45,,R. Jackson misses 2-pt shot from 18 ft
6:09.0,Defensive rebound by L. Stephenson,,34-45,,
5:56.0,L. Stephenson misses 2-pt shot from 14 ft,,34-45,,
5:53.0,,,34-45,,Defensive rebound by A. Drummond
5:37.0,,,34-45,,A. Tolliver misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by M. Turner,,34-45,,
5:25.0,M. Turner makes 3-pt shot from 24 ft (assist by C. Joseph),3,37-45,,
5:16.0,,,37-45,,Detroit full timeout
5:16.0,,,37-45,,T. Harris enters the game for L. Galloway
5:16.0,,,37-45,,R. Bullock enters the game for A. Tolliver
5:16.0,,,37-45,,Turnover by Team (turnover)
4:59.0,M. Turner misses 3-pt shot from 25 ft,,37-45,,
4:57.0,,,37-45,,Defensive rebound by S. Johnson
4:41.0,,,37-45,,S. Johnson misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by C. Joseph,,37-45,,
4:29.0,L. Stephenson misses 2-pt shot from 3 ft,,37-45,,
4:28.0,,,37-45,,Defensive rebound by A. Drummond
4:24.0,,,37-48,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
4:08.0,A. Poythress misses 3-pt shot from 22 ft,,37-48,,
4:05.0,,,37-48,,Defensive rebound by S. Johnson
3:57.0,,,37-48,,Turnover by A. Drummond (bad pass; steal by B. Bogdanovic)
3:53.0,B. Bogdanovic makes 2-pt shot at rim,2,39-48,,
3:28.0,,,39-50,2,R. Jackson makes 2-pt shot from 20 ft
3:13.0,Shooting foul by A. Drummond (drawn by B. Bogdanovic),,39-50,,
3:13.0,B. Bogdanovic makes free throw 1 of 2,1,40-50,,
3:13.0,T. Young enters the game for A. Poythress,,40-50,,
3:13.0,B. Bogdanovic misses free throw 2 of 2,,40-50,,
3:11.0,,,40-50,,Defensive rebound by A. Drummond
2:50.0,,,40-50,,T. Harris misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by L. Stephenson,,40-50,,
2:37.0,Turnover by L. Stephenson (bad pass; steal by A. Drummond),,40-50,,
2:34.0,,,40-50,,A. Drummond misses 2-pt shot from 1 ft
2:33.0,,,40-50,,Offensive rebound by R. Bullock
2:17.0,,,40-52,2,R. Jackson makes 2-pt shot from 2 ft
2:01.0,C. Joseph misses 2-pt shot from 5 ft,,40-52,,
1:59.0,,,40-52,,Defensive rebound by T. Harris
1:51.0,,,40-54,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
1:51.0,Indiana full timeout,,40-54,,
1:51.0,D. Collison enters the game for C. Joseph,,40-54,,
1:51.0,V. Oladipo enters the game for B. Bogdanovic,,40-54,,
1:37.0,V. Oladipo misses 2-pt shot from 15 ft,,40-54,,
1:37.0,,,40-54,,Defensive rebound by A. Drummond
1:15.0,,,40-54,,A. Drummond misses 2-pt shot from 7 ft
1:15.0,,,40-54,,Offensive rebound by S. Johnson
1:11.0,,,40-54,,R. Bullock misses 2-pt shot from 4 ft (block by V. Oladipo)
1:11.0,,,40-54,,Offensive rebound by S. Johnson
0:56.0,,,40-54,,R. Bullock misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by L. Stephenson,,40-54,,
0:49.0,A. Poythress enters the game for M. Turner,,40-54,,
0:47.0,V. Oladipo makes 3-pt shot from 23 ft (assist by L. Stephenson),3,43-54,,
0:38.0,,,43-54,,R. Jackson misses 3-pt shot from 26 ft
0:36.0,,,43-54,,Offensive rebound by Team
0:35.0,,,43-56,2,R. Bullock makes 2-pt shot from 1 ft (assist by R. Jackson)
0:16.0,D. Collison makes 2-pt shot from 19 ft,2,45-56,,
0:02.0,,,45-58,2,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson)
0:00.0,V. Oladipo misses 3-pt shot from 51 ft,,45-58,,
0:00.0,Offensive rebound by Team,,45-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,45-60,2,A. Drummond makes 2-pt shot from 3 ft (assist by R. Jackson)
11:19.0,D. Collison misses 3-pt shot from 25 ft,,45-60,,
11:15.0,,,45-60,,Defensive rebound by A. Drummond
11:12.0,,,45-60,,Turnover by R. Jackson (bad pass)
10:54.0,M. Turner makes 2-pt shot from 2 ft (assist by V. Oladipo),2,47-60,,
10:42.0,,,47-62,2,R. Jackson makes 2-pt shot from 1 ft
10:22.0,T. Young makes 3-pt shot from 23 ft (assist by M. Turner),3,50-62,,
10:11.0,,,50-65,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
10:02.0,Shooting foul by R. Bullock (drawn by V. Oladipo),,50-65,,
10:02.0,V. Oladipo makes free throw 1 of 2,1,51-65,,
10:02.0,V. Oladipo misses free throw 2 of 2,,51-65,,
10:00.0,,,51-65,,Defensive rebound by R. Bullock
9:47.0,,,51-65,,L. Kennard misses 2-pt shot from 13 ft
9:47.0,Defensive rebound by Team,,51-65,,
9:47.0,,,51-65,,Loose ball foul by A. Drummond (drawn by M. Turner)
9:30.0,T. Young misses 2-pt shot from 2 ft,,51-65,,
9:27.0,,,51-65,,Defensive rebound by T. Harris
9:18.0,,,51-65,,A. Drummond misses 2-pt shot at rim
9:18.0,Defensive rebound by V. Oladipo,,51-65,,
9:09.0,Turnover by B. Bogdanovic (traveling),,51-65,,
8:52.0,,,51-67,2,R. Jackson makes 2-pt shot from 6 ft (assist by A. Drummond)
8:52.0,Indiana full timeout,,51-67,,
8:52.0,,,51-67,,S. Johnson enters the game for L. Kennard
8:52.0,L. Stephenson enters the game for D. Collison,,51-67,,
8:52.0,C. Joseph enters the game for T. Young,,51-67,,
8:37.0,M. Turner misses 2-pt shot from 3 ft,,51-67,,
8:35.0,,,51-67,,Defensive rebound by S. Johnson
8:30.0,,,51-67,,R. Bullock misses 2-pt shot from 1 ft (block by V. Oladipo)
8:28.0,Defensive rebound by M. Turner,,51-67,,
8:21.0,B. Bogdanovic misses 2-pt shot from 6 ft,,51-67,,
8:21.0,,,51-67,,Defensive rebound by A. Drummond
8:07.0,,,51-70,3,R. Bullock makes 3-pt shot from 26 ft (assist by A. Drummond)
7:50.0,,,51-70,,Personal foul by R. Bullock (drawn by V. Oladipo)
