time,Detroit,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. A. Drummond (T. Harris gains possession),,,,Jump ball: B. Lopez vs. A. Drummond (T. Harris gains possession)
11:41.0,T. Harris misses 2-pt shot from 2 ft,,0-0,,
11:36.0,Offensive rebound by A. Drummond,,0-0,,
11:36.0,A. Drummond makes 2-pt shot at rim,2,2-0,,
11:24.0,,,2-0,,B. Lopez misses 2-pt shot from 13 ft
11:21.0,Defensive rebound by A. Bradley,,2-0,,
11:15.0,A. Bradley misses 2-pt shot from 21 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by B. Ingram
11:03.0,,,2-0,,B. Lopez misses 2-pt shot from 12 ft
10:59.0,,,2-0,,Offensive rebound by L. Nance
10:53.0,,,2-2,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram)
10:35.0,A. Drummond misses 2-pt shot from 1 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by L. Nance
10:23.0,,,2-5,3,B. Lopez makes 3-pt shot from 22 ft (assist by L. Nance)
10:11.0,R. Jackson makes 2-pt shot from 9 ft,2,4-5,,
9:54.0,,,4-5,,L. Ball misses 2-pt shot from 5 ft
9:51.0,Defensive rebound by T. Harris,,4-5,,
9:45.0,A. Bradley misses 3-pt shot from 25 ft,,4-5,,
9:42.0,,,4-5,,Defensive rebound by L. Nance
9:34.0,,,4-5,,B. Lopez misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by R. Jackson,,4-5,,
9:17.0,A. Drummond misses 2-pt shot from 11 ft,,4-5,,
9:13.0,,,4-5,,Defensive rebound by K. Caldwell-Pope
9:06.0,,,4-5,,L. Nance misses 2-pt shot from 15 ft
9:03.0,Defensive rebound by A. Drummond,,4-5,,
8:59.0,R. Jackson makes 2-pt shot from 11 ft,2,6-5,,
8:36.0,,,6-5,,B. Ingram misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by T. Harris,,6-5,,
8:24.0,R. Jackson makes 3-pt shot from 26 ft,3,9-5,,
8:07.0,,,9-5,,Turnover by L. Nance (bad pass; steal by R. Jackson)
7:55.0,Turnover by S. Johnson (bad pass; steal by B. Ingram),,9-5,,
7:50.0,,,9-7,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Ingram)
7:36.0,Turnover by R. Jackson (bad pass; steal by L. Nance),,9-7,,
7:29.0,,,9-7,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by R. Jackson,,9-7,,
7:20.0,R. Jackson misses 3-pt shot from 25 ft,,9-7,,
7:15.0,Offensive rebound by A. Drummond,,9-7,,
7:14.0,A. Drummond misses 2-pt shot from 2 ft (block by L. Ball),,9-7,,
7:14.0,,,9-7,,Defensive rebound by L. Ball
7:05.0,,,9-7,,B. Lopez misses 3-pt shot from 22 ft
7:02.0,Defensive rebound by S. Johnson,,9-7,,
6:45.0,S. Johnson misses 3-pt shot from 25 ft,,9-7,,
6:42.0,,,9-7,,Defensive rebound by K. Caldwell-Pope
6:38.0,,,9-7,,B. Ingram misses 3-pt shot from 22 ft
6:32.0,,,9-7,,Offensive rebound by L. Ball
6:30.0,,,9-9,2,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball)
6:23.0,Detroit full timeout,,9-9,,
6:13.0,A. Bradley misses 2-pt shot from 3 ft,,9-9,,
6:07.0,Offensive rebound by A. Drummond,,9-9,,
6:07.0,A. Drummond makes 2-pt shot at rim,2,11-9,,
5:56.0,,,11-11,2,B. Ingram makes 2-pt shot from 1 ft
5:42.0,,,11-11,,Personal foul by K. Caldwell-Pope (drawn by A. Bradley)
5:40.0,A. Bradley misses 3-pt shot from 25 ft,,11-11,,
5:37.0,,,11-11,,Defensive rebound by L. Nance
5:21.0,,,11-14,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by B. Lopez)
5:01.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Drummond),3,14-14,,
4:45.0,,,14-16,2,L. Ball makes 2-pt shot from 2 ft (assist by B. Lopez)
4:24.0,Turnover by A. Bradley (bad pass; steal by B. Ingram),,14-16,,
4:13.0,,,14-16,,B. Lopez misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by A. Bradley,,14-16,,
3:53.0,S. Johnson misses 2-pt shot from 19 ft,,14-16,,
3:49.0,,,14-16,,Defensive rebound by K. Caldwell-Pope
3:45.0,,,14-19,3,L. Ball makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
3:18.0,Turnover by A. Bradley (bad pass; steal by L. Nance),,14-19,,
3:15.0,,,14-21,2,L. Nance makes 2-pt shot from 1 ft
3:01.0,,,14-21,,Personal foul by B. Lopez (drawn by A. Drummond)
3:01.0,,,14-21,,LA Lakers full timeout
3:01.0,,,14-21,,K. Kuzma enters the game for L. Nance
3:01.0,,,14-21,,J. Randle enters the game for B. Lopez
3:01.0,I. Smith enters the game for S. Johnson,,14-21,,
3:01.0,H. Ellenson enters the game for R. Jackson,,14-21,,
2:51.0,T. Harris makes 2-pt shot at rim (assist by A. Drummond),2,16-21,,
