time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. C. Capela (T. Ulis gains possession),,,,Jump ball: T. Chandler vs. C. Capela (T. Ulis gains possession)
11:41.0,,,0-0,,D. Bender misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by C. Capela,,0-0,,
11:25.0,,,0-0,,Def 3 sec tech foul by T. Chandler
11:25.0,C. Paul makes technical free throw,1,1-0,,
11:18.0,T. Ariza misses 3-pt shot from 22 ft,,1-0,,
11:15.0,,,1-0,,Defensive rebound by T. Ulis
11:09.0,,,1-2,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
10:45.0,E. Gordon misses 2-pt shot from 8 ft,,1-2,,
10:43.0,,,1-2,,Defensive rebound by T. Chandler
10:37.0,,,1-2,,D. Bender misses 2-pt shot at rim
10:35.0,Defensive rebound by C. Capela,,1-2,,
10:27.0,E. Gordon misses 3-pt shot from 24 ft,,1-2,,
10:23.0,Offensive rebound by C. Capela,,1-2,,
10:12.0,C. Paul misses 3-pt shot from 24 ft,,1-2,,
10:09.0,,,1-2,,Defensive rebound by T. Chandler
10:00.0,,,1-4,2,D. Booker makes 2-pt shot at rim (assist by T. Chandler)
9:50.0,Turnover by E. Gordon (lost ball; steal by D. Booker),,1-4,,
9:45.0,,,1-6,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
9:30.0,T. Ariza misses 2-pt shot from 2 ft,,1-6,,
9:27.0,Offensive rebound by T. Ariza,,1-6,,
9:23.0,Turnover by T. Ariza (bad pass; steal by D. Booker),,1-6,,
9:20.0,,,1-6,,D. Booker misses 2-pt shot from 22 ft
9:16.0,Defensive rebound by C. Paul,,1-6,,
9:14.0,T. Ariza makes 3-pt shot from 22 ft (assist by C. Paul),3,4-6,,
8:46.0,,,4-6,,T. Chandler misses 2-pt shot from 19 ft
8:43.0,Defensive rebound by C. Capela,,4-6,,
8:38.0,T. Ariza makes 3-pt shot from 23 ft (assist by E. Gordon),3,7-6,,
8:23.0,,,7-8,2,T. Chandler makes 2-pt shot at rim (assist by T. Ulis)
8:11.0,E. Gordon misses 3-pt shot from 25 ft,,7-8,,
8:09.0,,,7-8,,Defensive rebound by D. Bender
7:57.0,,,7-11,3,D. Booker makes 3-pt shot from 27 ft
7:39.0,R. Anderson makes 3-pt shot from 27 ft (assist by C. Paul),3,10-11,,
7:12.0,,,10-11,,T. Ulis misses 2-pt shot from 10 ft
7:06.0,,,10-11,,Offensive rebound by T. Chandler
7:06.0,,,10-13,2,T. Chandler makes 2-pt shot at rim
6:54.0,C. Paul misses 3-pt shot from 24 ft,,10-13,,
6:51.0,,,10-13,,Defensive rebound by T. Chandler
6:42.0,,,10-15,2,T. Warren makes 2-pt shot from 7 ft (assist by D. Booker)
6:41.0,Houston full timeout,,10-15,,
6:41.0,G. Green enters the game for C. Capela,,10-15,,
6:41.0,P. Tucker enters the game for C. Paul,,10-15,,
6:18.0,G. Green misses 2-pt shot from 1 ft,,10-15,,
6:14.0,,,10-15,,Defensive rebound by T. Chandler
6:12.0,,,10-18,3,T. Ulis makes 3-pt shot from 25 ft
5:55.0,E. Gordon misses 3-pt shot from 25 ft,,10-18,,
5:53.0,,,10-18,,Defensive rebound by D. Booker
5:45.0,,,10-18,,Turnover by D. Booker (bad pass; steal by T. Ariza)
5:40.0,Offensive foul by T. Ariza (drawn by D. Bender),,10-18,,
5:40.0,Turnover by T. Ariza (offensive foul),,10-18,,
5:20.0,,,10-21,3,D. Bender makes 3-pt shot from 25 ft (assist by T. Warren)
5:05.0,R. Anderson makes 3-pt shot from 27 ft (assist by G. Green),3,13-21,,
4:48.0,,,13-21,,Offensive foul by T. Chandler (drawn by G. Green)
4:48.0,,,13-21,,Turnover by T. Chandler (offensive foul)
4:48.0,,,13-21,,T. Daniels enters the game for D. Booker
4:38.0,E. Gordon misses 3-pt shot from 24 ft,,13-21,,
4:35.0,Offensive rebound by R. Anderson,,13-21,,
4:31.0,P. Tucker makes 3-pt shot from 22 ft (assist by R. Anderson),3,16-21,,
4:29.0,,,16-21,,Turnover by T. Warren (traveling)
4:18.0,T. Ariza misses 3-pt shot from 24 ft,,16-21,,
4:14.0,,,16-21,,Defensive rebound by T. Warren
3:52.0,,,16-21,,T. Warren misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by P. Tucker,,16-21,,
3:44.0,Turnover by P. Tucker (bad pass),,16-21,,
3:25.0,,,16-21,,T. Warren misses 2-pt shot from 16 ft
3:21.0,Defensive rebound by R. Anderson,,16-21,,
3:19.0,E. Gordon misses 2-pt shot from 6 ft,,16-21,,
3:19.0,,,16-21,,Defensive rebound by Team
3:19.0,,,16-21,,A. Len enters the game for T. Chandler
3:19.0,C. Capela enters the game for R. Anderson,,16-21,,
3:02.0,,,16-21,,T. Daniels misses 3-pt shot from 27 ft
2:58.0,Defensive rebound by C. Capela,,16-21,,
2:51.0,G. Green makes 2-pt shot from 11 ft,2,18-21,,
2:43.0,,,18-21,,Phoenix full timeout
2:43.0,C. Paul enters the game for E. Gordon,,18-21,,
2:23.0,,,18-21,,T. Ulis misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by C. Capela,,18-21,,
2:11.0,G. Green makes 3-pt shot from 25 ft,3,21-21,,
1:50.0,,,21-21,,T. Warren misses 2-pt shot from 5 ft
1:48.0,Defensive rebound by C. Capela,,21-21,,
1:40.0,Turnover by G. Green (traveling),,21-21,,
1:40.0,,,21-21,,J. Dudley enters the game for T. Ulis
1:40.0,,,21-21,,D. Booker enters the game for T. Warren
1:40.0,,,21-21,,D. House enters the game for D. Bender
1:21.0,,,21-23,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
1:04.0,Shooting foul by T. Daniels (drawn by G. Green),,21-23,,
1:04.0,G. Green makes free throw 1 of 3,1,22-23,,
1:04.0,G. Green makes free throw 2 of 3,1,23-23,,
1:04.0,G. Green makes free throw 3 of 3,1,24-23,,
0:42.0,,,24-23,,A. Len misses 2-pt shot from 20 ft
0:40.0,Defensive rebound by P. Tucker,,24-23,,
0:34.0,P. Tucker makes 3-pt shot from 24 ft (assist by C. Paul),3,27-23,,
0:10.0,,,27-23,,Turnover by D. House (bad pass; steal by P. Tucker)
0:00.0,C. Paul misses 3-pt shot from 25 ft,,27-23,,
0:00.0,Offensive rebound by Team,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,G. Green misses 3-pt shot from 24 ft,,27-23,,
11:46.0,,,27-23,,Defensive rebound by T. Daniels
11:34.0,,,27-23,,T. Daniels misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by P. Tucker,,27-23,,
11:24.0,R. Anderson misses 3-pt shot from 25 ft,,27-23,,
11:22.0,,,27-23,,Defensive rebound by D. Booker
11:05.0,,,27-23,,Turnover by A. Len (turnover)
10:48.0,C. Capela misses 2-pt shot from 2 ft,,27-23,,
10:45.0,,,27-23,,Defensive rebound by A. Len
10:42.0,,,27-25,2,D. Booker makes 2-pt shot from 17 ft
10:27.0,C. Paul makes 2-pt shot from 10 ft,2,29-25,,
10:17.0,,,29-25,,D. Booker misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by C. Capela,,29-25,,
10:11.0,Turnover by C. Capela (lost ball; steal by D. House),,29-25,,
10:08.0,,,29-25,,A. Len misses 2-pt shot from 1 ft (block by C. Paul)
10:04.0,Defensive rebound by C. Paul,,29-25,,
9:59.0,R. Anderson misses 3-pt shot from 22 ft,,29-25,,
9:58.0,,,29-25,,Defensive rebound by Team
9:38.0,,,29-25,,T. Daniels misses 3-pt shot from 27 ft
9:35.0,Defensive rebound by P. Tucker,,29-25,,
9:25.0,C. Capela makes 2-pt shot from 5 ft,2,31-25,,
9:05.0,,,31-25,,T. Daniels misses 3-pt shot from 25 ft
9:05.0,,,31-25,,Offensive rebound by D. House
9:05.0,,,31-25,,D. House misses 2-pt shot at rim
8:57.0,Defensive rebound by C. Paul,,31-25,,
8:55.0,C. Paul makes 2-pt shot from 13 ft,2,33-25,,
8:55.0,,,33-25,,Phoenix full timeout
8:55.0,,,33-25,,T. Ulis enters the game for D. House
8:55.0,,,33-25,,T. Warren enters the game for T. Daniels
8:55.0,E. Gordon enters the game for C. Paul,,33-25,,
8:41.0,,,33-25,,J. Dudley misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by G. Green,,33-25,,
8:34.0,G. Green misses 2-pt shot from 3 ft,,33-25,,
8:28.0,Offensive rebound by C. Capela,,33-25,,
8:28.0,C. Capela makes 2-pt shot at rim,2,35-25,,
8:27.0,,,35-27,2,D. Booker makes 2-pt shot from 1 ft (assist by T. Ulis)
8:04.0,G. Green misses 3-pt shot from 25 ft,,35-27,,
8:01.0,,,35-27,,Defensive rebound by A. Len
7:56.0,,,35-27,,Turnover by D. Booker (bad pass; steal by R. Anderson)
7:51.0,,,35-27,,Personal foul by J. Dudley (drawn by R. Anderson)
7:51.0,T. Ariza enters the game for G. Green,,35-27,,
7:41.0,C. Capela makes 2-pt shot from 2 ft,2,37-27,,
7:15.0,,,37-27,,T. Ulis misses 2-pt shot from 12 ft
7:12.0,Defensive rebound by P. Tucker,,37-27,,
7:07.0,E. Gordon makes 2-pt shot at rim,2,39-27,,
7:07.0,Shooting foul by A. Len (drawn by E. Gordon),,39-27,,
7:07.0,,,39-27,,T. Chandler enters the game for J. Dudley
7:07.0,,,39-27,,D. Bender enters the game for A. Len
7:07.0,E. Gordon makes free throw 1 of 1,1,40-27,,
6:53.0,,,40-27,,Turnover by D. Booker (bad pass; steal by C. Capela)
6:49.0,Turnover by C. Capela (bad pass; steal by T. Ulis),,40-27,,
6:43.0,,,40-29,2,D. Booker makes 2-pt shot at rim (assist by T. Ulis)
6:34.0,E. Gordon makes 2-pt shot from 4 ft,2,42-29,,
6:34.0,Shooting foul by D. Booker (drawn by E. Gordon),,42-29,,
6:34.0,E. Gordon makes free throw 1 of 1,1,43-29,,
6:21.0,,,43-29,,D. Booker misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by R. Anderson,,43-29,,
6:08.0,T. Ariza makes 2-pt shot at rim (assist by C. Capela),2,45-29,,
5:55.0,,,45-29,,D. Bender misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by R. Anderson,,45-29,,
5:46.0,E. Gordon misses 3-pt shot from 25 ft,,45-29,,
5:44.0,,,45-29,,Defensive rebound by D. Booker
5:43.0,Personal foul by P. Tucker (drawn by D. Booker),,45-29,,
5:43.0,C. Paul enters the game for C. Capela,,45-29,,
5:26.0,,,45-29,,Shooting foul by P. Tucker (drawn by T. Warren)
5:26.0,,,45-29,,T. Warren misses free throw 1 of 2
5:26.0,,,45-29,,Offensive rebound by Team
5:26.0,,,45-29,,T. Warren misses free throw 2 of 2
5:24.0,Defensive rebound by P. Tucker,,45-29,,
5:13.0,E. Gordon misses 2-pt shot from 2 ft,,45-29,,
5:13.0,Offensive rebound by R. Anderson,,45-29,,
5:13.0,Shooting foul by D. Bender (drawn by R. Anderson),,45-29,,
5:13.0,R. Anderson makes free throw 1 of 2,1,46-29,,
5:13.0,R. Anderson makes free throw 2 of 2,1,47-29,,
4:59.0,,,47-32,3,D. Bender makes 3-pt shot from 24 ft (assist by D. Booker)
4:33.0,R. Anderson misses 2-pt shot from 4 ft,,47-32,,
4:32.0,,,47-32,,Defensive rebound by Team
4:21.0,Personal foul by R. Anderson (drawn by T. Chandler),,47-32,,
4:21.0,Houston full timeout,,47-32,,
4:21.0,C. Capela enters the game for P. Tucker,,47-32,,
4:21.0,G. Green enters the game for E. Gordon,,47-32,,
4:16.0,Personal foul by T. Ariza (drawn by T. Chandler),,47-32,,
4:13.0,,,47-32,,T. Warren misses 2-pt shot from 15 ft
4:10.0,Defensive rebound by C. Paul,,47-32,,
3:58.0,C. Paul misses 2-pt shot from 12 ft,,47-32,,
3:55.0,,,47-32,,Defensive rebound by T. Chandler
3:51.0,,,47-34,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
3:34.0,Shooting foul by T. Ulis (drawn by C. Paul),,47-34,,
3:34.0,C. Paul makes free throw 1 of 2,1,48-34,,
3:34.0,C. Paul makes free throw 2 of 2,1,49-34,,
3:13.0,,,49-34,,T. Ulis misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by T. Ariza,,49-34,,
2:57.0,C. Capela misses 2-pt shot from 4 ft,,49-34,,
2:55.0,,,49-34,,Defensive rebound by T. Chandler
2:52.0,,,49-34,,Shooting foul by G. Green (drawn by D. Booker)
2:52.0,,,49-35,1,D. Booker makes free throw 1 of 2
2:52.0,,,49-35,,T. Daniels enters the game for T. Ulis
2:52.0,,,49-36,1,D. Booker makes free throw 2 of 2
2:42.0,C. Paul misses 2-pt shot from 1 ft,,49-36,,
2:40.0,Offensive rebound by C. Capela,,49-36,,
2:40.0,C. Capela makes 2-pt shot at rim,2,51-36,,
2:28.0,,,51-39,3,D. Booker makes 3-pt shot from 24 ft (assist by D. Bender)
2:15.0,G. Green misses 3-pt shot from 23 ft,,51-39,,
2:15.0,,,51-39,,Defensive rebound by Team
2:14.0,E. Gordon enters the game for R. Anderson,,51-39,,
1:59.0,,,51-41,2,D. Booker makes 2-pt shot at rim
1:49.0,C. Capela misses 2-pt shot from 3 ft (block by T. Chandler),,51-41,,
1:46.0,,,51-41,,Defensive rebound by T. Chandler
1:38.0,,,51-41,,D. Bender misses 3-pt shot from 22 ft
1:35.0,Defensive rebound by C. Capela,,51-41,,
1:25.0,,,51-41,,Personal foul by D. Bender (drawn by T. Ariza)
1:25.0,T. Ariza makes free throw 1 of 2,1,52-41,,
1:25.0,,,52-41,,D. House enters the game for D. Bender
1:25.0,T. Ariza makes free throw 2 of 2,1,53-41,,
1:09.0,,,53-41,,Turnover by D. Booker (bad pass; steal by E. Gordon)
1:04.0,C. Paul makes 3-pt shot from 24 ft (assist by E. Gordon),3,56-41,,
0:55.0,,,56-44,3,T. Daniels makes 3-pt shot from 26 ft (assist by D. Booker)
0:39.0,Shooting foul by T. Daniels (drawn by C. Paul),,56-44,,
0:39.0,C. Paul makes free throw 1 of 2,1,57-44,,
0:39.0,C. Paul misses free throw 2 of 2,,57-44,,
0:37.0,,,57-44,,Defensive rebound by D. House
0:29.0,,,57-44,,T. Chandler misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by C. Capela,,57-44,,
0:24.0,T. Ariza misses 2-pt shot from 1 ft,,57-44,,
0:22.0,,,57-44,,Defensive rebound by D. House
0:01.0,,,57-44,,D. Booker misses 2-pt shot at rim (block by C. Capela)
0:01.0,Defensive rebound by E. Gordon,,57-44,,
0:00.0,E. Gordon misses 3-pt shot from 56 ft,,57-44,,
0:00.0,Offensive rebound by Team,,57-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,C. Paul makes 2-pt shot from 17 ft,2,59-44,,
11:14.0,Personal foul by E. Gordon (drawn by D. Booker),,59-44,,
