time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Bell vs. M. Leonard (K. Thompson gains possession),,,,Jump ball: J. Bell vs. M. Leonard (K. Thompson gains possession)
11:45.0,,,0-0,,S. Livingston misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by A. Aminu,,0-0,,
11:33.0,M. Leonard misses 2-pt shot from 12 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by K. Durant
11:27.0,,,0-0,,Turnover by J. Bell (out of bounds lost ball)
11:04.0,C. McCollum misses 2-pt shot from 1 ft (block by K. Durant),,0-0,,
11:00.0,,,0-0,,Defensive rebound by J. Bell
10:54.0,,,0-0,,K. Durant misses 2-pt shot from 13 ft (block by C. McCollum)
10:47.0,,,0-0,,Offensive rebound by K. Durant
10:46.0,,,0-2,2,K. Durant makes 2-pt shot from 17 ft
10:27.0,C. McCollum misses 2-pt shot from 17 ft,,0-2,,
10:24.0,,,0-2,,Defensive rebound by O. Casspi
10:21.0,,,0-2,,Turnover by K. Durant (bad pass; steal by E. Turner)
10:16.0,E. Turner makes 2-pt shot from 2 ft,2,2-2,,
10:07.0,,,2-2,,K. Thompson misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by A. Aminu,,2-2,,
10:02.0,Turnover by C. McCollum (out of bounds lost ball),,2-2,,
9:51.0,,,2-4,2,O. Casspi makes 2-pt shot from 4 ft (assist by K. Thompson)
9:34.0,D. Lillard misses 3-pt shot from 29 ft,,2-4,,
9:31.0,Offensive rebound by A. Aminu,,2-4,,
9:24.0,E. Turner makes 2-pt shot from 1 ft,2,4-4,,
9:08.0,,,4-6,2,K. Durant makes 2-pt shot from 2 ft (assist by J. Bell)
8:47.0,C. McCollum makes 2-pt shot from 19 ft,2,6-6,,
8:28.0,,,6-6,,J. Bell misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by C. McCollum,,6-6,,
8:14.0,M. Leonard makes 2-pt shot from 17 ft (assist by C. McCollum),2,8-6,,
7:56.0,Personal foul by E. Turner (drawn by K. Durant),,8-6,,
7:52.0,,,8-6,,Turnover by K. Thompson (bad pass; steal by A. Aminu)
7:45.0,Shooting foul by J. Bell (drawn by E. Turner),,8-6,,
7:45.0,E. Turner makes free throw 1 of 2,1,9-6,,
7:45.0,E. Turner makes free throw 2 of 2,1,10-6,,
7:34.0,,,10-6,,K. Thompson misses 2-pt shot from 18 ft
7:29.0,Defensive rebound by M. Leonard,,10-6,,
7:25.0,D. Lillard misses 3-pt shot from 29 ft,,10-6,,
7:20.0,,,10-6,,Defensive rebound by O. Casspi
7:17.0,,,10-6,,S. Livingston misses 2-pt shot from 9 ft
7:15.0,,,10-6,,Offensive rebound by J. Bell
7:12.0,,,10-8,2,K. Durant makes 2-pt shot from 1 ft (assist by J. Bell)
6:58.0,E. Turner makes 2-pt shot from 4 ft,2,12-8,,
6:48.0,,,12-10,2,K. Thompson makes 2-pt shot from 18 ft
6:38.0,D. Lillard makes 2-pt shot from 2 ft,2,14-10,,
6:23.0,,,14-12,2,O. Casspi makes 2-pt shot from 1 ft (assist by K. Thompson)
6:10.0,A. Aminu misses 3-pt shot from 26 ft,,14-12,,
6:06.0,,,14-12,,Defensive rebound by K. Thompson
6:02.0,,,14-12,,K. Thompson misses 3-pt shot from 27 ft
5:58.0,Defensive rebound by A. Aminu,,14-12,,
5:54.0,M. Leonard makes 2-pt shot from 2 ft (assist by E. Turner),2,16-12,,
5:54.0,,,16-12,,Golden State full timeout
5:54.0,,,16-12,,A. Iguodala enters the game for S. Livingston
5:42.0,,,16-12,,K. Durant misses 2-pt shot from 11 ft
5:38.0,,,16-12,,Offensive rebound by O. Casspi
5:37.0,,,16-12,,O. Casspi misses 2-pt shot at rim
5:34.0,,,16-12,,Offensive rebound by A. Iguodala
5:30.0,,,16-15,3,O. Casspi makes 3-pt shot from 23 ft (assist by K. Durant)
5:07.0,C. McCollum makes 2-pt shot from 7 ft,2,18-15,,
4:46.0,,,18-17,2,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala)
4:34.0,D. Lillard misses 3-pt shot from 32 ft,,18-17,,
4:31.0,,,18-17,,Defensive rebound by O. Casspi
4:23.0,,,18-19,2,J. Bell makes 2-pt shot at rim (assist by O. Casspi)
4:01.0,C. McCollum makes 2-pt shot from 6 ft (assist by E. Turner),2,20-19,,
3:41.0,,,20-19,,Turnover by K. Durant (bad pass)
3:41.0,,,20-19,,N. Young enters the game for K. Thompson
3:41.0,P. Connaughton enters the game for C. McCollum,,20-19,,
3:41.0,Z. Collins enters the game for A. Aminu,,20-19,,
3:41.0,E. Davis enters the game for M. Leonard,,20-19,,
3:25.0,D. Lillard misses 2-pt shot from 2 ft,,20-19,,
3:21.0,,,20-19,,Defensive rebound by J. Bell
