time,New Orleans,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. A. Davis (E. Ilyasova gains possession),,,,Jump ball: M. Plumlee vs. A. Davis (E. Ilyasova gains possession)
11:45.0,,,0-3,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Bazemore)
11:29.0,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis),3,3-3,,
11:05.0,,,3-3,,M. Plumlee misses 2-pt shot from 1 ft
10:58.0,,,3-3,,Offensive rebound by E. Ilyasova
10:58.0,,,3-5,2,E. Ilyasova makes 2-pt shot at rim
10:54.0,D. Cousins misses 2-pt shot from 2 ft,,3-5,,
10:51.0,,,3-5,,Defensive rebound by E. Ilyasova
10:30.0,,,3-7,2,K. Bazemore makes 2-pt shot from 22 ft (assist by D. Schroder)
10:16.0,J. Holiday misses 2-pt shot at rim,,3-7,,
10:13.0,,,3-7,,Defensive rebound by M. Plumlee
10:06.0,,,3-7,,D. Schroder misses 3-pt shot from 25 ft
10:03.0,,,3-7,,Offensive rebound by M. Plumlee
9:58.0,,,3-10,3,D. Schroder makes 3-pt shot from 24 ft (assist by E. Ilyasova)
9:32.0,A. Davis makes 2-pt shot from 2 ft,2,5-10,,
9:22.0,,,5-10,,T. Waller-Prince misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by D. Cousins,,5-10,,
9:14.0,,,5-10,,Personal foul by K. Bazemore (drawn by A. Davis)
9:04.0,E. Moore makes 2-pt shot from 1 ft (assist by D. Cousins),2,7-10,,
8:46.0,,,7-10,,M. Plumlee misses 2-pt shot from 11 ft (block by D. Cousins)
8:43.0,,,7-10,,Offensive rebound by M. Plumlee
8:39.0,,,7-10,,K. Bazemore misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by D. Cousins,,7-10,,
8:31.0,J. Holiday makes 2-pt shot from 2 ft,2,9-10,,
8:31.0,Shooting foul by M. Plumlee (drawn by J. Holiday),,9-10,,
8:31.0,J. Holiday makes free throw 1 of 1,1,10-10,,
8:14.0,,,10-10,,E. Ilyasova misses 2-pt shot from 13 ft
8:11.0,Defensive rebound by D. Cousins,,10-10,,
7:58.0,Turnover by E. Moore (lost ball; steal by K. Bazemore),,10-10,,
7:43.0,,,10-10,,K. Bazemore misses 2-pt shot from 5 ft
7:40.0,Defensive rebound by D. Cousins,,10-10,,
7:26.0,E. Moore makes 3-pt shot from 24 ft (assist by R. Rondo),3,13-10,,
7:10.0,,,13-10,,D. Schroder misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by A. Davis,,13-10,,
7:02.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo),2,15-10,,
7:02.0,,,15-10,,Atlanta full timeout
7:02.0,,,15-10,,M. Belinelli enters the game for T. Waller-Prince
7:02.0,,,15-10,,D. Dedmon enters the game for M. Plumlee
6:47.0,,,15-10,,E. Ilyasova misses 3-pt shot from 24 ft
6:42.0,,,15-10,,Offensive rebound by K. Bazemore
6:41.0,,,15-12,2,M. Belinelli makes 2-pt shot from 9 ft (assist by K. Bazemore)
6:18.0,E. Moore misses 3-pt shot from 22 ft,,15-12,,
6:15.0,,,15-12,,Defensive rebound by D. Dedmon
6:06.0,,,15-14,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
5:56.0,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo),2,17-14,,
5:43.0,,,17-14,,Turnover by K. Bazemore (bad pass; steal by E. Moore)
5:33.0,R. Rondo makes 3-pt shot from 25 ft (assist by J. Holiday),3,20-14,,
5:17.0,,,20-16,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
5:05.0,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo),3,23-16,,
4:52.0,,,23-19,3,D. Schroder makes 3-pt shot from 26 ft (assist by D. Dedmon)
4:39.0,J. Holiday makes 2-pt shot from 11 ft,2,25-19,,
4:30.0,,,25-19,,Shooting foul by E. Moore (drawn by M. Belinelli)
4:30.0,,,25-20,1,M. Belinelli makes free throw 1 of 2
4:30.0,,,25-20,,T. Waller-Prince enters the game for E. Ilyasova
4:30.0,,,25-20,,J. Collins enters the game for K. Bazemore
4:30.0,I. Clark enters the game for D. Cousins,,25-20,,
4:30.0,D. Cunningham enters the game for J. Holiday,,25-20,,
4:30.0,,,25-20,,M. Belinelli misses free throw 2 of 2
4:26.0,Defensive rebound by D. Cunningham,,25-20,,
4:16.0,Turnover by R. Rondo (bad pass; steal by D. Schroder),,25-20,,
4:08.0,,,25-23,3,D. Schroder makes 3-pt shot from 24 ft
3:50.0,R. Rondo misses 3-pt shot from 23 ft,,25-23,,
3:47.0,Offensive rebound by A. Davis,,25-23,,
3:44.0,I. Clark misses 3-pt shot from 25 ft,,25-23,,
3:41.0,,,25-23,,Defensive rebound by D. Dedmon
3:22.0,,,25-23,,D. Dedmon misses 2-pt shot from 19 ft
3:18.0,,,25-23,,Offensive rebound by M. Belinelli
3:13.0,Personal foul by E. Moore (drawn by M. Belinelli),,25-23,,
3:13.0,D. Miller enters the game for E. Moore,,25-23,,
3:05.0,,,25-23,,D. Dedmon misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by D. Miller,,25-23,,
2:54.0,D. Miller makes 2-pt shot from 17 ft (assist by R. Rondo),2,27-23,,
2:39.0,,,27-23,,D. Dedmon misses 2-pt shot from 2 ft
2:33.0,,,27-23,,Offensive rebound by D. Dedmon
2:33.0,,,27-23,,D. Dedmon misses 2-pt shot at rim
2:31.0,Defensive rebound by A. Davis,,27-23,,
2:29.0,D. Miller misses 3-pt shot from 25 ft,,27-23,,
2:26.0,Offensive rebound by D. Cunningham,,27-23,,
2:25.0,D. Cunningham makes 2-pt shot at rim,2,29-23,,
2:08.0,,,29-23,,D. Dedmon misses 2-pt shot from 18 ft
2:08.0,Defensive rebound by D. Miller,,29-23,,
1:58.0,Shooting foul by D. Dedmon (drawn by I. Clark),,29-23,,
1:58.0,New Orleans full timeout,,29-23,,
1:58.0,,,29-23,,M. Delaney enters the game for D. Dedmon
1:58.0,,,29-23,,T. Cavanaugh enters the game for D. Schroder
1:58.0,J. Nelson enters the game for R. Rondo,,29-23,,
1:58.0,D. Cousins enters the game for A. Davis,,29-23,,
1:58.0,I. Clark misses free throw 1 of 2,,29-23,,
1:58.0,Offensive rebound by Team,,29-23,,
1:58.0,I. Clark makes free throw 2 of 2,1,30-23,,
1:47.0,,,30-23,,M. Belinelli misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by D. Cunningham,,30-23,,
