time,San Antonio,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: T. Thompson vs. P. Gasol (L. Aldridge gains possession)
11:40.0,D. Murray misses 2-pt shot from 17 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Thompson
11:23.0,,,0-2,2,C. Osman makes 2-pt shot from 1 ft (assist by L. James)
11:06.0,L. Aldridge misses 2-pt shot from 16 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by L. James
10:59.0,,,0-2,,G. Hill misses 2-pt shot from 1 ft (block by D. Murray)
10:59.0,Defensive rebound by K. Anderson,,0-2,,
10:47.0,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge),3,3-2,,
10:20.0,,,3-2,,L. James misses 2-pt shot from 13 ft
10:20.0,,,3-2,,Offensive rebound by T. Thompson
10:13.0,,,3-4,2,T. Thompson makes 2-pt shot at rim
10:02.0,P. Mills misses 3-pt shot from 26 ft,,3-4,,
10:02.0,,,3-4,,Defensive rebound by T. Thompson
9:46.0,,,3-7,3,L. James makes 3-pt shot from 25 ft
9:33.0,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson),2,5-7,,
9:11.0,,,5-7,,C. Osman misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by K. Anderson,,5-7,,
9:07.0,K. Anderson misses 2-pt shot from 5 ft (block by G. Hill),,5-7,,
9:06.0,Offensive rebound by K. Anderson,,5-7,,
9:05.0,K. Anderson makes 2-pt shot at rim,2,7-7,,
8:35.0,,,7-7,,G. Hill misses 3-pt shot from 23 ft
8:33.0,,,7-7,,Offensive rebound by T. Thompson
8:30.0,,,7-7,,J. Smith misses 3-pt shot from 25 ft (block by K. Anderson)
8:25.0,Defensive rebound by P. Mills,,7-7,,
8:18.0,P. Mills makes 2-pt shot from 16 ft (assist by L. Aldridge),2,9-7,,
8:03.0,Personal foul by P. Mills (drawn by J. Smith),,9-7,,
8:01.0,,,9-7,,Turnover by L. James (bad pass; steal by D. Murray)
8:00.0,,,9-7,,Personal foul by C. Osman (drawn by D. Murray)
7:36.0,P. Gasol makes 2-pt shot from 17 ft (assist by K. Anderson),2,11-7,,
7:17.0,,,11-9,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
7:11.0,San Antonio full timeout,,11-9,,
6:50.0,L. Aldridge misses 2-pt shot from 11 ft,,11-9,,
6:47.0,,,11-9,,Defensive rebound by T. Thompson
6:36.0,,,11-9,,L. James misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by L. Aldridge,,11-9,,
6:26.0,D. Murray misses 2-pt shot from 15 ft,,11-9,,
6:23.0,,,11-9,,Defensive rebound by T. Thompson
6:08.0,,,11-11,2,T. Thompson makes 2-pt shot from 4 ft (assist by L. James)
5:48.0,K. Anderson makes 2-pt shot from 6 ft,2,13-11,,
5:34.0,,,13-11,,G. Hill misses 2-pt shot from 17 ft
5:32.0,,,13-11,,Offensive rebound by T. Thompson
5:30.0,,,13-11,,J. Smith misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by L. Aldridge,,13-11,,
5:21.0,Shooting foul by C. Osman (drawn by K. Anderson),,13-11,,
5:21.0,K. Anderson misses free throw 1 of 2,,13-11,,
5:21.0,Offensive rebound by Team,,13-11,,
5:21.0,,,13-11,,R. Hood enters the game for C. Osman
5:21.0,R. Gay enters the game for P. Gasol,,13-11,,
5:21.0,T. Parker enters the game for D. Murray,,13-11,,
5:21.0,K. Anderson makes free throw 2 of 2,1,14-11,,
5:00.0,,,14-11,,T. Thompson misses 2-pt shot from 6 ft
4:57.0,Defensive rebound by R. Gay,,14-11,,
4:53.0,R. Gay misses 3-pt shot from 25 ft,,14-11,,
4:51.0,,,14-11,,Defensive rebound by T. Thompson
4:33.0,,,14-11,,Shooting foul by K. Anderson (drawn by R. Hood)
4:33.0,,,14-12,1,R. Hood makes free throw 1 of 2
4:33.0,,,14-12,,J. Clarkson enters the game for J. Smith
4:33.0,D. Green enters the game for K. Anderson,,14-12,,
4:33.0,,,14-13,1,R. Hood makes free throw 2 of 2
4:16.0,L. Aldridge misses 2-pt shot from 11 ft,,14-13,,
4:13.0,,,14-13,,Defensive rebound by L. James
4:06.0,,,14-15,2,L. James makes 2-pt shot from 8 ft
3:56.0,P. Mills misses 3-pt shot from 26 ft,,14-15,,
3:53.0,,,14-15,,Defensive rebound by L. James
