time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Gortat (T. Frazier gains possession),,,,Jump ball: J. Valanciunas vs. M. Gortat (T. Frazier gains possession)
11:40.0,M. Morris misses 2-pt shot from 9 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by J. Valanciunas
11:34.0,,,0-0,,K. Lowry misses 3-pt shot from 28 ft
11:31.0,Defensive rebound by B. Beal,,0-0,,
11:11.0,M. Gortat misses 2-pt shot from 16 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by S. Ibaka
10:46.0,,,0-0,,Turnover by Team (shot clock)
10:31.0,O. Porter misses 3-pt shot from 26 ft,,0-0,,
10:27.0,,,0-0,,Defensive rebound by D. DeRozan
10:10.0,,,0-0,,J. Valanciunas misses 2-pt shot from 7 ft
10:07.0,Defensive rebound by M. Morris,,0-0,,
9:59.0,M. Gortat makes 2-pt shot from 13 ft,2,2-0,,
9:47.0,,,2-2,2,K. Lowry makes 2-pt shot from 2 ft
9:47.0,,,2-2,,Shooting foul by T. Frazier (drawn by K. Lowry)
9:47.0,,,2-3,1,K. Lowry makes free throw 1 of 1
9:38.0,O. Porter makes 2-pt shot from 11 ft,2,4-3,,
9:26.0,,,4-5,2,D. DeRozan makes 2-pt shot from 15 ft
9:07.0,B. Beal misses 2-pt shot from 16 ft,,4-5,,
9:06.0,Offensive rebound by Team,,4-5,,
9:03.0,M. Morris misses 2-pt shot from 11 ft,,4-5,,
8:59.0,,,4-5,,Defensive rebound by J. Valanciunas
8:52.0,,,4-5,,D. DeRozan misses 3-pt shot from 26 ft
8:48.0,,,4-5,,Offensive rebound by J. Valanciunas
8:41.0,,,4-5,,S. Ibaka misses 3-pt shot from 25 ft
8:37.0,,,4-5,,Offensive rebound by O. Anunoby
8:34.0,,,4-5,,D. DeRozan misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by T. Frazier,,4-5,,
