time,Miami,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. B. Adebayo (G. Dragic gains possession),,,,Jump ball: J. Nurkic vs. B. Adebayo (G. Dragic gains possession)
11:43.0,B. Adebayo misses 2-pt shot from 1 ft (block by M. Harkless),,0-0,,
11:41.0,,,0-0,,Defensive rebound by C. McCollum
11:36.0,,,0-0,,Shooting foul by B. Adebayo (drawn by J. Nurkic)
11:36.0,,,0-1,1,J. Nurkic makes free throw 1 of 2
11:36.0,,,0-2,1,J. Nurkic makes free throw 2 of 2
11:21.0,J. Richardson misses 3-pt shot from 24 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by A. Aminu
11:10.0,,,0-4,2,J. Nurkic makes 2-pt shot from 1 ft (assist by M. Harkless)
10:46.0,B. Adebayo makes 2-pt shot from 2 ft,2,2-4,,
10:28.0,,,2-6,2,J. Nurkic makes 2-pt shot at rim
10:11.0,J. Richardson misses 2-pt shot at rim (block by C. McCollum),,2-6,,
10:11.0,Offensive rebound by Team,,2-6,,
10:09.0,T. Johnson misses 2-pt shot from 15 ft,,2-6,,
10:07.0,,,2-6,,Defensive rebound by Team
9:56.0,,,2-6,,Offensive foul by J. Nurkic (drawn by B. Adebayo)
9:56.0,,,2-6,,Turnover by J. Nurkic (offensive foul)
9:46.0,Turnover by B. Adebayo (traveling),,2-6,,
9:27.0,,,2-6,,J. Nurkic misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by J. Johnson,,2-6,,
9:21.0,G. Dragic makes 2-pt shot at rim,2,4-6,,
9:14.0,,,4-6,,D. Lillard misses 3-pt shot from 29 ft
9:10.0,Defensive rebound by T. Johnson,,4-6,,
9:07.0,G. Dragic misses 3-pt shot from 24 ft,,4-6,,
9:03.0,,,4-6,,Defensive rebound by D. Lillard
9:01.0,Personal foul by J. Richardson (drawn by D. Lillard),,4-6,,
8:50.0,,,4-6,,Turnover by J. Nurkic (lost ball; steal by G. Dragic)
8:47.0,J. Richardson makes 2-pt shot from 1 ft (assist by T. Johnson),2,6-6,,
8:35.0,,,6-8,2,C. McCollum makes 2-pt shot from 2 ft (assist by J. Nurkic)
8:24.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,9-8,,
8:07.0,,,9-8,,C. McCollum misses 2-pt shot from 15 ft
8:05.0,Defensive rebound by G. Dragic,,9-8,,
7:56.0,G. Dragic makes 2-pt shot from 4 ft,2,11-8,,
7:45.0,,,11-8,,Shooting foul by J. Richardson (drawn by C. McCollum)
7:45.0,,,11-9,1,C. McCollum makes free throw 1 of 2
7:45.0,W. Ellington enters the game for J. Richardson,,11-9,,
7:45.0,,,11-10,1,C. McCollum makes free throw 2 of 2
7:32.0,T. Johnson misses 2-pt shot from 4 ft,,11-10,,
7:30.0,,,11-10,,Defensive rebound by J. Nurkic
7:12.0,,,11-10,,J. Nurkic misses 2-pt shot from 8 ft
7:09.0,,,11-10,,Offensive rebound by D. Lillard
7:09.0,,,11-10,,D. Lillard misses 2-pt shot at rim
7:08.0,,,11-10,,Offensive rebound by J. Nurkic
7:05.0,,,11-12,2,J. Nurkic makes 2-pt shot from 2 ft
7:00.0,J. Johnson misses 3-pt shot from 22 ft,,11-12,,
6:57.0,,,11-12,,Defensive rebound by J. Nurkic
6:51.0,,,11-15,3,D. Lillard makes 3-pt shot from 25 ft
6:51.0,,,11-15,,Shooting foul by G. Dragic (drawn by D. Lillard)
6:51.0,,,11-15,,Portland full timeout
6:51.0,,,11-16,1,D. Lillard makes free throw 1 of 1
6:32.0,W. Ellington misses 3-pt shot from 22 ft,,11-16,,
6:30.0,,,11-16,,Defensive rebound by J. Nurkic
6:21.0,,,11-16,,M. Harkless misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by W. Ellington,,11-16,,
6:13.0,Turnover by J. Johnson (bad pass; steal by M. Harkless),,11-16,,
6:09.0,,,11-16,,C. McCollum misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by J. Johnson,,11-16,,
6:00.0,T. Johnson misses 2-pt shot from 1 ft,,11-16,,
5:59.0,,,11-16,,Defensive rebound by J. Nurkic
5:48.0,,,11-16,,D. Lillard misses 2-pt shot from 1 ft (block by B. Adebayo)
5:42.0,,,11-16,,Offensive rebound by M. Harkless
5:42.0,,,11-16,,M. Harkless misses 2-pt shot at rim
5:41.0,Defensive rebound by B. Adebayo,,11-16,,
5:34.0,G. Dragic makes 2-pt shot from 16 ft,2,13-16,,
5:19.0,,,13-16,,Shooting foul by W. Ellington (drawn by M. Harkless)
5:19.0,,,13-17,1,M. Harkless makes free throw 1 of 2
5:19.0,R. McGruder enters the game for T. Johnson,,13-17,,
5:19.0,,,13-18,1,M. Harkless makes free throw 2 of 2
5:08.0,W. Ellington makes 3-pt shot from 23 ft (assist by G. Dragic),3,16-18,,
4:50.0,,,16-18,,D. Lillard misses 2-pt shot from 2 ft (block by R. McGruder)
4:47.0,Defensive rebound by W. Ellington,,16-18,,
4:46.0,Shooting foul by A. Aminu (drawn by G. Dragic),,16-18,,
4:46.0,G. Dragic makes free throw 1 of 2,1,17-18,,
4:46.0,,,17-18,,E. Turner enters the game for M. Harkless
4:46.0,,,17-18,,E. Davis enters the game for A. Aminu
4:46.0,,,17-18,,Z. Collins enters the game for J. Nurkic
4:46.0,K. Olynyk enters the game for B. Adebayo,,17-18,,
4:46.0,G. Dragic makes free throw 2 of 2,1,18-18,,
4:26.0,,,18-20,2,C. McCollum makes 2-pt shot from 16 ft
4:02.0,J. Johnson makes 2-pt shot from 3 ft,2,20-20,,
4:02.0,Shooting foul by E. Davis (drawn by J. Johnson),,20-20,,
4:02.0,J. Johnson makes free throw 1 of 1,1,21-20,,
3:43.0,,,21-20,,Shooting foul by K. Olynyk (drawn by C. McCollum)
3:43.0,,,21-21,1,C. McCollum makes free throw 1 of 2
3:43.0,,,21-21,,P. Connaughton enters the game for D. Lillard
3:43.0,,,21-21,,C. McCollum misses free throw 2 of 2
3:40.0,Defensive rebound by J. Johnson,,21-21,,
3:34.0,G. Dragic makes 2-pt shot from 8 ft (assist by K. Olynyk),2,23-21,,
3:19.0,,,23-23,2,E. Turner makes 2-pt shot from 8 ft
3:07.0,Turnover by K. Olynyk (out of bounds lost ball),,23-23,,
3:07.0,Miami full timeout,,23-23,,
3:07.0,,,23-23,,D. Lillard enters the game for C. McCollum
2:48.0,,,23-25,2,Z. Collins makes 2-pt shot from 19 ft (assist by D. Lillard)
2:31.0,R. McGruder misses 2-pt shot from 3 ft,,23-25,,
2:29.0,,,23-25,,Defensive rebound by Z. Collins
2:17.0,,,23-25,,Shooting foul by R. McGruder (drawn by D. Lillard)
2:17.0,,,23-25,,D. Lillard misses free throw 1 of 2
2:17.0,,,23-25,,Offensive rebound by Team
2:17.0,J. Winslow enters the game for J. Johnson,,23-25,,
2:17.0,,,23-26,1,D. Lillard makes free throw 2 of 2
2:11.0,Turnover by G. Dragic (step out of bounds),,23-26,,
2:11.0,T. Johnson enters the game for G. Dragic,,23-26,,
1:53.0,,,23-26,,Turnover by D. Lillard (out of bounds lost ball)
1:37.0,W. Ellington misses 3-pt shot from 24 ft,,23-26,,
1:35.0,,,23-26,,Defensive rebound by E. Davis
1:29.0,Violation by W. Ellington (kicked ball),,23-26,,
1:19.0,,,23-29,3,P. Connaughton makes 3-pt shot from 24 ft (assist by D. Lillard)
1:02.0,K. Olynyk misses 2-pt shot from 19 ft,,23-29,,
1:01.0,,,23-29,,Defensive rebound by Z. Collins
0:48.0,,,23-31,2,E. Turner makes 2-pt shot from 2 ft
0:35.0,J. Winslow misses 2-pt shot from 1 ft,,23-31,,
0:34.0,Offensive rebound by J. Winslow,,23-31,,
0:32.0,K. Olynyk misses 3-pt shot from 26 ft,,23-31,,
0:32.0,Offensive rebound by J. Winslow,,23-31,,
0:07.0,K. Olynyk makes 2-pt shot from 3 ft,2,25-31,,
0:00.0,,,25-34,3,Z. Collins makes 3-pt shot from 23 ft (assist by D. Lillard)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,25-34,,E. Turner misses 2-pt shot from 11 ft
11:38.0,Defensive rebound by T. Johnson,,25-34,,
11:24.0,J. Winslow misses 2-pt shot from 21 ft,,25-34,,
11:21.0,,,25-34,,Defensive rebound by E. Davis
11:15.0,,,25-37,3,C. McCollum makes 3-pt shot from 25 ft
10:55.0,T. Johnson misses 2-pt shot from 3 ft,,25-37,,
10:51.0,Offensive rebound by J. Winslow,,25-37,,
10:50.0,R. McGruder misses 3-pt shot from 24 ft,,25-37,,
10:50.0,,,25-37,,Defensive rebound by Z. Collins
10:38.0,,,25-37,,Z. Collins misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by J. Winslow,,25-37,,
10:32.0,J. Winslow makes 2-pt shot from 1 ft,2,27-37,,
10:32.0,Shooting foul by Z. Collins (drawn by J. Winslow),,27-37,,
10:32.0,J. Winslow makes free throw 1 of 1,1,28-37,,
10:13.0,,,28-37,,E. Turner misses 2-pt shot from 5 ft
10:09.0,Defensive rebound by J. Winslow,,28-37,,
10:05.0,T. Johnson misses 3-pt shot from 24 ft,,28-37,,
10:05.0,,,28-37,,Defensive rebound by E. Davis
9:56.0,,,28-37,,S. Napier misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by K. Olynyk,,28-37,,
9:37.0,Shooting foul by E. Turner (drawn by K. Olynyk),,28-37,,
9:37.0,K. Olynyk makes free throw 1 of 2,1,29-37,,
