time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: H. Whiteside vs. J. Embiid (B. Simmons gains possession)
11:45.0,J. Redick misses 3-pt shot from 26 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by G. Dragic
11:34.0,,,0-3,3,T. Johnson makes 3-pt shot from 22 ft (assist by J. Johnson)
11:18.0,B. Simmons misses 2-pt shot at rim (block by H. Whiteside),,0-3,,
11:15.0,Offensive rebound by D. Saric,,0-3,,
11:14.0,D. Saric misses 2-pt shot from 17 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by G. Dragic
11:11.0,,,0-3,,Turnover by J. Richardson (step out of bounds)
10:52.0,J. Redick makes 2-pt shot from 3 ft (assist by R. Covington),2,2-3,,
10:26.0,,,2-6,3,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson)
10:10.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Embiid),2,4-6,,
9:57.0,,,4-6,,Turnover by J. Richardson (lost ball; steal by R. Covington)
9:54.0,Shooting foul by J. Johnson (drawn by J. Embiid),,4-6,,
9:54.0,J. Embiid makes free throw 1 of 2,1,5-6,,
9:54.0,J. Embiid makes free throw 2 of 2,1,6-6,,
9:38.0,,,6-6,,J. Johnson misses 2-pt shot from 5 ft (block by J. Embiid)
9:37.0,Defensive rebound by B. Simmons,,6-6,,
9:31.0,D. Saric misses 2-pt shot at rim,,6-6,,
9:28.0,,,6-6,,Defensive rebound by J. Johnson
9:25.0,,,6-6,,Turnover by J. Richardson (traveling)
9:08.0,J. Redick misses 3-pt shot from 25 ft,,6-6,,
9:07.0,,,6-6,,Defensive rebound by H. Whiteside
8:58.0,,,6-6,,G. Dragic misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by B. Simmons,,6-6,,
8:54.0,,,6-6,,Personal foul by J. Richardson (drawn by B. Simmons)
8:36.0,J. Embiid misses 2-pt shot from 15 ft,,6-6,,
8:35.0,Offensive rebound by D. Saric,,6-6,,
8:29.0,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons),2,8-6,,
8:22.0,Personal foul by J. Embiid (drawn by H. Whiteside),,8-6,,
8:05.0,,,8-6,,J. Johnson misses 2-pt shot from 3 ft
8:04.0,Defensive rebound by B. Simmons,,8-6,,
7:56.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,8-6,,
7:56.0,J. Embiid makes free throw 1 of 2,1,9-6,,
7:56.0,J. Embiid makes free throw 2 of 2,1,10-6,,
7:44.0,,,10-9,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
7:42.0,Philadelphia full timeout,,10-9,,
7:42.0,A. Johnson enters the game for J. Embiid,,10-9,,
7:34.0,B. Simmons misses 2-pt shot from 2 ft,,10-9,,
7:33.0,Offensive rebound by B. Simmons,,10-9,,
7:32.0,B. Simmons misses 2-pt shot from 1 ft,,10-9,,
7:31.0,,,10-9,,Defensive rebound by H. Whiteside
7:16.0,Violation by B. Simmons (kicked ball),,10-9,,
7:05.0,,,10-11,2,T. Johnson makes 2-pt shot from 20 ft (assist by G. Dragic)
6:46.0,,,10-11,,Personal foul by H. Whiteside (drawn by A. Johnson)
6:46.0,,,10-11,,K. Olynyk enters the game for H. Whiteside
6:46.0,M. Belinelli enters the game for J. Redick,,10-11,,
6:35.0,Shooting foul by G. Dragic (drawn by R. Covington),,10-11,,
6:35.0,R. Covington misses free throw 1 of 3,,10-11,,
6:35.0,Offensive rebound by Team,,10-11,,
6:35.0,R. Covington makes free throw 2 of 3,1,11-11,,
6:35.0,R. Covington makes free throw 3 of 3,1,12-11,,
6:32.0,,,12-13,2,G. Dragic makes 2-pt shot from 2 ft (assist by K. Olynyk)
6:32.0,,,12-13,,Shooting foul by R. Covington (drawn by G. Dragic)
6:32.0,,,12-14,1,G. Dragic makes free throw 1 of 1
6:21.0,D. Saric misses 2-pt shot from 17 ft,,12-14,,
6:19.0,,,12-14,,Defensive rebound by K. Olynyk
6:16.0,,,12-16,2,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
6:03.0,R. Covington makes 3-pt shot from 26 ft,3,15-16,,
5:37.0,,,15-16,,G. Dragic misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by R. Covington,,15-16,,
5:25.0,M. Belinelli makes 2-pt shot from 17 ft (assist by B. Simmons),2,17-16,,
5:18.0,,,17-16,,Miami full timeout
5:07.0,,,17-16,,Shooting foul by D. Saric (drawn by G. Dragic)
5:07.0,,,17-17,1,G. Dragic makes free throw 1 of 2
5:07.0,,,17-17,,J. Winslow enters the game for J. Richardson
5:07.0,,,17-18,1,G. Dragic makes free throw 2 of 2
4:57.0,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Simmons),3,20-18,,
4:57.0,Shooting foul by T. Johnson (drawn by M. Belinelli),,20-18,,
4:57.0,,,20-18,,W. Ellington enters the game for T. Johnson
4:57.0,J. Redick enters the game for D. Saric,,20-18,,
4:57.0,E. Ilyasova enters the game for R. Covington,,20-18,,
4:57.0,M. Belinelli makes free throw 1 of 1,1,21-18,,
4:41.0,,,21-18,,W. Ellington misses 2-pt shot from 2 ft
4:38.0,Defensive rebound by B. Simmons,,21-18,,
4:34.0,E. Ilyasova misses 3-pt shot from 24 ft,,21-18,,
4:31.0,,,21-18,,Defensive rebound by W. Ellington
4:15.0,,,21-18,,W. Ellington misses 3-pt shot from 22 ft
4:12.0,Defensive rebound by M. Belinelli,,21-18,,
4:10.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Simmons),3,24-18,,
3:57.0,Personal foul by A. Johnson (drawn by K. Olynyk),,24-18,,
