time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: A. Baynes vs. J. Embiid (B. Simmons gains possession)
11:43.0,B. Simmons misses 2-pt shot from 2 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Horford
11:33.0,,,0-0,,T. Rozier misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by J. Redick,,0-0,,
11:21.0,J. Redick makes 3-pt shot from 23 ft (assist by J. Embiid),3,3-0,,
11:01.0,,,3-0,,J. Tatum misses 2-pt shot at rim
10:58.0,Defensive rebound by B. Simmons,,3-0,,
10:55.0,D. Saric misses 2-pt shot from 2 ft (block by T. Rozier),,3-0,,
10:54.0,Offensive rebound by J. Redick,,3-0,,
10:49.0,D. Saric misses 3-pt shot from 26 ft,,3-0,,
10:47.0,,,3-0,,Defensive rebound by A. Horford
10:39.0,Personal foul by R. Covington (drawn by T. Rozier),,3-0,,
10:27.0,,,3-0,,Turnover by J. Tatum (lost ball; steal by R. Covington)
10:17.0,J. Embiid misses 2-pt shot from 1 ft,,3-0,,
10:13.0,,,3-0,,Defensive rebound by M. Smart
10:02.0,,,3-0,,A. Horford misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by J. Embiid,,3-0,,
9:48.0,J. Redick makes 2-pt shot from 2 ft (assist by D. Saric),2,5-0,,
9:34.0,,,5-0,,T. Rozier misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by J. Embiid,,5-0,,
9:26.0,J. Embiid misses 3-pt shot from 27 ft,,5-0,,
9:21.0,,,5-0,,Defensive rebound by A. Horford
9:11.0,,,5-0,,Turnover by A. Horford (step out of bounds)
8:57.0,J. Redick makes 3-pt shot from 26 ft (assist by R. Covington),3,8-0,,
8:56.0,,,8-0,,Boston full timeout
8:37.0,,,8-3,3,M. Smart makes 3-pt shot from 24 ft (assist by J. Tatum)
8:16.0,D. Saric misses 2-pt shot from 1 ft,,8-3,,
8:16.0,Offensive rebound by D. Saric,,8-3,,
8:15.0,D. Saric misses 2-pt shot from 1 ft,,8-3,,
8:14.0,Offensive rebound by R. Covington,,8-3,,
8:14.0,R. Covington makes 2-pt shot from 1 ft,2,10-3,,
8:00.0,,,10-3,,T. Rozier misses 2-pt shot from 6 ft
8:00.0,Defensive rebound by Team,,10-3,,
7:41.0,J. Embiid misses 2-pt shot from 2 ft,,10-3,,
7:38.0,,,10-3,,Defensive rebound by A. Baynes
7:31.0,,,10-5,2,J. Tatum makes 2-pt shot from 16 ft
