time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: H. Barnes vs. Z. Pachulia (D. Green gains possession)
11:39.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green),2,2-0,,
11:17.0,,,2-0,,D. Nowitzki misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by Z. Pachulia,,2-0,,
11:12.0,K. Thompson misses 3-pt shot from 24 ft,,2-0,,
11:07.0,Offensive rebound by S. Curry,,2-0,,
11:00.0,Turnover by S. Curry (lost ball; steal by H. Barnes),,2-0,,
10:56.0,,,2-2,2,W. Matthews makes 2-pt shot from 1 ft (assist by H. Barnes)
10:46.0,Turnover by S. Curry (bad pass; steal by D. Nowitzki),,2-2,,
10:40.0,,,2-2,,Turnover by D. Nowitzki (bad pass; steal by S. Curry)
10:35.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,4-2,,
10:35.0,Shooting foul by D. Nowitzki (drawn by D. Green),,4-2,,
10:35.0,D. Green makes free throw 1 of 1,1,5-2,,
10:16.0,,,5-4,2,D. Smith makes 2-pt shot from 21 ft
10:00.0,K. Thompson makes 2-pt shot from 6 ft,2,7-4,,
9:41.0,,,7-4,,Shooting foul by K. Thompson (drawn by D. Smith)
9:41.0,,,7-5,1,D. Smith makes free throw 1 of 2
9:41.0,,,7-6,1,D. Smith makes free throw 2 of 2
9:29.0,S. Curry makes 2-pt shot from 21 ft,2,9-6,,
9:18.0,,,9-6,,D. Smith misses 2-pt shot from 4 ft
9:17.0,Defensive rebound by D. Green,,9-6,,
9:05.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,12-6,,
8:47.0,,,12-6,,H. Barnes misses 2-pt shot from 14 ft
8:44.0,Defensive rebound by Z. Pachulia,,12-6,,
8:38.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,15-6,,
8:37.0,,,15-6,,Dallas full timeout
8:25.0,Personal foul by Z. Pachulia (drawn by D. Nowitzki),,15-6,,
8:12.0,,,15-6,,Turnover by D. Nowitzki (bad pass)
7:59.0,S. Curry misses 3-pt shot from 24 ft,,15-6,,
7:57.0,Offensive rebound by Z. Pachulia,,15-6,,
7:54.0,K. Durant misses 3-pt shot from 24 ft,,15-6,,
7:50.0,,,15-6,,Defensive rebound by D. Nowitzki
7:38.0,,,15-6,,D. Smith misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by D. Green,,15-6,,
7:31.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,17-6,,
7:10.0,,,17-6,,D. Nowitzki misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by K. Thompson,,17-6,,
6:59.0,S. Curry misses 3-pt shot from 26 ft,,17-6,,
6:57.0,,,17-6,,Defensive rebound by W. Matthews
6:47.0,,,17-6,,D. Smith misses 2-pt shot from 2 ft (block by K. Durant)
6:43.0,Defensive rebound by K. Durant,,17-6,,
6:41.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,19-6,,
6:22.0,,,19-8,2,H. Barnes makes 2-pt shot from 1 ft
6:11.0,K. Thompson makes 2-pt shot from 13 ft (assist by K. Durant),2,21-8,,
5:50.0,,,21-8,,H. Barnes misses 2-pt shot from 9 ft
5:50.0,Defensive rebound by D. Green,,21-8,,
5:46.0,,,21-8,,Personal take foul by W. Matthews (drawn by S. Curry)
5:46.0,,,21-8,,N. Noel enters the game for D. Nowitzki
5:46.0,,,21-8,,J. Barea enters the game for D. Smith
5:38.0,Turnover by S. Curry (bad pass; steal by N. Noel),,21-8,,
5:31.0,,,21-8,,N. Noel misses 2-pt shot from 9 ft
5:28.0,Defensive rebound by Z. Pachulia,,21-8,,
5:23.0,D. Green misses 3-pt shot from 24 ft,,21-8,,
5:19.0,,,21-8,,Defensive rebound by N. Noel
5:11.0,Personal foul by D. Green (drawn by N. Noel),,21-8,,
4:56.0,,,21-8,,Turnover by J. Barea (lost ball; steal by S. Curry)
4:53.0,,,21-8,,Shooting block foul by Y. Ferrell (drawn by S. Curry)
4:53.0,S. Curry makes free throw 1 of 2,1,22-8,,
4:53.0,,,22-8,,D. Finney-Smith enters the game for W. Matthews
4:53.0,A. Iguodala enters the game for Z. Pachulia,,22-8,,
4:53.0,J. McGee enters the game for K. Durant,,22-8,,
4:53.0,S. Curry makes free throw 2 of 2,1,23-8,,
4:38.0,,,23-11,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by H. Barnes)
4:24.0,A. Iguodala misses 3-pt shot from 25 ft,,23-11,,
4:21.0,,,23-11,,Defensive rebound by H. Barnes
4:17.0,Shooting block foul by J. McGee (drawn by H. Barnes),,23-11,,
4:17.0,,,23-11,,H. Barnes misses free throw 1 of 2
4:17.0,,,23-11,,Offensive rebound by Team
4:17.0,N. Young enters the game for K. Thompson,,23-11,,
4:17.0,,,23-11,,H. Barnes misses free throw 2 of 2
4:17.0,,,23-11,,Offensive rebound by H. Barnes
4:09.0,,,23-13,2,J. Barea makes 2-pt shot from 10 ft
3:55.0,Shooting foul by D. Finney-Smith (drawn by J. McGee),,23-13,,
3:55.0,J. McGee misses free throw 1 of 2,,23-13,,
3:55.0,Offensive rebound by Team,,23-13,,
3:55.0,J. McGee makes free throw 2 of 2,1,24-13,,
3:39.0,,,24-13,,H. Barnes misses 2-pt shot from 20 ft
3:36.0,,,24-13,,Offensive rebound by Team
3:29.0,,,24-13,,J. Barea misses 2-pt shot from 8 ft
3:26.0,,,24-13,,Offensive rebound by J. Barea
3:16.0,Personal foul by J. McGee (drawn by J. Barea),,24-13,,
3:16.0,,,24-13,,J. Barea misses free throw 1 of 2
3:16.0,,,24-13,,Offensive rebound by Team
3:16.0,Golden State full timeout,,24-13,,
3:16.0,,,24-13,,J. Barea misses free throw 2 of 2
3:13.0,Defensive rebound by J. McGee,,24-13,,
3:13.0,,,24-13,,Personal take foul by N. Noel (drawn by J. McGee)
3:13.0,J. McGee makes free throw 1 of 2,1,25-13,,
3:13.0,J. McGee misses free throw 2 of 2,,25-13,,
