time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: J. Embiid vs. N. Vucevic (E. Fournier gains possession)
11:39.0,N. Vucevic makes 2-pt shot from 12 ft (assist by J. Simmons),2,2-0,,
11:26.0,,,2-0,,Turnover by R. Covington (bad pass)
11:07.0,J. Simmons misses 2-pt shot from 4 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by B. Simmons
11:01.0,,,2-0,,D. Saric misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by A. Gordon,,2-0,,
10:54.0,A. Gordon misses 3-pt shot from 27 ft,,2-0,,
10:54.0,,,2-0,,Defensive rebound by J. Embiid
10:43.0,,,2-0,,B. Simmons misses 2-pt shot from 9 ft
10:43.0,Defensive rebound by N. Vucevic,,2-0,,
10:27.0,E. Fournier misses 3-pt shot from 26 ft,,2-0,,
10:24.0,,,2-0,,Defensive rebound by R. Covington
10:17.0,,,2-2,2,J. Embiid makes 2-pt shot from 20 ft
10:05.0,Turnover by E. Fournier (bad pass; steal by J. Redick),,2-2,,
10:02.0,,,2-2,,Turnover by B. Simmons (bad pass)
9:50.0,A. Gordon makes 3-pt shot from 25 ft (assist by J. Simmons),3,5-2,,
9:37.0,,,5-2,,Turnover by R. Covington (bad pass)
9:23.0,J. Simmons makes 2-pt shot from 6 ft (assist by N. Vucevic),2,7-2,,
9:08.0,,,7-2,,J. Embiid misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by N. Vucevic,,7-2,,
9:02.0,A. Gordon misses 2-pt shot from 4 ft,,7-2,,
9:01.0,,,7-2,,Defensive rebound by R. Covington
8:57.0,,,7-2,,B. Simmons misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by A. Gordon,,7-2,,
8:50.0,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon),2,9-2,,
8:50.0,,,9-2,,Philadelphia full timeout
8:40.0,,,9-4,2,J. Embiid makes 2-pt shot from 2 ft (assist by B. Simmons)
8:21.0,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin),2,11-4,,
8:03.0,,,11-4,,R. Covington misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by N. Vucevic,,11-4,,
7:38.0,J. Simmons misses 3-pt shot from 25 ft,,11-4,,
7:34.0,,,11-4,,Defensive rebound by J. Embiid
7:28.0,,,11-4,,Shooting foul by J. Simmons (drawn by D. Saric)
7:28.0,,,11-5,1,D. Saric makes free throw 1 of 2
7:28.0,,,11-5,,T. McConnell enters the game for J. Redick
7:28.0,,,11-6,1,D. Saric makes free throw 2 of 2
7:14.0,N. Vucevic makes 2-pt shot from 21 ft (assist by A. Gordon),2,13-6,,
