time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. S. Ibaka (G. Hill gains possession),,,,Jump ball: K. Love vs. S. Ibaka (G. Hill gains possession)
11:42.0,,,0-0,,L. James misses 2-pt shot from 1 ft (block by S. Ibaka)
11:39.0,Defensive rebound by D. DeRozan,,0-0,,
11:32.0,O. Anunoby misses 2-pt shot from 3 ft (block by K. Love),,0-0,,
11:28.0,Offensive rebound by O. Anunoby,,0-0,,
11:24.0,K. Lowry makes 3-pt shot from 27 ft (assist by O. Anunoby),3,3-0,,
11:04.0,,,3-0,,Turnover by K. Love (bad pass; steal by C. Miles)
10:54.0,S. Ibaka misses 2-pt shot from 13 ft,,3-0,,
10:51.0,,,3-0,,Defensive rebound by L. James
10:49.0,Personal foul by K. Lowry (drawn by G. Hill),,3-0,,
10:29.0,,,3-2,2,J. Smith makes 2-pt shot from 12 ft
10:05.0,D. DeRozan misses 2-pt shot from 2 ft,,3-2,,
10:05.0,,,3-2,,Defensive rebound by Team
10:00.0,,,3-4,2,G. Hill makes 2-pt shot at rim
9:46.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,6-4,,
9:28.0,,,6-4,,K. Love misses 2-pt shot from 5 ft
9:26.0,Defensive rebound by D. DeRozan,,6-4,,
9:23.0,C. Miles misses 3-pt shot from 26 ft,,6-4,,
9:19.0,,,6-4,,Defensive rebound by G. Hill
9:14.0,,,6-6,2,G. Hill makes 2-pt shot at rim
8:48.0,S. Ibaka makes 2-pt shot from 9 ft (assist by K. Lowry),2,8-6,,
8:31.0,,,8-8,2,J. Smith makes 2-pt shot from 14 ft
8:21.0,K. Lowry makes 2-pt shot from 1 ft,2,10-8,,
8:09.0,,,10-10,2,G. Hill makes 2-pt shot at rim
7:50.0,C. Miles makes 2-pt shot from 1 ft (assist by K. Lowry),2,12-10,,
7:36.0,,,12-12,2,K. Love makes 2-pt shot at rim (assist by G. Hill)
7:28.0,Offensive foul by C. Miles (drawn by K. Love),,12-12,,
7:28.0,Turnover by C. Miles (offensive foul),,12-12,,
7:14.0,Personal foul by C. Miles (drawn by K. Love),,12-12,,
7:02.0,Personal foul by O. Anunoby (drawn by L. James),,12-12,,
7:02.0,F. VanVleet enters the game for C. Miles,,12-12,,
6:50.0,,,12-15,3,K. Korver makes 3-pt shot from 30 ft (assist by J. Smith)
6:38.0,Toronto full timeout,,12-15,,
6:30.0,D. DeRozan makes 2-pt shot from 11 ft (assist by K. Lowry),2,14-15,,
6:03.0,,,14-17,2,L. James makes 2-pt shot from 1 ft
5:53.0,Shooting foul by J. Smith (drawn by D. DeRozan),,14-17,,
5:53.0,D. DeRozan misses free throw 1 of 2,,14-17,,
5:53.0,Offensive rebound by Team,,14-17,,
5:53.0,D. DeRozan makes free throw 2 of 2,1,15-17,,
5:38.0,,,15-19,2,K. Korver makes 2-pt shot at rim (assist by L. James)
5:21.0,Turnover by S. Ibaka (bad pass; steal by K. Love),,15-19,,
5:06.0,,,15-21,2,J. Smith makes 2-pt shot at rim (assist by L. James)
4:42.0,K. Lowry misses 2-pt shot from 1 ft,,15-21,,
4:40.0,,,15-21,,Defensive rebound by K. Korver
4:24.0,,,15-21,,Turnover by K. Korver (bad pass)
4:07.0,Turnover by D. DeRozan (step out of bounds),,15-21,,
3:49.0,,,15-21,,K. Love misses 3-pt shot from 23 ft
3:46.0,Defensive rebound by F. VanVleet,,15-21,,
3:44.0,F. VanVleet makes 2-pt shot at rim,2,17-21,,
3:32.0,Personal foul by S. Ibaka (drawn by K. Love),,17-21,,
3:32.0,J. Valanciunas enters the game for S. Ibaka,,17-21,,
3:19.0,,,17-23,2,K. Love makes 2-pt shot from 1 ft
3:06.0,J. Valanciunas misses 2-pt shot from 1 ft (block by K. Love),,17-23,,
3:03.0,,,17-23,,Defensive rebound by K. Love
3:00.0,,,17-26,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
2:52.0,Toronto full timeout,,17-26,,
2:52.0,P. Siakam enters the game for O. Anunoby,,17-26,,
2:45.0,Shooting foul by K. Korver (drawn by D. DeRozan),,17-26,,
2:45.0,D. DeRozan makes free throw 1 of 2,1,18-26,,
2:45.0,D. DeRozan makes free throw 2 of 2,1,19-26,,
2:28.0,,,19-26,,L. James misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by P. Siakam,,19-26,,
2:13.0,D. DeRozan misses 2-pt shot from 8 ft,,19-26,,
2:12.0,Offensive rebound by J. Valanciunas,,19-26,,
2:12.0,J. Valanciunas misses 2-pt shot at rim,,19-26,,
2:10.0,,,19-26,,Defensive rebound by G. Hill
2:00.0,,,19-29,3,J. Smith makes 3-pt shot from 23 ft
1:47.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by F. VanVleet),2,21-29,,
1:24.0,,,21-29,,K. Love misses 2-pt shot from 1 ft (block by J. Valanciunas)
1:21.0,Defensive rebound by P. Siakam,,21-29,,
1:17.0,F. VanVleet makes 3-pt shot from 28 ft (assist by P. Siakam),3,24-29,,
1:12.0,,,24-29,,Cleveland full timeout
1:12.0,,,24-29,,T. Thompson enters the game for L. James
1:12.0,,,24-29,,C. Osman enters the game for K. Korver
1:02.0,Personal foul by P. Siakam (drawn by K. Love),,24-29,,
1:02.0,,,24-29,,K. Love misses free throw 1 of 2
1:02.0,,,24-29,,Offensive rebound by Team
1:02.0,,,24-30,1,K. Love makes free throw 2 of 2
0:51.0,K. Lowry misses 3-pt shot from 25 ft,,24-30,,
