time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. A. Horford (K. Irving gains possession),,,,Jump ball: K. Love vs. A. Horford (K. Irving gains possession)
11:44.0,K. Irving makes 2-pt shot from 10 ft (assist by A. Horford),2,2-0,,
11:27.0,,,2-0,,D. Rose misses 2-pt shot from 1 ft (block by A. Horford)
11:23.0,Defensive rebound by A. Horford,,2-0,,
11:21.0,G. Hayward misses 3-pt shot from 25 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by D. Rose
11:02.0,,,2-0,,K. Love misses 2-pt shot from 15 ft
10:59.0,Defensive rebound by J. Brown,,2-0,,
10:51.0,J. Tatum misses 2-pt shot from 2 ft (block by L. James),,2-0,,
10:51.0,Offensive rebound by Team,,2-0,,
10:48.0,A. Horford makes 2-pt shot from 19 ft (assist by K. Irving),2,4-0,,
10:32.0,Def 3 sec tech foul by J. Tatum,,4-0,,
10:32.0,,,4-1,1,K. Love makes technical free throw
10:21.0,,,4-3,2,J. Crowder makes 2-pt shot from 22 ft (assist by D. Wade)
10:05.0,Turnover by J. Brown (palming),,4-3,,
9:56.0,Personal foul by J. Tatum (drawn by D. Wade),,4-3,,
9:49.0,,,4-5,2,D. Wade makes 2-pt shot from 12 ft (assist by L. James)
9:33.0,J. Brown misses 2-pt shot from 1 ft,,4-5,,
9:31.0,,,4-5,,Defensive rebound by L. James
9:29.0,,,4-7,2,D. Rose makes 2-pt shot from 1 ft (assist by L. James)
9:22.0,,,4-7,,Personal foul by K. Love (drawn by K. Irving)
9:14.0,G. Hayward makes 2-pt shot from 9 ft (assist by A. Horford),2,6-7,,
8:52.0,,,6-7,,D. Rose misses 3-pt shot from 26 ft
8:49.0,,,6-7,,Offensive rebound by J. Crowder
8:49.0,,,6-7,,Shooting foul by G. Hayward (drawn by J. Crowder)
8:49.0,,,6-8,1,J. Crowder makes free throw 1 of 2
8:49.0,,,6-9,1,J. Crowder makes free throw 2 of 2
8:34.0,K. Irving misses 2-pt shot from 3 ft,,6-9,,
8:33.0,,,6-9,,Defensive rebound by K. Love
8:21.0,,,6-9,,D. Wade misses 2-pt shot from 14 ft
8:18.0,Defensive rebound by A. Horford,,6-9,,
8:02.0,K. Irving makes 2-pt shot from 16 ft,2,8-9,,
7:49.0,,,8-9,,Turnover by D. Rose (lost ball; steal by K. Irving)
7:42.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Tatum),2,10-9,,
7:28.0,,,10-9,,J. Crowder misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by G. Hayward,,10-9,,
7:22.0,,,10-9,,Personal foul by K. Love (drawn by J. Brown)
7:22.0,,,10-9,,T. Thompson enters the game for K. Love
7:15.0,A. Horford misses 3-pt shot from 25 ft,,10-9,,
7:11.0,Offensive rebound by K. Irving,,10-9,,
7:09.0,J. Brown misses 3-pt shot from 25 ft,,10-9,,
7:06.0,,,10-9,,Defensive rebound by L. James
6:59.0,,,10-9,,Turnover by D. Wade (traveling)
6:59.0,,,10-9,,Cleveland full timeout
6:45.0,J. Brown makes 2-pt shot from 1 ft,2,12-9,,
6:45.0,M. Smart enters the game for G. Hayward,,12-9,,
6:26.0,,,12-9,,L. James misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by A. Horford,,12-9,,
6:10.0,Turnover by J. Brown (step out of bounds),,12-9,,
6:10.0,,,12-9,,J. Smith enters the game for D. Wade
5:59.0,,,12-9,,D. Rose misses 2-pt shot from 18 ft
5:54.0,Defensive rebound by M. Smart,,12-9,,
