time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. W. Cauley-Stein (J. Green gains possession),,,,Jump ball: M. Gasol vs. W. Cauley-Stein (J. Green gains possession)
11:47.0,,,0-0,,Turnover by D. Brooks (bad pass)
11:25.0,Turnover by Z. Randolph (lost ball; steal by A. Harrison),,0-0,,
11:15.0,,,0-2,2,M. Gasol makes 2-pt shot from 18 ft (assist by A. Harrison)
11:10.0,,,0-2,,Personal foul by A. Harrison (drawn by D. Fox)
11:03.0,D. Fox makes 2-pt shot from 1 ft,2,2-2,,
10:50.0,,,2-2,,A. Harrison misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by W. Cauley-Stein,,2-2,,
10:34.0,J. Jackson misses 3-pt shot from 25 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by A. Harrison
10:29.0,,,2-2,,T. Evans misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by W. Cauley-Stein,,2-2,,
10:08.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,4-2,,
9:56.0,,,4-4,2,T. Evans makes 2-pt shot from 19 ft
9:43.0,D. Fox makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,7-4,,
9:42.0,,,7-4,,Memphis full timeout
9:21.0,Personal foul by W. Cauley-Stein (drawn by M. Gasol),,7-4,,
9:10.0,,,7-4,,J. Green misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by W. Cauley-Stein,,7-4,,
8:53.0,Z. Randolph makes 2-pt shot from 1 ft,2,9-4,,
8:44.0,,,9-4,,Turnover by T. Evans (bad pass)
8:35.0,B. Bogdanovic makes 2-pt shot at rim,2,11-4,,
8:21.0,,,11-4,,Shooting foul by D. Fox (drawn by A. Harrison)
8:21.0,,,11-5,1,A. Harrison makes free throw 1 of 2
8:21.0,,,11-5,,W. Selden enters the game for D. Brooks
8:21.0,,,11-6,1,A. Harrison makes free throw 2 of 2
8:06.0,B. Bogdanovic misses 3-pt shot from 26 ft,,11-6,,
8:04.0,,,11-6,,Defensive rebound by J. Green
7:56.0,Personal foul by W. Cauley-Stein (drawn by J. Green),,11-6,,
7:56.0,,,11-6,,M. Chalmers enters the game for A. Harrison
7:42.0,,,11-6,,T. Evans misses 3-pt shot from 27 ft
7:39.0,Defensive rebound by W. Cauley-Stein,,11-6,,
7:34.0,Shooting foul by W. Selden (drawn by J. Jackson),,11-6,,
7:34.0,J. Jackson misses free throw 1 of 2,,11-6,,
7:34.0,Offensive rebound by Team,,11-6,,
7:34.0,,,11-6,,J. Martin enters the game for J. Green
7:34.0,V. Carter enters the game for W. Cauley-Stein,,11-6,,
7:34.0,J. Jackson misses free throw 2 of 2,,11-6,,
7:32.0,,,11-6,,Defensive rebound by J. Martin
7:19.0,,,11-8,2,T. Evans makes 2-pt shot at rim
7:13.0,D. Fox misses 2-pt shot from 5 ft,,11-8,,
7:10.0,,,11-8,,Defensive rebound by M. Gasol
7:07.0,,,11-10,2,W. Selden makes 2-pt shot at rim (assist by M. Gasol)
6:50.0,,,11-10,,Personal foul by W. Selden (drawn by B. Bogdanovic)
6:39.0,Z. Randolph misses 2-pt shot from 13 ft,,11-10,,
6:36.0,,,11-10,,Defensive rebound by M. Gasol
6:32.0,,,11-12,2,J. Martin makes 2-pt shot at rim (assist by M. Chalmers)
6:26.0,Sacramento full timeout,,11-12,,
6:13.0,D. Fox misses 2-pt shot from 19 ft,,11-12,,
6:09.0,,,11-12,,Defensive rebound by T. Evans
6:08.0,,,11-12,,Shooting foul by V. Carter (drawn by T. Evans)
6:08.0,,,11-13,1,T. Evans makes free throw 1 of 2
6:08.0,,,11-14,1,T. Evans makes free throw 2 of 2
5:52.0,Z. Randolph misses 2-pt shot from 14 ft,,11-14,,
5:49.0,,,11-14,,Defensive rebound by T. Evans
5:44.0,,,11-14,,T. Evans misses 2-pt shot from 2 ft
5:42.0,,,11-14,,Offensive rebound by J. Martin
5:30.0,,,11-14,,M. Chalmers misses 3-pt shot from 25 ft
5:27.0,,,11-14,,Offensive rebound by J. Martin
5:16.0,,,11-14,,M. Chalmers misses 3-pt shot from 23 ft
5:15.0,,,11-14,,Offensive rebound by Team
5:15.0,,,11-14,,D. Brooks enters the game for T. Evans
5:00.0,,,11-14,,Turnover by W. Selden (lost ball; steal by B. Bogdanovic)
4:48.0,G. Temple enters the game for B. Bogdanovic,,11-14,,
4:46.0,Turnover by V. Carter (bad pass; steal by W. Selden),,11-14,,
4:37.0,,,11-14,,M. Chalmers misses 2-pt shot from 4 ft (block by D. Fox)
4:34.0,,,11-14,,Offensive rebound by M. Chalmers
4:25.0,,,11-14,,W. Selden misses 3-pt shot from 25 ft
4:18.0,,,11-14,,Offensive rebound by J. Martin
4:18.0,,,11-14,,J. Martin misses 2-pt shot at rim
4:18.0,Defensive rebound by D. Fox,,11-14,,
4:10.0,Turnover by J. Jackson (bad pass; steal by D. Brooks),,11-14,,
4:08.0,,,11-14,,Shooting foul by G. Temple (drawn by D. Brooks)
4:08.0,,,11-15,1,D. Brooks makes free throw 1 of 2
4:08.0,,,11-15,,D. Davis enters the game for M. Gasol
4:08.0,S. Labissiere enters the game for D. Fox,,11-15,,
4:08.0,B. Hield enters the game for J. Jackson,,11-15,,
4:08.0,,,11-16,1,D. Brooks makes free throw 2 of 2
3:53.0,V. Carter misses 2-pt shot from 18 ft,,11-16,,
3:50.0,,,11-16,,Defensive rebound by W. Selden
3:45.0,,,11-16,,W. Selden misses 2-pt shot from 1 ft (block by S. Labissiere)
3:41.0,Defensive rebound by Z. Randolph,,11-16,,
3:40.0,Turnover by Z. Randolph (lost ball; steal by W. Selden),,11-16,,
