time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. T. Thompson (K. Love gains possession),,,,Jump ball: K. Durant vs. T. Thompson (K. Love gains possession)
11:41.0,K. Love misses 2-pt shot from 10 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Green
11:33.0,,,0-0,,Turnover by D. Green (bad pass; steal by L. James)
11:10.0,L. James makes 2-pt shot from 2 ft,2,2-0,,
10:50.0,,,2-0,,K. Durant misses 2-pt shot from 13 ft
10:49.0,Defensive rebound by K. Love,,2-0,,
10:37.0,J. Smith makes 2-pt shot from 7 ft,2,4-0,,
10:29.0,,,4-0,,K. Thompson misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by T. Thompson,,4-0,,
10:06.0,K. Love misses 3-pt shot from 23 ft,,4-0,,
10:02.0,,,4-0,,Defensive rebound by S. Curry
9:59.0,,,4-3,3,S. Curry makes 3-pt shot from 28 ft
9:40.0,K. Love makes 2-pt shot from 17 ft (assist by J. Smith),2,6-3,,
9:27.0,,,6-5,2,S. Curry makes 2-pt shot from 9 ft
9:27.0,,,6-5,,Shooting foul by T. Thompson (drawn by S. Curry)
9:27.0,,,6-6,1,S. Curry makes free throw 1 of 1
9:17.0,Shooting foul by K. Durant (drawn by L. James),,6-6,,
9:17.0,L. James makes free throw 1 of 2,1,7-6,,
9:17.0,L. James makes free throw 2 of 2,1,8-6,,
9:03.0,,,8-8,2,K. Durant makes 2-pt shot from 7 ft (assist by D. Green)
8:43.0,Turnover by J. Smith (bad pass; steal by D. Green),,8-8,,
8:37.0,,,8-10,2,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry)
8:25.0,K. Love makes 2-pt shot from 15 ft,2,10-10,,
8:13.0,,,10-12,2,K. Thompson makes 2-pt shot from 16 ft
7:58.0,J. Smith misses 2-pt shot from 20 ft,,10-12,,
7:57.0,Offensive rebound by Team,,10-12,,
7:57.0,,,10-12,,Loose ball foul by K. Thompson (drawn by T. Thompson)
7:42.0,L. James makes 3-pt shot from 26 ft,3,13-12,,
7:26.0,,,13-12,,D. Green misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by K. Love,,13-12,,
7:18.0,L. James makes 2-pt shot from 4 ft (assist by K. Love),2,15-12,,
7:04.0,,,15-12,,K. Thompson misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by K. Love,,15-12,,
6:52.0,Turnover by L. James (bad pass; steal by D. Green),,15-12,,
6:50.0,Personal foul by G. Hill (drawn by K. Durant),,15-12,,
6:50.0,,,15-12,,Golden State full timeout
6:50.0,,,15-12,,J. Bell enters the game for K. Looney
6:42.0,,,15-15,3,S. Curry makes 3-pt shot from 30 ft
6:23.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,18-15,,
6:17.0,Personal foul by J. Smith (drawn by K. Thompson),,18-15,,
6:17.0,,,18-15,,N. Young enters the game for K. Thompson
6:04.0,,,18-17,2,D. Green makes 2-pt shot from 1 ft (assist by K. Durant)
5:44.0,L. James makes 2-pt shot from 21 ft,2,20-17,,
5:28.0,,,20-19,2,J. Bell makes 2-pt shot from 3 ft (assist by D. Green)
5:27.0,Cleveland full timeout,,20-19,,
5:12.0,Shooting foul by J. Bell (drawn by L. James),,20-19,,
5:12.0,L. James misses free throw 1 of 2,,20-19,,
5:12.0,Offensive rebound by Team,,20-19,,
5:12.0,L. James makes free throw 2 of 2,1,21-19,,
4:49.0,,,21-19,,S. Curry misses 2-pt shot from 4 ft (block by T. Thompson)
4:49.0,,,21-19,,Offensive rebound by Team
4:46.0,,,21-21,2,N. Young makes 2-pt shot from 9 ft (assist by S. Curry)
4:29.0,K. Love misses 3-pt shot from 24 ft,,21-21,,
4:26.0,Offensive rebound by J. Smith,,21-21,,
4:26.0,K. Love makes 2-pt shot from 2 ft (assist by J. Smith),2,23-21,,
4:26.0,Shooting foul by N. Young (drawn by K. Love),,23-21,,
4:26.0,K. Love makes free throw 1 of 1,1,24-21,,
4:07.0,,,24-21,,Shooting foul by G. Hill (drawn by K. Durant)
4:07.0,,,24-22,1,K. Durant makes free throw 1 of 2
4:07.0,J. Green enters the game for T. Thompson,,24-22,,
