time,Washington,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. M. Gortat (M. Morris gains possession),,,,Jump ball: M. Chriss vs. M. Gortat (M. Morris gains possession)
11:45.0,M. Gortat misses 2-pt shot from 5 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by G. Monroe
11:30.0,,,0-3,3,M. Chriss makes 3-pt shot from 23 ft (assist by J. Jackson)
11:07.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,2-3,,
10:51.0,,,2-5,2,T. Warren makes 2-pt shot from 18 ft (assist by J. Jackson)
10:30.0,M. Morris misses 2-pt shot from 19 ft,,2-5,,
10:27.0,,,2-5,,Defensive rebound by T. Warren
10:17.0,,,2-7,2,G. Monroe makes 2-pt shot from 4 ft
10:00.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,4-7,,
9:45.0,Personal foul by T. Frazier (drawn by M. Chriss),,4-7,,
9:38.0,,,4-7,,J. Jackson misses 2-pt shot from 17 ft
9:35.0,,,4-7,,Offensive rebound by G. Monroe
9:32.0,,,4-9,2,M. Chriss makes 2-pt shot from 19 ft (assist by G. Monroe)
9:13.0,B. Beal makes 2-pt shot at rim,2,6-9,,
8:57.0,,,6-12,3,T. Ulis makes 3-pt shot from 25 ft
8:41.0,T. Frazier misses 2-pt shot from 21 ft,,6-12,,
8:37.0,,,6-12,,Defensive rebound by T. Warren
8:32.0,,,6-12,,T. Warren misses 2-pt shot at rim
8:30.0,,,6-12,,Offensive rebound by J. Jackson
8:30.0,,,6-14,2,J. Jackson makes 2-pt shot at rim
8:30.0,Washington full timeout,,6-14,,
8:14.0,M. Morris misses 3-pt shot from 24 ft,,6-14,,
8:11.0,Offensive rebound by M. Gortat,,6-14,,
8:10.0,M. Gortat misses 2-pt shot from 1 ft,,6-14,,
8:10.0,Offensive rebound by M. Morris,,6-14,,
8:06.0,B. Beal misses 3-pt shot from 22 ft,,6-14,,
8:06.0,Offensive rebound by M. Morris,,6-14,,
7:49.0,M. Gortat misses 2-pt shot from 12 ft,,6-14,,
7:45.0,,,6-14,,Defensive rebound by J. Jackson
7:41.0,,,6-14,,J. Jackson misses 2-pt shot from 1 ft
7:38.0,,,6-14,,Offensive rebound by T. Warren
7:37.0,,,6-16,2,T. Warren makes 2-pt shot from 1 ft
7:33.0,O. Porter makes 2-pt shot at rim (assist by B. Beal),2,8-16,,
7:09.0,,,8-19,3,J. Jackson makes 3-pt shot from 25 ft (assist by G. Monroe)
6:47.0,M. Morris misses 3-pt shot from 22 ft,,8-19,,
6:42.0,,,8-19,,Defensive rebound by G. Monroe
6:37.0,,,8-19,,Turnover by T. Ulis (traveling)
6:24.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,10-19,,
