time,LA Clippers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Jordan (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. D. Jordan (W. Chandler gains possession)
11:40.0,,,0-2,2,W. Barton makes 2-pt shot from 13 ft (assist by N. Jokic)
11:18.0,T. Harris misses 2-pt shot from 3 ft,,0-2,,
11:18.0,Offensive rebound by Team,,0-2,,
11:18.0,,,0-2,,Loose ball foul by N. Jokic (drawn by D. Jordan)
11:13.0,A. Rivers makes 3-pt shot from 24 ft,3,3-2,,
11:04.0,,,3-2,,Turnover by W. Barton (out of bounds lost ball)
10:47.0,T. Wallace makes 2-pt shot from 9 ft,2,5-2,,
10:35.0,,,5-2,,J. Murray misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by A. Rivers,,5-2,,
10:21.0,W. Johnson misses 3-pt shot from 23 ft,,5-2,,
10:18.0,,,5-2,,Defensive rebound by N. Jokic
10:12.0,,,5-2,,G. Harris misses 2-pt shot from 4 ft (block by A. Rivers)
10:12.0,Defensive rebound by A. Rivers,,5-2,,
10:12.0,,,5-2,,Personal foul by J. Murray (drawn by T. Wallace)
9:57.0,A. Rivers misses 3-pt shot from 22 ft,,5-2,,
9:52.0,,,5-2,,Defensive rebound by W. Chandler
9:49.0,,,5-2,,W. Chandler misses 2-pt shot from 2 ft (block by T. Harris)
9:46.0,,,5-2,,Offensive rebound by G. Harris
9:36.0,,,5-4,2,W. Chandler makes 2-pt shot from 1 ft
9:12.0,T. Harris misses 2-pt shot from 20 ft,,5-4,,
9:09.0,,,5-4,,Defensive rebound by J. Murray
9:03.0,,,5-4,,W. Chandler misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by T. Harris,,5-4,,
8:50.0,A. Rivers makes 2-pt shot from 1 ft,2,7-4,,
8:38.0,,,7-4,,Turnover by J. Murray (bad pass; steal by A. Rivers)
8:33.0,T. Wallace makes 2-pt shot at rim (assist by A. Rivers),2,9-4,,
8:33.0,,,9-4,,Denver full timeout
8:24.0,,,9-4,,Turnover by G. Harris (bad pass; steal by D. Jordan)
8:24.0,,,9-4,,Personal foul by G. Harris (drawn by A. Rivers)
8:12.0,T. Harris misses 3-pt shot from 23 ft,,9-4,,
8:10.0,Offensive rebound by D. Jordan,,9-4,,
8:08.0,Turnover by D. Jordan (bad pass; steal by J. Murray),,9-4,,
8:03.0,,,9-6,2,J. Murray makes 2-pt shot from 2 ft
7:39.0,T. Harris makes 3-pt shot from 25 ft,3,12-6,,
7:30.0,,,12-8,2,W. Barton makes 2-pt shot from 3 ft
7:09.0,T. Wallace makes 2-pt shot from 12 ft,2,14-8,,
6:54.0,,,14-11,3,G. Harris makes 3-pt shot from 22 ft (assist by W. Chandler)
6:35.0,,,14-11,,Loose ball foul by N. Jokic (drawn by D. Jordan)
6:35.0,,,14-11,,M. Plumlee enters the game for N. Jokic
6:27.0,D. Jordan makes 2-pt shot from 1 ft (assist by T. Harris),2,16-11,,
6:27.0,Shooting foul by M. Plumlee (drawn by D. Jordan),,16-11,,
6:27.0,L. Williams enters the game for W. Johnson,,16-11,,
6:27.0,D. Jordan misses free throw 1 of 1,,16-11,,
6:25.0,,,16-11,,Defensive rebound by W. Barton
6:14.0,,,16-13,2,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton)
5:57.0,,,16-13,,P. Millsap enters the game for W. Barton
5:52.0,A. Rivers misses 3-pt shot from 22 ft,,16-13,,
5:48.0,,,16-13,,Defensive rebound by M. Plumlee
5:31.0,,,16-16,3,W. Chandler makes 3-pt shot from 22 ft (assist by M. Plumlee)
5:19.0,T. Wallace misses 3-pt shot from 24 ft,,16-16,,
5:15.0,Offensive rebound by T. Harris,,16-16,,
5:08.0,T. Harris makes 2-pt shot from 17 ft,2,18-16,,
4:53.0,,,18-18,2,G. Harris makes 2-pt shot from 5 ft
4:43.0,L. Williams misses 2-pt shot from 15 ft,,18-18,,
4:42.0,Offensive rebound by L. Williams,,18-18,,
4:40.0,L. Williams makes 2-pt shot from 7 ft,2,20-18,,
4:24.0,,,20-18,,Turnover by W. Chandler (bad pass; steal by D. Jordan)
4:11.0,D. Jordan misses 2-pt shot from 3 ft,,20-18,,
4:11.0,,,20-18,,Defensive rebound by Team
4:11.0,Loose ball foul by T. Harris (drawn by M. Plumlee),,20-18,,
4:11.0,M. Teodosic enters the game for T. Wallace,,20-18,,
3:51.0,,,20-18,,P. Millsap misses 2-pt shot from 13 ft
3:48.0,,,20-18,,Offensive rebound by M. Plumlee
3:47.0,,,20-20,2,M. Plumlee makes 2-pt shot at rim
3:46.0,LA Clippers full timeout,,20-20,,
3:46.0,,,20-20,,D. Harris enters the game for W. Chandler
3:46.0,,,20-20,,W. Barton enters the game for J. Murray
3:46.0,W. Johnson enters the game for D. Jordan,,20-20,,
3:46.0,M. Harrell enters the game for A. Rivers,,20-20,,
3:32.0,T. Harris misses 3-pt shot from 25 ft,,20-20,,
3:30.0,,,20-20,,Defensive rebound by M. Plumlee
3:21.0,,,20-20,,Turnover by P. Millsap (bad pass)
