time,Golden State,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. Z. Pachulia (D. Wright gains possession),,,,Jump ball: J. Valanciunas vs. Z. Pachulia (D. Wright gains possession)
11:43.0,,,0-3,3,S. Ibaka makes 3-pt shot from 26 ft (assist by O. Anunoby)
11:27.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,2-3,,
11:09.0,,,2-5,2,D. Wright makes 2-pt shot from 2 ft
10:44.0,K. Thompson makes 2-pt shot from 13 ft,2,4-5,,
10:35.0,,,4-7,2,D. DeRozan makes 2-pt shot from 1 ft
10:19.0,D. Green makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,7-7,,
9:58.0,,,7-9,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
9:46.0,S. Curry misses 3-pt shot from 25 ft,,7-9,,
9:44.0,,,7-9,,Defensive rebound by S. Ibaka
9:33.0,,,7-9,,S. Ibaka misses 2-pt shot from 15 ft
9:31.0,Defensive rebound by D. Green,,7-9,,
9:20.0,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,10-9,,
9:03.0,Personal foul by Z. Pachulia (drawn by J. Valanciunas),,10-9,,
8:57.0,,,10-9,,Shooting foul by S. Curry (drawn by D. DeRozan)
8:57.0,,,10-10,1,D. DeRozan makes free throw 1 of 2
8:57.0,,,10-11,1,D. DeRozan makes free throw 2 of 2
8:44.0,Z. Pachulia makes 2-pt shot from 8 ft (assist by S. Curry),2,12-11,,
8:35.0,,,12-11,,D. Wright misses 2-pt shot from 5 ft
8:35.0,Defensive rebound by S. Curry,,12-11,,
8:28.0,D. Green makes 2-pt shot from 9 ft (assist by S. Curry),2,14-11,,
8:03.0,,,14-11,,Turnover by J. Valanciunas (lost ball; steal by S. Curry)
7:54.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Green),3,17-11,,
7:45.0,,,17-11,,Toronto full timeout
7:34.0,,,17-13,2,J. Valanciunas makes 2-pt shot from 8 ft (assist by D. DeRozan)
7:16.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,19-13,,
7:03.0,,,19-13,,O. Anunoby misses 3-pt shot from 25 ft
7:00.0,,,19-13,,Offensive rebound by D. Wright
6:53.0,,,19-16,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. Wright)
6:45.0,K. Thompson misses 3-pt shot from 25 ft,,19-16,,
6:42.0,,,19-16,,Defensive rebound by O. Anunoby
6:36.0,,,19-16,,D. DeRozan misses 2-pt shot from 22 ft
6:33.0,Defensive rebound by K. Durant,,19-16,,
6:29.0,K. Durant makes 2-pt shot from 9 ft,2,21-16,,
6:16.0,,,21-16,,D. DeRozan misses 2-pt shot from 7 ft
6:13.0,Defensive rebound by Z. Pachulia,,21-16,,
6:08.0,Z. Pachulia makes 2-pt shot from 2 ft,2,23-16,,
5:48.0,,,23-16,,J. Valanciunas misses 2-pt shot from 3 ft (block by D. Green)
5:48.0,,,23-16,,Offensive rebound by Team
5:40.0,,,23-16,,D. DeRozan misses 3-pt shot from 22 ft
5:36.0,,,23-16,,Offensive rebound by J. Valanciunas
5:34.0,,,23-18,2,D. DeRozan makes 2-pt shot from 1 ft
5:26.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,25-18,,
5:12.0,,,25-20,2,O. Anunoby makes 2-pt shot from 2 ft
5:03.0,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant),3,28-20,,
4:45.0,,,28-22,2,O. Anunoby makes 2-pt shot from 1 ft (assist by J. Valanciunas)
4:32.0,K. Thompson misses 2-pt shot from 20 ft,,28-22,,
4:29.0,,,28-22,,Defensive rebound by Team
4:29.0,P. McCaw enters the game for D. Green,,28-22,,
4:29.0,K. Looney enters the game for Z. Pachulia,,28-22,,
4:16.0,,,28-24,2,D. DeRozan makes 2-pt shot from 15 ft
3:58.0,S. Curry makes 2-pt shot from 14 ft,2,30-24,,
3:47.0,,,30-26,2,D. DeRozan makes 2-pt shot from 2 ft
3:31.0,Golden State full timeout,,30-26,,
3:31.0,,,30-26,,J. Poeltl enters the game for O. Anunoby
3:31.0,,,30-26,,F. VanVleet enters the game for J. Valanciunas
3:31.0,,,30-26,,C. Miles enters the game for D. Wright
3:31.0,A. Iguodala enters the game for K. Thompson,,30-26,,
3:28.0,S. Curry misses 3-pt shot from 25 ft,,30-26,,
3:24.0,,,30-26,,Defensive rebound by D. DeRozan
3:12.0,,,30-28,2,D. DeRozan makes 2-pt shot from 21 ft
2:57.0,P. McCaw misses 2-pt shot from 4 ft (block by J. Poeltl),,30-28,,
2:53.0,,,30-28,,Defensive rebound by J. Poeltl
2:48.0,,,30-28,,F. VanVleet misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by S. Curry,,30-28,,
2:43.0,,,30-28,,Shooting block foul by F. VanVleet (drawn by A. Iguodala)
2:43.0,A. Iguodala makes free throw 1 of 2,1,31-28,,
2:43.0,A. Iguodala makes free throw 2 of 2,1,32-28,,
2:30.0,,,32-30,2,D. DeRozan makes 2-pt shot from 16 ft
2:30.0,,,32-30,,Shooting foul by K. Looney (drawn by D. DeRozan)
2:30.0,,,32-30,,P. Siakam enters the game for S. Ibaka
2:30.0,,,32-31,1,D. DeRozan makes free throw 1 of 1
2:17.0,K. Looney makes 2-pt shot from 4 ft,2,34-31,,
2:07.0,Personal foul by S. Curry (drawn by F. VanVleet),,34-31,,
2:07.0,D. Green enters the game for S. Curry,,34-31,,
1:57.0,,,34-31,,D. DeRozan misses 3-pt shot from 23 ft
1:56.0,,,34-31,,Offensive rebound by D. DeRozan
1:54.0,,,34-31,,Shooting foul by A. Iguodala (drawn by D. DeRozan)
1:54.0,,,34-32,1,D. DeRozan makes free throw 1 of 2
1:54.0,,,34-33,1,D. DeRozan makes free throw 2 of 2
1:40.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,36-33,,
1:26.0,,,36-33,,D. DeRozan misses 2-pt shot from 16 ft
1:20.0,,,36-33,,Offensive rebound by J. Poeltl
1:20.0,,,36-33,,J. Poeltl misses 2-pt shot at rim
1:19.0,Defensive rebound by D. Green,,36-33,,
1:10.0,Shooting foul by J. Poeltl (drawn by D. Green),,36-33,,
1:10.0,D. Green makes free throw 1 of 2,1,37-33,,
1:10.0,D. Green makes free throw 2 of 2,1,38-33,,
0:58.0,,,38-33,,D. DeRozan misses 2-pt shot from 7 ft
0:56.0,,,38-33,,Offensive rebound by J. Poeltl
0:53.0,,,38-33,,C. Miles misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by K. Looney,,38-33,,
0:43.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,41-33,,
0:33.0,,,41-35,2,D. DeRozan makes 2-pt shot from 7 ft
0:30.0,K. Durant misses 3-pt shot from 25 ft,,41-35,,
0:30.0,,,41-35,,Defensive rebound by D. DeRozan
0:08.0,,,41-35,,D. DeRozan misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by K. Durant,,41-35,,
0:01.0,A. Iguodala makes 2-pt shot from 1 ft (assist by D. Green),2,43-35,,
0:00.0,,,43-35,,F. VanVleet misses 3-pt shot from 49 ft
0:00.0,,,43-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. West makes 2-pt shot from 1 ft (assist by D. Green),2,45-35,,
11:38.0,,,45-35,,Offensive foul by F. VanVleet (drawn by A. Iguodala)
11:38.0,,,45-35,,Turnover by F. VanVleet (offensive foul)
11:24.0,D. Green makes 2-pt shot from 1 ft (assist by D. West),2,47-35,,
11:14.0,,,47-37,2,F. VanVleet makes 2-pt shot from 2 ft (assist by P. Siakam)
11:04.0,D. West makes 2-pt shot from 3 ft (assist by S. Livingston),2,49-37,,
10:34.0,,,49-37,,C. Miles misses 2-pt shot from 8 ft
10:31.0,Defensive rebound by A. Iguodala,,49-37,,
10:26.0,S. Livingston misses 2-pt shot from 7 ft (block by P. Siakam),,49-37,,
10:21.0,Offensive rebound by S. Livingston,,49-37,,
10:19.0,K. Thompson misses 3-pt shot from 25 ft,,49-37,,
10:19.0,,,49-37,,Defensive rebound by P. Siakam
10:14.0,,,49-37,,C. Miles misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by Team,,49-37,,
9:57.0,K. Thompson makes 2-pt shot from 20 ft,2,51-37,,
9:42.0,,,51-37,,N. Powell misses 2-pt shot from 22 ft
9:40.0,Defensive rebound by S. Livingston,,51-37,,
9:29.0,S. Livingston makes 2-pt shot from 9 ft,2,53-37,,
9:23.0,,,53-37,,Toronto full timeout
9:23.0,,,53-37,,S. Ibaka enters the game for J. Poeltl
9:23.0,,,53-37,,L. Brown enters the game for F. VanVleet
9:18.0,,,53-37,,Turnover by P. Siakam (bad pass; steal by K. Thompson)
9:16.0,,,53-37,,Personal foul by N. Powell (drawn by K. Thompson)
9:08.0,D. Green misses 3-pt shot from 24 ft,,53-37,,
9:08.0,Offensive rebound by Team,,53-37,,
9:08.0,,,53-37,,Loose ball foul by P. Siakam (drawn by D. West)
9:01.0,Shooting foul by P. Siakam (drawn by D. West),,53-37,,
9:01.0,D. West makes free throw 1 of 2,1,54-37,,
9:01.0,D. West makes free throw 2 of 2,1,55-37,,
8:39.0,,,55-37,,Turnover by C. Miles (lost ball; steal by K. Thompson)
8:25.0,K. Thompson makes 2-pt shot from 12 ft,2,57-37,,
8:02.0,,,57-37,,S. Ibaka misses 2-pt shot from 13 ft
8:02.0,,,57-37,,Offensive rebound by P. Siakam
7:59.0,,,57-37,,P. Siakam misses 2-pt shot from 3 ft
7:59.0,Defensive rebound by S. Livingston,,57-37,,
7:40.0,S. Livingston makes 2-pt shot from 9 ft (assist by A. Iguodala),2,59-37,,
7:31.0,,,59-37,,C. Miles misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by Team,,59-37,,
7:31.0,,,59-37,,D. DeRozan enters the game for C. Miles
7:31.0,Golden State full timeout,,59-37,,
7:31.0,,,59-37,,J. Valanciunas enters the game for N. Powell
7:31.0,K. Looney enters the game for A. Iguodala,,59-37,,
7:31.0,P. McCaw enters the game for D. Green,,59-37,,
7:12.0,Turnover by D. West (bad pass; steal by P. Siakam),,59-37,,
7:07.0,,,59-39,2,D. DeRozan makes 2-pt shot from 2 ft (assist by P. Siakam)
6:51.0,Shooting foul by P. Siakam (drawn by K. Thompson),,59-39,,
6:51.0,K. Thompson makes free throw 1 of 2,1,60-39,,
6:51.0,,,60-39,,O. Anunoby enters the game for P. Siakam
6:51.0,K. Thompson makes free throw 2 of 2,1,61-39,,
6:40.0,,,61-42,3,S. Ibaka makes 3-pt shot from 25 ft (assist by L. Brown)
6:27.0,K. Thompson misses 3-pt shot from 27 ft,,61-42,,
6:25.0,,,61-42,,Defensive rebound by L. Brown
6:21.0,,,61-44,2,D. DeRozan makes 2-pt shot from 11 ft
6:10.0,S. Livingston makes 2-pt shot from 12 ft,2,63-44,,
5:58.0,,,63-46,2,L. Brown makes 2-pt shot from 3 ft
5:36.0,K. Thompson makes 2-pt shot from 15 ft,2,65-46,,
5:23.0,,,65-48,2,D. DeRozan makes 2-pt shot from 3 ft
5:00.0,D. West makes 2-pt shot from 16 ft (assist by P. McCaw),2,67-48,,
4:43.0,,,67-48,,Shooting foul by S. Livingston (drawn by O. Anunoby)
4:43.0,,,67-49,1,O. Anunoby makes free throw 1 of 2
4:43.0,,,67-49,,D. Wright enters the game for L. Brown
4:43.0,S. Curry enters the game for K. Thompson,,67-49,,
4:43.0,K. Durant enters the game for S. Livingston,,67-49,,
4:43.0,,,67-50,1,O. Anunoby makes free throw 2 of 2
4:25.0,Shooting foul by O. Anunoby (drawn by K. Durant),,67-50,,
4:25.0,K. Durant makes free throw 1 of 2,1,68-50,,
4:25.0,D. Green enters the game for D. West,,68-50,,
4:25.0,K. Durant makes free throw 2 of 2,1,69-50,,
4:07.0,,,69-50,,O. Anunoby misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by K. Durant,,69-50,,
3:52.0,S. Curry misses 3-pt shot from 25 ft,,69-50,,
3:49.0,,,69-50,,Defensive rebound by D. Wright
3:47.0,,,69-50,,Shooting foul by D. Green (drawn by O. Anunoby)
3:47.0,,,69-51,1,O. Anunoby makes free throw 1 of 2
3:47.0,,,69-52,1,O. Anunoby makes free throw 2 of 2
3:30.0,K. Durant misses 2-pt shot from 17 ft,,69-52,,
3:27.0,,,69-52,,Defensive rebound by S. Ibaka
3:21.0,,,69-52,,S. Ibaka misses 2-pt shot from 16 ft
3:18.0,Defensive rebound by K. Durant,,69-52,,
3:14.0,Shooting foul by S. Ibaka (drawn by S. Curry),,69-52,,
3:14.0,S. Curry makes free throw 1 of 2,1,70-52,,
3:14.0,S. Curry makes free throw 2 of 2,1,71-52,,
3:02.0,,,71-52,,Turnover by J. Valanciunas (bad pass; steal by P. McCaw)
2:54.0,K. Durant misses 2-pt shot from 2 ft,,71-52,,
2:53.0,,,71-52,,Defensive rebound by Team
2:53.0,K. Thompson enters the game for P. McCaw,,71-52,,
2:29.0,,,71-52,,Turnover by S. Ibaka (lost ball; steal by K. Looney)
2:24.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,73-52,,
2:04.0,,,73-52,,D. Wright misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by K. Thompson,,73-52,,
1:52.0,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry),2,75-52,,
1:43.0,,,75-52,,Toronto full timeout
1:43.0,,,75-52,,F. VanVleet enters the game for J. Valanciunas
1:33.0,,,75-52,,S. Ibaka misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by Team,,75-52,,
1:22.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,77-52,,
1:09.0,,,77-54,2,S. Ibaka makes 2-pt shot from 7 ft (assist by F. VanVleet)
0:57.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,79-54,,
0:37.0,Violation by K. Durant (kicked ball),,79-54,,
0:31.0,,,79-54,,S. Ibaka misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by K. Durant,,79-54,,
0:11.0,S. Curry makes 2-pt shot from 13 ft (assist by K. Durant),2,81-54,,
0:02.0,,,81-54,,D. DeRozan misses 2-pt shot from 9 ft
0:02.0,Defensive rebound by K. Looney,,81-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by S. Curry (bad pass),,81-54,,
11:35.0,,,81-54,,Shooting foul by Z. Pachulia (drawn by S. Ibaka)
11:35.0,,,81-55,1,S. Ibaka makes free throw 1 of 2
11:35.0,,,81-56,1,S. Ibaka makes free throw 2 of 2
11:22.0,D. Green misses 3-pt shot from 25 ft,,81-56,,
11:20.0,,,81-56,,Defensive rebound by O. Anunoby
11:04.0,,,81-58,2,D. DeRozan makes 2-pt shot from 7 ft
10:51.0,S. Curry misses 3-pt shot from 24 ft,,81-58,,
10:48.0,,,81-58,,Defensive rebound by J. Valanciunas
10:42.0,,,81-58,,J. Valanciunas misses 2-pt shot from 6 ft
10:42.0,Defensive rebound by Team,,81-58,,
10:37.0,,,81-58,,Personal foul by S. Ibaka (drawn by D. Green)
10:31.0,K. Thompson makes 2-pt shot from 6 ft,2,83-58,,
10:14.0,,,83-58,,D. Wright misses 2-pt shot from 2 ft
10:14.0,Defensive rebound by Team,,83-58,,
10:14.0,,,83-58,,Loose ball foul by D. Wright (drawn by D. Green)
10:02.0,S. Curry makes 2-pt shot from 16 ft,2,85-58,,
9:37.0,,,85-58,,Shooting foul by Z. Pachulia (drawn by O. Anunoby)
9:37.0,,,85-59,1,O. Anunoby makes free throw 1 of 2
9:37.0,,,85-60,1,O. Anunoby makes free throw 2 of 2
