time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Gasol (L. Ball gains possession),,,,Jump ball: B. Lopez vs. M. Gasol (L. Ball gains possession)
11:47.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Lopez)
11:20.0,J. Martin misses 3-pt shot from 26 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Caldwell-Pope
11:07.0,,,0-2,,B. Lopez misses 2-pt shot from 16 ft
11:04.0,Defensive rebound by J. Martin,,0-2,,
10:57.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,2-2,,
10:36.0,,,2-2,,B. Ingram misses 2-pt shot from 3 ft
10:32.0,Defensive rebound by D. Brooks,,2-2,,
10:28.0,M. Gasol misses 3-pt shot from 26 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by B. Ingram
10:16.0,,,2-2,,L. Ball misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by J. Ennis,,2-2,,
9:53.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,4-2,,
9:37.0,,,4-2,,K. Kuzma misses 3-pt shot from 26 ft
9:36.0,,,4-2,,Offensive rebound by Team
9:36.0,Loose ball foul by D. Brooks (drawn by B. Ingram),,4-2,,
9:23.0,,,4-4,2,B. Ingram makes 2-pt shot at rim
9:12.0,,,4-4,,Personal foul by B. Ingram (drawn by M. Gasol)
9:03.0,M. Gasol misses 3-pt shot from 25 ft,,4-4,,
8:58.0,,,4-4,,Defensive rebound by L. Ball
8:46.0,,,4-7,3,B. Lopez makes 3-pt shot from 23 ft (assist by L. Ball)
8:24.0,J. Ennis misses 3-pt shot from 26 ft,,4-7,,
8:19.0,Offensive rebound by J. Martin,,4-7,,
8:13.0,Turnover by D. Brooks (bad pass; steal by B. Lopez),,4-7,,
8:10.0,,,4-7,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by M. Gasol)
8:07.0,Defensive rebound by M. Gasol,,4-7,,
7:47.0,M. Gasol makes 2-pt shot from 6 ft,2,6-7,,
7:42.0,,,6-9,2,K. Kuzma makes 2-pt shot from 2 ft (assist by B. Lopez)
7:31.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,8-9,,
7:20.0,,,8-11,2,K. Kuzma makes 2-pt shot from 1 ft (assist by B. Lopez)
6:57.0,M. Conley makes 2-pt shot from 3 ft (assist by J. Martin),2,10-11,,
6:44.0,,,10-11,,K. Kuzma misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by J. Martin,,10-11,,
6:36.0,M. Conley makes 3-pt shot from 26 ft (assist by J. Martin),3,13-11,,
6:13.0,,,13-11,,B. Lopez misses 2-pt shot from 15 ft (block by J. Martin)
6:10.0,Defensive rebound by M. Gasol,,13-11,,
6:04.0,M. Conley misses 2-pt shot from 2 ft,,13-11,,
6:02.0,,,13-11,,Defensive rebound by K. Kuzma
5:58.0,,,13-11,,K. Caldwell-Pope misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by M. Gasol,,13-11,,
5:34.0,M. Gasol makes 2-pt shot from 14 ft,2,15-11,,
5:26.0,,,15-11,,LA Lakers full timeout
5:26.0,T. Evans enters the game for D. Brooks,,15-11,,
5:26.0,M. Chalmers enters the game for M. Conley,,15-11,,
5:18.0,,,15-11,,Shooting foul by J. Martin (drawn by K. Kuzma)
5:18.0,,,15-12,1,K. Kuzma makes free throw 1 of 2
5:18.0,,,15-12,,J. Randle enters the game for B. Lopez
5:18.0,,,15-13,1,K. Kuzma makes free throw 2 of 2
4:56.0,J. Ennis misses 3-pt shot from 26 ft,,15-13,,
4:53.0,,,15-13,,Defensive rebound by B. Ingram
4:47.0,,,15-15,2,B. Ingram makes 2-pt shot from 1 ft
4:24.0,M. Gasol misses 2-pt shot from 2 ft,,15-15,,
4:21.0,,,15-15,,Defensive rebound by J. Randle
4:15.0,,,15-15,,J. Clarkson enters the game for K. Kuzma
