time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. P. Gasol (K. Anderson gains possession),,,,Jump ball: A. Davis vs. P. Gasol (K. Anderson gains possession)
11:47.0,L. Aldridge misses 2-pt shot from 21 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Cousins
11:30.0,,,0-2,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday)
11:14.0,P. Gasol makes 3-pt shot from 23 ft (assist by L. Aldridge),3,3-2,,
11:02.0,,,3-2,,R. Rondo misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by P. Gasol,,3-2,,
10:42.0,P. Gasol misses 3-pt shot from 25 ft,,3-2,,
10:37.0,,,3-2,,Defensive rebound by A. Davis
10:20.0,,,3-2,,E. Moore misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by D. Green,,3-2,,
10:16.0,San Antonio full timeout,,3-2,,
10:03.0,L. Aldridge misses 2-pt shot from 15 ft,,3-2,,
10:02.0,Offensive rebound by K. Anderson,,3-2,,
10:02.0,K. Anderson misses 2-pt shot from 1 ft,,3-2,,
10:02.0,,,3-2,,Defensive rebound by D. Cousins
9:42.0,,,3-2,,D. Cousins misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by K. Anderson,,3-2,,
9:32.0,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson),2,5-2,,
9:13.0,,,5-2,,D. Cousins misses 2-pt shot from 7 ft (block by P. Gasol)
9:02.0,,,5-2,,Offensive rebound by D. Cousins
9:02.0,,,5-2,,J. Holiday misses 2-pt shot from 11 ft
8:59.0,Defensive rebound by K. Anderson,,5-2,,
8:57.0,L. Aldridge misses 2-pt shot from 18 ft,,5-2,,
8:57.0,,,5-2,,Defensive rebound by A. Davis
8:48.0,,,5-2,,J. Holiday misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by P. Mills,,5-2,,
8:34.0,K. Anderson makes 2-pt shot from 7 ft (assist by D. Green),2,7-2,,
8:16.0,,,7-2,,J. Holiday misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by P. Gasol,,7-2,,
8:05.0,P. Gasol makes 3-pt shot from 25 ft (assist by K. Anderson),3,10-2,,
8:02.0,,,10-2,,New Orleans full timeout
7:51.0,,,10-2,,Turnover by J. Holiday (bad pass; steal by D. Green)
7:47.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green),2,12-2,,
7:47.0,Shooting foul by J. Holiday (drawn by L. Aldridge),,12-2,,
7:47.0,L. Aldridge makes free throw 1 of 1,1,13-2,,
7:27.0,,,13-2,,R. Rondo misses 2-pt shot from 2 ft
7:26.0,,,13-2,,Offensive rebound by D. Cousins
7:26.0,,,13-2,,D. Cousins misses 2-pt shot at rim (block by P. Gasol)
7:26.0,,,13-2,,Offensive rebound by Team
7:14.0,,,13-2,,D. Cousins misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by P. Gasol,,13-2,,
6:59.0,L. Aldridge makes 2-pt shot from 15 ft,2,15-2,,
6:46.0,Personal foul by L. Aldridge (drawn by A. Davis),,15-2,,
6:37.0,,,15-2,,A. Davis misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by P. Gasol,,15-2,,
6:25.0,P. Mills makes 2-pt shot from 21 ft,2,17-2,,
