time,San Antonio,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: W. Cauley-Stein vs. P. Gasol (L. Aldridge gains possession)
11:44.0,T. Parker makes 2-pt shot from 8 ft,2,2-0,,
11:26.0,,,2-0,,Z. Randolph misses 3-pt shot from 25 ft
11:26.0,,,2-0,,Offensive rebound by W. Cauley-Stein
11:19.0,,,2-0,,M. Richardson misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by P. Gasol,,2-0,,
11:07.0,P. Gasol misses 2-pt shot from 21 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by D. Fox
10:51.0,,,2-2,2,B. Hield makes 2-pt shot from 16 ft
10:24.0,K. Anderson misses 3-pt shot from 22 ft,,2-2,,
10:19.0,,,2-2,,Defensive rebound by Z. Randolph
10:14.0,,,2-2,,B. Hield misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by P. Gasol,,2-2,,
9:57.0,B. Forbes misses 3-pt shot from 25 ft,,2-2,,
9:53.0,,,2-2,,Defensive rebound by W. Cauley-Stein
9:35.0,,,2-2,,M. Richardson misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by P. Gasol,,2-2,,
9:23.0,T. Parker misses 2-pt shot from 21 ft,,2-2,,
9:20.0,,,2-2,,Defensive rebound by W. Cauley-Stein
9:11.0,,,2-4,2,D. Fox makes 2-pt shot from 2 ft
9:05.0,Shooting foul by Z. Randolph (drawn by T. Parker),,2-4,,
9:05.0,T. Parker misses free throw 1 of 2,,2-4,,
9:05.0,Offensive rebound by Team,,2-4,,
9:05.0,T. Parker makes free throw 2 of 2,1,3-4,,
8:50.0,,,3-4,,W. Cauley-Stein misses 2-pt shot from 18 ft
8:46.0,Defensive rebound by L. Aldridge,,3-4,,
8:40.0,T. Parker misses 2-pt shot from 17 ft,,3-4,,
8:37.0,,,3-4,,Defensive rebound by W. Cauley-Stein
8:24.0,,,3-6,2,W. Cauley-Stein makes 2-pt shot from 12 ft
7:59.0,K. Anderson misses 2-pt shot from 5 ft,,3-6,,
7:56.0,,,3-6,,Defensive rebound by D. Fox
