time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. J. Nurkic (A. Aminu gains possession),,,,Jump ball: W. Cauley-Stein vs. J. Nurkic (A. Aminu gains possession)
11:44.0,D. Lillard misses 2-pt shot from 16 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Jackson
11:23.0,,,0-0,,Z. Randolph misses 2-pt shot from 16 ft
11:20.0,,,0-0,,Offensive rebound by B. Bogdanovic
11:13.0,,,0-2,2,D. Fox makes 2-pt shot from 5 ft (assist by J. Jackson)
10:51.0,M. Harkless makes 2-pt shot from 5 ft,2,2-2,,
10:39.0,,,2-4,2,W. Cauley-Stein makes 2-pt shot from 20 ft (assist by D. Fox)
10:17.0,J. Nurkic misses 2-pt shot from 2 ft,,2-4,,
10:14.0,,,2-4,,Defensive rebound by Z. Randolph
10:05.0,,,2-6,2,B. Bogdanovic makes 2-pt shot from 19 ft (assist by W. Cauley-Stein)
9:50.0,,,2-6,,Def 3 sec tech foul by W. Cauley-Stein
9:50.0,D. Lillard makes technical free throw,1,3-6,,
9:50.0,Offensive foul by C. McCollum (drawn by B. Bogdanovic),,3-6,,
9:50.0,Turnover by C. McCollum (offensive foul),,3-6,,
9:30.0,,,3-6,,Turnover by B. Bogdanovic (bad pass; steal by A. Aminu)
9:27.0,A. Aminu makes 2-pt shot from 1 ft,2,5-6,,
9:05.0,,,5-6,,Turnover by J. Jackson (bad pass; steal by M. Harkless)
8:54.0,A. Aminu makes 3-pt shot from 23 ft (assist by M. Harkless),3,8-6,,
8:43.0,Personal foul by D. Lillard (drawn by D. Fox),,8-6,,
8:30.0,,,8-9,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by Z. Randolph)
8:16.0,D. Lillard makes 3-pt shot from 27 ft,3,11-9,,
7:59.0,,,11-11,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by D. Fox)
7:42.0,D. Lillard misses 2-pt shot from 3 ft (block by B. Bogdanovic),,11-11,,
7:42.0,Offensive rebound by Team,,11-11,,
7:40.0,C. McCollum misses 2-pt shot from 14 ft,,11-11,,
7:36.0,,,11-11,,Defensive rebound by Z. Randolph
7:30.0,,,11-11,,J. Jackson misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by C. McCollum,,11-11,,
7:19.0,Turnover by C. McCollum (bad pass; steal by W. Cauley-Stein),,11-11,,
7:14.0,,,11-13,2,J. Jackson makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
6:57.0,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard),3,14-13,,
6:35.0,,,14-13,,W. Cauley-Stein misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by J. Nurkic,,14-13,,
6:19.0,J. Nurkic misses 2-pt shot from 6 ft,,14-13,,
6:17.0,,,14-13,,Defensive rebound by D. Fox
6:12.0,,,14-16,3,Z. Randolph makes 3-pt shot from 26 ft (assist by J. Jackson)
5:57.0,C. McCollum misses 3-pt shot from 25 ft,,14-16,,
5:54.0,,,14-16,,Defensive rebound by Z. Randolph
5:44.0,,,14-16,,W. Cauley-Stein misses 2-pt shot from 2 ft
5:40.0,Defensive rebound by J. Nurkic,,14-16,,
5:38.0,C. McCollum makes 3-pt shot from 24 ft,3,17-16,,
5:20.0,,,17-16,,Z. Randolph misses 2-pt shot from 2 ft
5:16.0,,,17-16,,Offensive rebound by Z. Randolph
5:16.0,,,17-18,2,Z. Randolph makes 2-pt shot at rim
5:07.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,19-18,,
4:50.0,,,19-18,,B. Bogdanovic misses 2-pt shot from 17 ft (block by C. McCollum)
4:50.0,,,19-18,,Offensive rebound by Team
4:50.0,,,19-18,,Sacramento full timeout
4:50.0,E. Turner enters the game for M. Harkless,,19-18,,
4:50.0,P. Connaughton enters the game for C. McCollum,,19-18,,
4:42.0,,,19-18,,B. Bogdanovic misses 2-pt shot from 20 ft
4:38.0,Defensive rebound by J. Nurkic,,19-18,,
4:33.0,,,19-18,,Personal foul by Z. Randolph (drawn by J. Nurkic)
4:25.0,D. Lillard makes 3-pt shot from 25 ft,3,22-18,,
4:06.0,,,22-20,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by D. Fox)
4:06.0,,,22-20,,Shooting foul by P. Connaughton (drawn by B. Bogdanovic)
4:06.0,,,22-21,1,B. Bogdanovic makes free throw 1 of 1
3:53.0,D. Lillard makes 3-pt shot from 25 ft (assist by J. Nurkic),3,25-21,,
3:35.0,,,25-23,2,W. Cauley-Stein makes 2-pt shot from 8 ft
3:11.0,A. Aminu misses 2-pt shot from 4 ft,,25-23,,
3:09.0,Offensive rebound by J. Nurkic,,25-23,,
3:07.0,J. Nurkic misses 2-pt shot from 1 ft,,25-23,,
3:07.0,,,25-23,,Defensive rebound by D. Fox
3:00.0,,,25-23,,J. Jackson misses 2-pt shot at rim
2:59.0,,,25-23,,Offensive rebound by J. Jackson
2:59.0,,,25-25,2,J. Jackson makes 2-pt shot at rim
2:59.0,,,25-25,,Shooting foul by P. Connaughton (drawn by J. Jackson)
2:59.0,Portland full timeout,,25-25,,
2:59.0,,,25-25,,G. Temple enters the game for D. Fox
2:59.0,,,25-25,,V. Carter enters the game for Z. Randolph
2:59.0,Z. Collins enters the game for A. Aminu,,25-25,,
2:59.0,E. Davis enters the game for J. Nurkic,,25-25,,
2:59.0,,,25-25,,J. Jackson misses free throw 1 of 1
2:56.0,Defensive rebound by E. Davis,,25-25,,
2:42.0,Z. Collins misses 3-pt shot from 23 ft,,25-25,,
2:37.0,Offensive rebound by E. Davis,,25-25,,
2:35.0,D. Lillard misses 3-pt shot from 25 ft,,25-25,,
2:35.0,Offensive rebound by E. Davis,,25-25,,
2:21.0,E. Turner misses 2-pt shot from 10 ft,,25-25,,
2:18.0,,,25-25,,Defensive rebound by B. Bogdanovic
2:04.0,,,25-27,2,B. Bogdanovic makes 2-pt shot from 5 ft
1:50.0,Shooting foul by G. Temple (drawn by D. Lillard),,25-27,,
1:50.0,D. Lillard makes free throw 1 of 2,1,26-27,,
1:50.0,D. Lillard makes free throw 2 of 2,1,27-27,,
1:37.0,,,27-27,,B. Bogdanovic misses 2-pt shot from 2 ft
1:37.0,,,27-27,,Offensive rebound by W. Cauley-Stein
1:36.0,,,27-29,2,W. Cauley-Stein makes 2-pt shot at rim
1:19.0,D. Lillard makes 2-pt shot from 22 ft,2,29-29,,
1:10.0,,,29-29,,B. Bogdanovic misses 2-pt shot from 2 ft
1:05.0,,,29-29,,Offensive rebound by W. Cauley-Stein
1:05.0,,,29-29,,W. Cauley-Stein misses 2-pt shot at rim
1:05.0,Defensive rebound by Z. Collins,,29-29,,
0:59.0,E. Turner misses 3-pt shot from 23 ft,,29-29,,
0:56.0,,,29-29,,Defensive rebound by G. Temple
0:52.0,,,29-29,,J. Jackson misses 2-pt shot at rim
0:51.0,,,29-29,,Offensive rebound by J. Jackson
0:51.0,,,29-31,2,J. Jackson makes 2-pt shot at rim
0:31.0,Shooting foul by V. Carter (drawn by Z. Collins),,29-31,,
0:31.0,Z. Collins makes free throw 1 of 2,1,30-31,,
0:31.0,,,30-31,,B. Hield enters the game for W. Cauley-Stein
0:31.0,,,30-31,,K. Koufos enters the game for J. Jackson
0:31.0,Z. Collins makes free throw 2 of 2,1,31-31,,
0:17.0,,,31-31,,B. Bogdanovic misses 2-pt shot from 17 ft
0:14.0,Defensive rebound by E. Turner,,31-31,,
0:00.0,E. Turner makes 2-pt shot from 11 ft,2,33-31,,
0:00.0,,,33-31,,B. Bogdanovic misses 3-pt shot from 68 ft
0:00.0,,,33-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,33-31,,G. Temple misses 2-pt shot from 19 ft
