time,Boston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. A. Horford (K. Irving gains possession),,,,Jump ball: M. Kleber vs. A. Horford (K. Irving gains possession)
11:47.0,Turnover by A. Horford (out of bounds lost ball),,0-0,,
11:23.0,,,0-2,2,D. Smith makes 2-pt shot from 2 ft
11:07.0,K. Irving makes 2-pt shot from 7 ft (assist by M. Morris),2,2-2,,
10:52.0,,,2-2,,D. Nowitzki misses 2-pt shot from 21 ft
10:51.0,Defensive rebound by J. Brown,,2-2,,
10:51.0,,,2-2,,Loose ball foul by M. Kleber (drawn by J. Brown)
10:37.0,J. Tatum misses 3-pt shot from 25 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by W. Matthews
10:28.0,Violation by M. Morris (kicked ball),,2-2,,
10:17.0,,,2-4,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by D. Smith)
10:01.0,J. Brown misses 3-pt shot from 23 ft,,2-4,,
9:58.0,,,2-4,,Defensive rebound by D. Smith
9:53.0,,,2-6,2,D. Smith makes 2-pt shot from 16 ft
9:38.0,M. Morris misses 2-pt shot from 2 ft,,2-6,,
9:36.0,,,2-6,,Defensive rebound by D. Nowitzki
9:30.0,,,2-8,2,D. Smith makes 2-pt shot from 15 ft
9:15.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,4-8,,
8:54.0,,,4-8,,Shooting foul by J. Tatum (drawn by W. Matthews)
8:54.0,,,4-8,,W. Matthews misses free throw 1 of 2
8:54.0,,,4-8,,Offensive rebound by Team
8:54.0,,,4-9,1,W. Matthews makes free throw 2 of 2
8:42.0,M. Morris makes 2-pt shot from 19 ft,2,6-9,,
8:20.0,,,6-9,,D. Smith misses 2-pt shot from 2 ft
8:18.0,,,6-9,,Offensive rebound by D. Smith
8:18.0,,,6-9,,W. Matthews misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by M. Morris,,6-9,,
8:13.0,K. Irving makes 2-pt shot from 1 ft,2,8-9,,
7:55.0,,,8-11,2,H. Barnes makes 2-pt shot from 1 ft
7:44.0,K. Irving makes 2-pt shot from 19 ft,2,10-11,,
7:44.0,Shooting foul by D. Smith (drawn by K. Irving),,10-11,,
7:44.0,K. Irving makes free throw 1 of 1,1,11-11,,
7:26.0,,,11-11,,D. Smith misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by J. Brown,,11-11,,
7:20.0,J. Brown makes 2-pt shot from 18 ft,2,13-11,,
7:17.0,,,13-11,,Dallas full timeout
7:17.0,,,13-11,,Y. Ferrell enters the game for D. Nowitzki
6:58.0,,,13-11,,H. Barnes misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by J. Brown,,13-11,,
6:49.0,M. Morris misses 3-pt shot from 25 ft,,13-11,,
6:46.0,,,13-11,,Defensive rebound by W. Matthews
6:39.0,,,13-11,,D. Smith misses 2-pt shot from 2 ft (block by J. Tatum)
6:36.0,Defensive rebound by J. Tatum,,13-11,,
6:21.0,K. Irving makes 3-pt shot from 29 ft (assist by A. Horford),3,16-11,,
5:55.0,,,16-11,,D. Smith misses 2-pt shot from 12 ft
5:52.0,Defensive rebound by A. Horford,,16-11,,
5:47.0,J. Brown makes 3-pt shot from 22 ft (assist by K. Irving),3,19-11,,
