time,Portland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Nurkic (K. Walker gains possession),,,,Jump ball: D. Howard vs. J. Nurkic (K. Walker gains possession)
11:32.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 21 ft
11:32.0,,,0-0,,Offensive rebound by Team
11:32.0,,,0-0,,Turnover by Team (shot clock)
11:20.0,C. McCollum makes 2-pt shot from 19 ft (assist by D. Lillard),2,2-0,,
10:59.0,,,2-0,,D. Howard misses 2-pt shot from 17 ft
10:56.0,Defensive rebound by J. Nurkic,,2-0,,
10:50.0,D. Lillard misses 2-pt shot from 19 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by N. Batum
10:38.0,,,2-2,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
10:15.0,E. Turner misses 2-pt shot from 13 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by M. Kidd-Gilchrist
10:08.0,,,2-2,,K. Walker misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by Team,,2-2,,
9:53.0,C. McCollum makes 2-pt shot from 17 ft (assist by D. Lillard),2,4-2,,
9:41.0,,,4-2,,M. Williams misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by E. Turner,,4-2,,
9:32.0,Shooting foul by D. Howard (drawn by J. Nurkic),,4-2,,
9:32.0,J. Nurkic makes free throw 1 of 2,1,5-2,,
9:32.0,J. Nurkic makes free throw 2 of 2,1,6-2,,
9:18.0,,,6-2,,Shooting foul by C. McCollum (drawn by M. Kidd-Gilchrist)
9:18.0,,,6-2,,M. Kidd-Gilchrist misses free throw 1 of 2
9:18.0,,,6-2,,Offensive rebound by Team
9:18.0,,,6-3,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:06.0,J. Nurkic misses 2-pt shot from 4 ft,,6-3,,
9:05.0,,,6-3,,Defensive rebound by M. Kidd-Gilchrist
8:44.0,,,6-3,,K. Walker misses 2-pt shot from 18 ft
8:42.0,Defensive rebound by D. Lillard,,6-3,,
8:35.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard),2,8-3,,
8:35.0,,,8-3,,Charlotte full timeout
8:14.0,,,8-6,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
7:55.0,Turnover by A. Aminu (lost ball; steal by D. Howard),,8-6,,
7:47.0,,,8-8,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
7:30.0,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard),2,10-8,,
7:30.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Nurkic),,10-8,,
7:30.0,J. Nurkic misses free throw 1 of 1,,10-8,,
7:25.0,,,10-8,,Defensive rebound by M. Williams
7:19.0,,,10-10,2,K. Walker makes 2-pt shot at rim
7:09.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,13-10,,
7:04.0,,,13-10,,Offensive foul by D. Howard (drawn by J. Nurkic)
7:04.0,,,13-10,,Turnover by D. Howard (offensive foul)
7:04.0,,,13-10,,J. Lamb enters the game for N. Batum
6:44.0,D. Lillard makes 2-pt shot from 14 ft (assist by E. Turner),2,15-10,,
