time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. S. Adams (B. Ingram gains possession),,,,Jump ball: B. Lopez vs. S. Adams (B. Ingram gains possession)
11:39.0,,,0-0,,J. Randle misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by R. Felton,,0-0,,
11:21.0,P. George makes 3-pt shot from 24 ft (assist by P. Patterson),3,3-0,,
11:10.0,Violation by P. Patterson (kicked ball),,3-0,,
11:02.0,,,3-0,,J. Hart misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by J. Huestis,,3-0,,
10:40.0,R. Felton makes 3-pt shot from 25 ft,3,6-0,,
10:17.0,,,6-2,2,B. Ingram makes 2-pt shot from 1 ft
9:58.0,R. Felton misses 2-pt shot from 14 ft,,6-2,,
9:53.0,,,6-2,,Defensive rebound by J. Hart
9:31.0,,,6-4,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Hart)
9:16.0,P. George makes 2-pt shot from 1 ft (assist by S. Adams),2,8-4,,
9:01.0,,,8-4,,B. Ingram misses 2-pt shot from 21 ft
8:56.0,Defensive rebound by P. George,,8-4,,
8:53.0,P. George makes 3-pt shot from 25 ft,3,11-4,,
8:52.0,,,11-4,,LA Lakers full timeout
8:34.0,,,11-4,,K. Caldwell-Pope misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by P. George,,11-4,,
8:24.0,P. George makes 2-pt shot from 21 ft,2,13-4,,
8:04.0,,,13-6,2,J. Randle makes 2-pt shot from 3 ft
7:44.0,P. George makes 2-pt shot from 21 ft,2,15-6,,
7:25.0,,,15-6,,Turnover by J. Hart (bad pass; steal by R. Felton)
7:20.0,R. Felton makes 2-pt shot from 1 ft,2,17-6,,
7:09.0,,,17-8,2,J. Randle makes 2-pt shot at rim (assist by B. Ingram)
6:49.0,J. Huestis misses 2-pt shot from 1 ft,,17-8,,
6:45.0,Offensive rebound by S. Adams,,17-8,,
6:44.0,S. Adams makes 2-pt shot from 2 ft,2,19-8,,
6:34.0,Def 3 sec tech foul by R. Felton,,19-8,,
6:34.0,,,19-9,1,K. Caldwell-Pope makes technical free throw
6:34.0,,,19-9,,C. Brewer enters the game for K. Caldwell-Pope
6:26.0,,,19-9,,B. Lopez misses 3-pt shot from 25 ft
