time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. A. Davis (K. Thompson gains possession),,,,Jump ball: K. Durant vs. A. Davis (K. Thompson gains possession)
11:33.0,,,0-0,,Turnover by K. Durant (lost ball; steal by J. Holiday)
11:27.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,2-0,,
11:05.0,,,2-0,,K. Thompson misses 2-pt shot from 11 ft
11:03.0,Defensive rebound by J. Holiday,,2-0,,
10:58.0,A. Davis misses 2-pt shot from 9 ft,,2-0,,
10:51.0,,,2-0,,Defensive rebound by D. Green
10:42.0,,,2-2,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Durant)
10:35.0,J. Holiday misses 2-pt shot from 10 ft (block by K. Durant),,2-2,,
10:33.0,,,2-2,,Defensive rebound by N. Young
10:29.0,,,2-5,3,K. Durant makes 3-pt shot from 27 ft (assist by N. Young)
10:21.0,R. Rondo makes 3-pt shot from 23 ft (assist by J. Holiday),3,5-5,,
10:06.0,,,5-5,,K. Thompson misses 3-pt shot from 29 ft
10:03.0,Defensive rebound by J. Holiday,,5-5,,
9:52.0,N. Mirotic misses 3-pt shot from 24 ft,,5-5,,
9:49.0,,,5-5,,Defensive rebound by D. Green
9:46.0,,,5-5,,N. Young misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by A. Davis,,5-5,,
9:36.0,A. Davis misses 3-pt shot from 26 ft,,5-5,,
9:35.0,,,5-5,,Defensive rebound by A. Iguodala
9:28.0,,,5-5,,Turnover by A. Iguodala (bad pass; steal by A. Davis)
9:25.0,Turnover by R. Rondo (bad pass; steal by A. Iguodala),,5-5,,
9:20.0,,,5-5,,Turnover by D. Green (turnover)
9:12.0,,,5-5,,Violation by D. Green (kicked ball)
9:03.0,J. Holiday makes 2-pt shot from 4 ft (assist by R. Rondo),2,7-5,,
8:52.0,,,7-5,,Shooting foul by N. Mirotic (drawn by D. Green)
8:52.0,,,7-5,,D. Green misses free throw 1 of 2
8:52.0,,,7-5,,Offensive rebound by Team
8:52.0,,,7-6,1,D. Green makes free throw 2 of 2
8:35.0,A. Davis misses 2-pt shot from 7 ft,,7-6,,
8:34.0,,,7-6,,Defensive rebound by A. Iguodala
8:26.0,,,7-6,,K. Durant misses 2-pt shot from 13 ft
8:25.0,Defensive rebound by A. Davis,,7-6,,
8:20.0,R. Rondo makes 2-pt shot from 1 ft,2,9-6,,
8:05.0,,,9-6,,Turnover by N. Young (traveling)
7:56.0,J. Holiday misses 3-pt shot from 25 ft,,9-6,,
7:55.0,,,9-6,,Defensive rebound by A. Iguodala
7:38.0,,,9-6,,D. Green misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by N. Mirotic,,9-6,,
7:17.0,A. Davis misses 2-pt shot from 7 ft,,9-6,,
