time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. C. Capela (S. Curry gains possession),,,,Jump ball: K. Durant vs. C. Capela (S. Curry gains possession)
11:41.0,,,0-2,2,K. Thompson makes 2-pt shot from 18 ft
11:20.0,Turnover by C. Capela (lost ball; steal by S. Curry),,0-2,,
11:11.0,,,0-5,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
10:43.0,T. Ariza misses 2-pt shot from 9 ft,,0-5,,
10:42.0,,,0-5,,Defensive rebound by D. Green
10:37.0,,,0-5,,Turnover by D. Green (bad pass)
10:22.0,J. Harden misses 2-pt shot from 12 ft,,0-5,,
10:18.0,,,0-5,,Defensive rebound by S. Curry
10:15.0,,,0-5,,K. Thompson misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by C. Capela,,0-5,,
10:00.0,C. Capela misses 2-pt shot from 1 ft,,0-5,,
9:56.0,,,0-5,,Defensive rebound by K. Durant
9:51.0,,,0-5,,K. Looney misses 2-pt shot at rim (block by J. Harden)
9:50.0,,,0-5,,Offensive rebound by K. Looney
9:49.0,,,0-7,2,K. Looney makes 2-pt shot from 2 ft
9:37.0,C. Paul misses 3-pt shot from 25 ft,,0-7,,
9:36.0,,,0-7,,Defensive rebound by K. Durant
9:30.0,,,0-7,,K. Durant misses 3-pt shot from 27 ft
9:29.0,Defensive rebound by C. Capela,,0-7,,
9:17.0,P. Tucker misses 2-pt shot from 7 ft,,0-7,,
9:16.0,,,0-7,,Defensive rebound by D. Green
9:06.0,Personal foul by T. Ariza (drawn by S. Curry),,0-7,,
8:58.0,,,0-7,,Offensive foul by S. Curry (drawn by C. Paul)
8:58.0,,,0-7,,Turnover by S. Curry (offensive foul)
8:37.0,J. Harden misses 2-pt shot from 5 ft,,0-7,,
8:36.0,,,0-7,,Defensive rebound by Team
8:19.0,Personal foul by T. Ariza (drawn by S. Curry),,0-7,,
8:04.0,,,0-7,,S. Curry misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by C. Capela,,0-7,,
7:55.0,,,0-7,,Violation by K. Looney (kicked ball)
7:44.0,Turnover by C. Capela (step out of bounds),,0-7,,
7:35.0,,,0-9,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
7:30.0,T. Ariza misses 3-pt shot from 26 ft,,0-9,,
7:29.0,,,0-9,,Defensive rebound by D. Green
7:07.0,,,0-12,3,K. Durant makes 3-pt shot from 27 ft
7:06.0,Houston full timeout,,0-12,,
7:06.0,E. Gordon enters the game for C. Capela,,0-12,,
6:55.0,C. Paul misses 2-pt shot from 11 ft,,0-12,,
6:54.0,,,0-12,,Defensive rebound by S. Curry
6:47.0,,,0-12,,Turnover by S. Curry (bad pass; steal by P. Tucker)
6:42.0,J. Harden makes 2-pt shot from 1 ft (assist by P. Tucker),2,2-12,,
6:42.0,,,2-12,,Golden State full timeout
6:18.0,,,2-12,,K. Durant misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by P. Tucker,,2-12,,
5:58.0,J. Harden makes 2-pt shot from 5 ft,2,4-12,,
5:38.0,,,4-12,,K. Durant misses 2-pt shot from 16 ft
5:33.0,Defensive rebound by T. Ariza,,4-12,,
5:22.0,Turnover by T. Ariza (bad pass; steal by D. Green),,4-12,,
5:16.0,,,4-14,2,D. Green makes 2-pt shot from 3 ft
4:59.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,7-14,,
4:34.0,,,7-14,,K. Durant misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by J. Harden,,7-14,,
4:28.0,E. Gordon misses 3-pt shot from 25 ft,,7-14,,
4:26.0,,,7-14,,Defensive rebound by D. Green
4:23.0,,,7-14,,Turnover by D. Green (lost ball; steal by J. Harden)
4:01.0,P. Tucker misses 3-pt shot from 23 ft,,7-14,,
3:59.0,,,7-14,,Defensive rebound by S. Curry
3:42.0,,,7-16,2,K. Durant makes 2-pt shot from 9 ft
3:34.0,C. Paul misses 3-pt shot from 27 ft,,7-16,,
3:33.0,,,7-16,,Defensive rebound by K. Durant
3:24.0,,,7-18,2,S. Curry makes 2-pt shot from 4 ft
3:24.0,,,7-18,,Shooting foul by E. Gordon (drawn by S. Curry)
3:24.0,,,7-18,,J. Bell enters the game for K. Looney
3:24.0,G. Green enters the game for C. Paul,,7-18,,
3:24.0,C. Capela enters the game for P. Tucker,,7-18,,
3:24.0,,,7-19,1,S. Curry makes free throw 1 of 1
3:10.0,J. Harden makes 3-pt shot from 26 ft,3,10-19,,
2:48.0,,,10-21,2,D. Green makes 2-pt shot from 1 ft (assist by K. Durant)
2:36.0,J. Harden makes 2-pt shot from 4 ft,2,12-21,,
2:36.0,,,12-21,,Violation by J. Bell (def goaltending)
2:36.0,,,12-21,,Golden State full timeout
2:36.0,,,12-21,,K. Looney enters the game for K. Thompson
2:36.0,,,12-21,,N. Young enters the game for D. Green
2:36.0,,,12-21,,S. Livingston enters the game for S. Curry
