time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. H. Whiteside (K. Olynyk gains possession),,,,Jump ball: D. Sabonis vs. H. Whiteside (K. Olynyk gains possession)
11:35.0,J. Richardson misses 2-pt shot from 21 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by B. Bogdanovic
11:15.0,,,0-2,2,B. Bogdanovic makes 2-pt shot from 11 ft
11:02.0,H. Whiteside misses 2-pt shot from 7 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by D. Sabonis
10:53.0,,,0-4,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
10:53.0,,,0-4,,Shooting foul by H. Whiteside (drawn by D. Sabonis)
10:53.0,,,0-5,1,D. Sabonis makes free throw 1 of 1
10:35.0,D. Jones misses 2-pt shot from 11 ft,,0-5,,
10:33.0,Offensive rebound by D. Jones,,0-5,,
10:32.0,D. Jones makes 2-pt shot from 6 ft,2,2-5,,
10:14.0,,,2-5,,Turnover by B. Bogdanovic (bad pass; steal by G. Dragic)
10:12.0,D. Jones makes 2-pt shot at rim (assist by G. Dragic),2,4-5,,
10:12.0,Shooting foul by B. Bogdanovic (drawn by D. Jones),,4-5,,
10:12.0,D. Jones misses free throw 1 of 1,,4-5,,
10:10.0,,,4-5,,Defensive rebound by Team
9:58.0,,,4-5,,V. Oladipo misses 3-pt shot from 27 ft (block by D. Jones)
9:55.0,Defensive rebound by K. Olynyk,,4-5,,
9:54.0,D. Jones makes 2-pt shot at rim (assist by K. Olynyk),2,6-5,,
9:48.0,,,6-6,1,D. Collison makes technical free throw
9:41.0,,,6-6,,Turnover by T. Young (lost ball; steal by D. Jones)
9:28.0,G. Dragic makes 2-pt shot from 12 ft,2,8-6,,
9:08.0,,,8-8,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
8:54.0,K. Olynyk makes 3-pt shot from 27 ft (assist by J. Richardson),3,11-8,,
8:29.0,,,11-10,2,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison)
8:17.0,G. Dragic misses 3-pt shot from 30 ft,,11-10,,
8:14.0,,,11-10,,Defensive rebound by V. Oladipo
8:12.0,,,11-10,,Shooting foul by G. Dragic (drawn by V. Oladipo)
8:12.0,,,11-10,,V. Oladipo misses free throw 1 of 2
8:12.0,,,11-10,,Offensive rebound by Team
8:12.0,,,11-11,1,V. Oladipo makes free throw 2 of 2
7:55.0,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic),3,14-11,,
7:37.0,,,14-13,2,B. Bogdanovic makes 2-pt shot from 14 ft
7:29.0,,,14-13,,Personal foul by D. Collison (drawn by G. Dragic)
7:15.0,H. Whiteside makes 2-pt shot from 13 ft,2,16-13,,
6:58.0,,,16-13,,V. Oladipo misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by H. Whiteside,,16-13,,
6:46.0,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic),3,19-13,,
6:32.0,,,19-13,,D. Collison misses 2-pt shot from 18 ft
6:30.0,Defensive rebound by H. Whiteside,,19-13,,
6:24.0,G. Dragic makes 2-pt shot from 12 ft,2,21-13,,
6:11.0,,,21-13,,Indiana full timeout
6:11.0,,,21-13,,A. Jefferson enters the game for D. Sabonis
6:11.0,W. Ellington enters the game for J. Richardson,,21-13,,
6:03.0,,,21-13,,T. Young misses 2-pt shot at rim (block by H. Whiteside)
6:03.0,,,21-13,,Offensive rebound by Team
5:52.0,,,21-13,,Turnover by A. Jefferson (out of bounds lost ball)
5:35.0,H. Whiteside makes 2-pt shot from 7 ft,2,23-13,,
5:17.0,,,23-15,2,V. Oladipo makes 2-pt shot from 1 ft
5:03.0,W. Ellington misses 3-pt shot from 26 ft,,23-15,,
5:02.0,,,23-15,,Defensive rebound by Team
5:02.0,,,23-15,,C. Joseph enters the game for B. Bogdanovic
4:46.0,,,23-15,,V. Oladipo misses 2-pt shot at rim
4:43.0,Defensive rebound by G. Dragic,,23-15,,
4:40.0,Shooting foul by D. Collison (drawn by G. Dragic),,23-15,,
4:40.0,G. Dragic misses free throw 1 of 2,,23-15,,
4:40.0,Offensive rebound by Team,,23-15,,
4:40.0,,,23-15,,J. Young enters the game for D. Collison
4:40.0,B. Adebayo enters the game for K. Olynyk,,23-15,,
4:40.0,G. Dragic makes free throw 2 of 2,1,24-15,,
4:27.0,,,24-17,2,V. Oladipo makes 2-pt shot from 1 ft
4:13.0,G. Dragic makes 2-pt shot from 13 ft,2,26-17,,
4:01.0,,,26-19,2,V. Oladipo makes 2-pt shot at rim
3:47.0,G. Dragic makes 2-pt shot from 1 ft,2,28-19,,
