time,Sacramento,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. W. Cauley-Stein (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. W. Cauley-Stein (B. Simmons gains possession)
11:39.0,,,0-0,,J. Redick misses 2-pt shot from 21 ft
11:38.0,Defensive rebound by Team,,0-0,,
11:38.0,,,0-0,,Loose ball foul by A. Johnson (drawn by Z. Randolph)
11:28.0,B. Bogdanovic misses 3-pt shot from 25 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by D. Saric
11:17.0,,,0-3,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
11:00.0,B. Bogdanovic makes 2-pt shot from 22 ft,2,2-3,,
10:41.0,,,2-3,,J. Redick misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by W. Cauley-Stein,,2-3,,
10:23.0,Z. Randolph makes 2-pt shot from 14 ft,2,4-3,,
10:15.0,,,4-5,2,B. Simmons makes 2-pt shot from 14 ft
10:05.0,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by D. Fox),2,6-5,,
9:57.0,,,6-5,,D. Saric misses 3-pt shot from 26 ft
9:53.0,,,6-5,,Offensive rebound by A. Johnson
9:46.0,Personal foul by D. Fox (drawn by B. Simmons),,6-5,,
9:40.0,,,6-5,,Turnover by B. Simmons (traveling)
9:22.0,Shooting foul by R. Covington (drawn by W. Cauley-Stein),,6-5,,
9:22.0,W. Cauley-Stein misses free throw 1 of 2,,6-5,,
9:22.0,Offensive rebound by Team,,6-5,,
9:22.0,W. Cauley-Stein misses free throw 2 of 2,,6-5,,
9:20.0,,,6-5,,Defensive rebound by D. Saric
9:07.0,,,6-7,2,B. Simmons makes 2-pt shot from 14 ft
8:59.0,D. Fox misses 2-pt shot from 6 ft,,6-7,,
8:57.0,,,6-7,,Defensive rebound by B. Simmons
8:51.0,,,6-7,,Turnover by R. Covington (lost ball; steal by G. Temple)
8:42.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,6-7,,
8:40.0,,,6-7,,Defensive rebound by A. Johnson
8:27.0,,,6-7,,J. Redick misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by Z. Randolph,,6-7,,
8:13.0,G. Temple misses 2-pt shot from 4 ft,,6-7,,
8:13.0,,,6-7,,Defensive rebound by Team
8:13.0,,,6-7,,T. Booker enters the game for D. Saric
8:13.0,,,6-7,,T. Luwawu-Cabarrot enters the game for R. Covington
8:04.0,,,6-7,,Turnover by B. Simmons (bad pass)
7:48.0,Z. Randolph makes 2-pt shot from 15 ft,2,8-7,,
7:48.0,Shooting foul by A. Johnson (drawn by Z. Randolph),,8-7,,
7:48.0,,,8-7,,R. Holmes enters the game for A. Johnson
7:48.0,Z. Randolph misses free throw 1 of 1,,8-7,,
7:46.0,,,8-7,,Defensive rebound by B. Simmons
7:31.0,,,8-7,,Turnover by T. Luwawu-Cabarrot (bad pass)
7:16.0,Z. Randolph makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,11-7,,
7:15.0,,,11-7,,Philadelphia full timeout
7:15.0,,,11-7,,J. Bayless enters the game for J. Redick
7:03.0,,,11-9,2,B. Simmons makes 2-pt shot from 1 ft
6:46.0,B. Bogdanovic misses 3-pt shot from 26 ft,,11-9,,
6:43.0,,,11-9,,Defensive rebound by R. Holmes
6:32.0,,,11-9,,T. Luwawu-Cabarrot misses 2-pt shot from 20 ft
6:28.0,Defensive rebound by Z. Randolph,,11-9,,
6:22.0,D. Fox makes 2-pt shot from 11 ft,2,13-9,,
6:00.0,,,13-9,,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft
5:57.0,,,13-9,,Offensive rebound by T. Booker
5:53.0,,,13-9,,T. Booker misses 2-pt shot from 11 ft
5:50.0,Defensive rebound by Z. Randolph,,13-9,,
5:45.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by T. Booker),,13-9,,
5:43.0,,,13-9,,Defensive rebound by T. Luwawu-Cabarrot
5:36.0,,,13-11,2,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons)
5:13.0,Z. Randolph makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,15-11,,
5:13.0,Shooting foul by T. Luwawu-Cabarrot (drawn by Z. Randolph),,15-11,,
5:13.0,B. Hield enters the game for D. Fox,,15-11,,
5:13.0,Z. Randolph makes free throw 1 of 1,1,16-11,,
5:00.0,,,16-11,,Shooting foul by W. Cauley-Stein (drawn by T. Booker)
5:00.0,,,16-12,1,T. Booker makes free throw 1 of 2
5:00.0,,,16-12,,R. Covington enters the game for T. Luwawu-Cabarrot
5:00.0,,,16-13,1,T. Booker makes free throw 2 of 2
4:43.0,Z. Randolph misses 3-pt shot from 25 ft,,16-13,,
4:39.0,,,16-13,,Defensive rebound by J. Bayless
4:34.0,,,16-16,3,J. Bayless makes 3-pt shot from 23 ft (assist by B. Simmons)
4:13.0,,,16-16,,Personal foul by R. Holmes (drawn by B. Bogdanovic)
4:13.0,B. Bogdanovic makes free throw 1 of 2,1,17-16,,
4:13.0,K. Koufos enters the game for W. Cauley-Stein,,17-16,,
4:13.0,F. Mason enters the game for G. Temple,,17-16,,
4:13.0,,,17-16,,T. McConnell enters the game for B. Simmons
4:13.0,B. Bogdanovic makes free throw 2 of 2,1,18-16,,
4:01.0,,,18-18,2,T. Booker makes 2-pt shot from 1 ft (assist by T. McConnell)
3:53.0,Sacramento full timeout,,18-18,,
3:43.0,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,21-18,,
3:19.0,,,21-18,,J. Bayless misses 3-pt shot from 26 ft
3:13.0,,,21-18,,Offensive rebound by T. Booker
3:02.0,,,21-21,3,R. Covington makes 3-pt shot from 24 ft (assist by T. Booker)
2:35.0,B. Bogdanovic misses 3-pt shot from 26 ft,,21-21,,
2:32.0,Offensive rebound by K. Koufos,,21-21,,
2:32.0,K. Koufos misses 2-pt shot from 6 ft,,21-21,,
2:29.0,,,21-21,,Defensive rebound by R. Holmes
2:22.0,,,21-23,2,T. McConnell makes 2-pt shot from 1 ft
2:08.0,B. Hield misses 3-pt shot from 25 ft,,21-23,,
2:06.0,Offensive rebound by K. Koufos,,21-23,,
2:02.0,F. Mason makes 2-pt shot from 11 ft (assist by K. Koufos),2,23-23,,
1:50.0,,,23-23,,T. Booker misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by K. Koufos,,23-23,,
1:34.0,Z. Randolph makes 2-pt shot from 10 ft,2,25-23,,
1:34.0,Shooting foul by J. Bayless (drawn by Z. Randolph),,25-23,,
1:34.0,,,25-23,,D. Saric enters the game for T. Booker
1:34.0,J. Jackson enters the game for B. Bogdanovic,,25-23,,
1:34.0,Z. Randolph makes free throw 1 of 1,1,26-23,,
1:25.0,,,26-25,2,T. McConnell makes 2-pt shot from 18 ft (assist by D. Saric)
1:07.0,Z. Randolph misses 3-pt shot from 27 ft,,26-25,,
1:04.0,,,26-25,,Defensive rebound by J. Bayless
0:57.0,,,26-25,,Shooting foul by K. Koufos (drawn by R. Covington)
0:57.0,,,26-26,1,R. Covington makes free throw 1 of 2
0:57.0,S. Labissiere enters the game for Z. Randolph,,26-26,,
0:57.0,,,26-27,1,R. Covington makes free throw 2 of 2
0:35.0,B. Hield makes 2-pt shot from 12 ft,2,28-27,,
0:28.0,,,28-27,,R. Holmes misses 3-pt shot from 26 ft
