time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Allen (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. J. Allen (G. Dragic gains possession)
11:41.0,,,0-3,3,J. Richardson makes 3-pt shot from 23 ft (assist by J. Johnson)
11:14.0,A. Crabbe makes 3-pt shot from 30 ft (assist by R. Hollis-Jefferson),3,3-3,,
11:00.0,,,3-5,2,T. Johnson makes 2-pt shot from 7 ft (assist by J. Johnson)
10:47.0,D. Russell misses 3-pt shot from 25 ft,,3-5,,
10:44.0,,,3-5,,Defensive rebound by T. Johnson
10:37.0,,,3-5,,T. Johnson misses 2-pt shot from 1 ft (block by J. Allen)
10:34.0,Defensive rebound by D. Russell,,3-5,,
10:32.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell),2,5-5,,
10:17.0,,,5-5,,J. Richardson misses 2-pt shot from 16 ft
10:15.0,Defensive rebound by J. Allen,,5-5,,
9:59.0,J. Allen misses 2-pt shot from 3 ft (block by H. Whiteside),,5-5,,
9:57.0,,,5-5,,Defensive rebound by G. Dragic
9:53.0,,,5-5,,H. Whiteside misses 2-pt shot from 2 ft (block by J. Allen)
9:52.0,Defensive rebound by D. Carroll,,5-5,,
9:38.0,J. Allen makes 2-pt shot from 1 ft (assist by D. Russell),2,7-5,,
9:23.0,,,7-8,3,G. Dragic makes 3-pt shot from 24 ft
9:04.0,Shooting foul by J. Johnson (drawn by R. Hollis-Jefferson),,7-8,,
9:04.0,R. Hollis-Jefferson misses free throw 1 of 2,,7-8,,
9:04.0,Offensive rebound by Team,,7-8,,
9:04.0,R. Hollis-Jefferson misses free throw 2 of 2,,7-8,,
9:02.0,,,7-8,,Defensive rebound by J. Richardson
8:48.0,,,7-8,,J. Richardson misses 2-pt shot from 6 ft
8:47.0,,,7-8,,Offensive rebound by H. Whiteside
8:43.0,,,7-10,2,H. Whiteside makes 2-pt shot from 2 ft
8:32.0,D. Carroll misses 3-pt shot from 24 ft,,7-10,,
8:31.0,,,7-10,,Defensive rebound by G. Dragic
8:22.0,,,7-10,,H. Whiteside misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by D. Russell,,7-10,,
8:16.0,Turnover by D. Russell (bad pass; steal by J. Johnson),,7-10,,
7:57.0,,,7-10,,H. Whiteside misses 2-pt shot from 4 ft
7:56.0,Defensive rebound by R. Hollis-Jefferson,,7-10,,
7:50.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Carroll),2,9-10,,
7:31.0,,,9-10,,G. Dragic misses 2-pt shot from 12 ft
7:30.0,Defensive rebound by R. Hollis-Jefferson,,9-10,,
7:26.0,D. Russell misses 3-pt shot from 25 ft,,9-10,,
7:25.0,,,9-10,,Defensive rebound by G. Dragic
7:20.0,,,9-10,,Shooting foul by A. Crabbe (drawn by G. Dragic)
7:20.0,,,9-10,,G. Dragic misses free throw 1 of 2
7:20.0,,,9-10,,Offensive rebound by Team
7:20.0,,,9-10,,K. Olynyk enters the game for H. Whiteside
7:20.0,,,9-11,1,G. Dragic makes free throw 2 of 2
7:03.0,D. Russell misses 2-pt shot from 7 ft,,9-11,,
7:02.0,,,9-11,,Defensive rebound by G. Dragic
6:58.0,,,9-11,,Turnover by J. Johnson (bad pass)
6:58.0,,,9-11,,Miami full timeout
6:42.0,,,9-11,,Personal foul by J. Richardson (drawn by A. Crabbe)
6:37.0,D. Russell misses 2-pt shot from 1 ft,,9-11,,
6:36.0,,,9-11,,Defensive rebound by J. Richardson
6:25.0,,,9-13,2,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic)
6:18.0,Shooting foul by T. Johnson (drawn by A. Crabbe),,9-13,,
6:18.0,A. Crabbe misses free throw 1 of 3,,9-13,,
6:18.0,Offensive rebound by Team,,9-13,,
6:18.0,A. Crabbe makes free throw 2 of 3,1,10-13,,
6:18.0,,,10-13,,W. Ellington enters the game for J. Richardson
6:18.0,D. Cunningham enters the game for D. Carroll,,10-13,,
6:18.0,S. Dinwiddie enters the game for J. Allen,,10-13,,
6:18.0,A. Crabbe makes free throw 3 of 3,1,11-13,,
6:13.0,,,11-15,2,G. Dragic makes 2-pt shot from 1 ft
6:13.0,,,11-15,,Shooting foul by D. Cunningham (drawn by G. Dragic)
6:13.0,,,11-16,1,G. Dragic makes free throw 1 of 1
5:53.0,D. Russell misses 3-pt shot from 25 ft,,11-16,,
5:52.0,,,11-16,,Defensive rebound by G. Dragic
5:36.0,,,11-16,,J. Johnson misses 2-pt shot from 15 ft
5:35.0,Defensive rebound by D. Russell,,11-16,,
5:27.0,Turnover by D. Russell (bad pass),,11-16,,
5:27.0,C. LeVert enters the game for D. Russell,,11-16,,
5:20.0,,,11-19,3,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk)
5:01.0,A. Crabbe misses 2-pt shot from 21 ft,,11-19,,
5:00.0,,,11-19,,Defensive rebound by T. Johnson
4:55.0,,,11-19,,G. Dragic misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by R. Hollis-Jefferson,,11-19,,
4:47.0,S. Dinwiddie misses 3-pt shot from 25 ft,,11-19,,
4:46.0,,,11-19,,Defensive rebound by J. Johnson
4:40.0,,,11-22,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Johnson)
4:40.0,Brooklyn full timeout,,11-22,,
4:40.0,J. Harris enters the game for A. Crabbe,,11-22,,
