time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Kleber (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. M. Kleber (L. Aldridge gains possession)
11:36.0,,,0-0,,L. Aldridge misses 2-pt shot from 11 ft
11:34.0,Defensive rebound by Y. Ferrell,,0-0,,
11:21.0,W. Matthews misses 2-pt shot from 10 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by Team
11:11.0,,,0-0,,P. Gasol misses 2-pt shot from 15 ft
11:08.0,Defensive rebound by H. Barnes,,0-0,,
10:50.0,Y. Ferrell makes 2-pt shot from 18 ft,2,2-0,,
10:39.0,,,2-0,,P. Gasol misses 2-pt shot at rim
10:37.0,Defensive rebound by Y. Ferrell,,2-0,,
10:27.0,M. Kleber makes 3-pt shot from 24 ft (assist by W. Matthews),3,5-0,,
10:06.0,,,5-0,,L. Aldridge misses 2-pt shot from 5 ft
10:03.0,Defensive rebound by W. Matthews,,5-0,,
9:54.0,D. Nowitzki misses 3-pt shot from 24 ft,,5-0,,
9:51.0,,,5-0,,Defensive rebound by L. Aldridge
9:41.0,,,5-0,,P. Gasol misses 2-pt shot from 7 ft
9:38.0,,,5-0,,Offensive rebound by L. Aldridge
9:21.0,,,5-2,2,L. Aldridge makes 2-pt shot from 3 ft
9:02.0,M. Kleber makes 2-pt shot from 20 ft (assist by Y. Ferrell),2,7-2,,
8:49.0,,,7-2,,D. Murray misses 2-pt shot from 2 ft
8:48.0,,,7-2,,Offensive rebound by L. Aldridge
8:48.0,,,7-2,,Shooting foul by D. Nowitzki (drawn by L. Aldridge)
8:48.0,,,7-3,1,L. Aldridge makes free throw 1 of 2
8:48.0,,,7-4,1,L. Aldridge makes free throw 2 of 2
8:31.0,D. Nowitzki misses 3-pt shot from 25 ft,,7-4,,
8:28.0,,,7-4,,Defensive rebound by P. Gasol
8:21.0,,,7-6,2,B. Forbes makes 2-pt shot from 8 ft
7:58.0,H. Barnes makes 2-pt shot from 7 ft,2,9-6,,
7:44.0,,,9-9,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Murray)
7:16.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by W. Matthews),2,11-9,,
7:05.0,,,11-11,2,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol)
6:47.0,,,11-11,,Personal foul by D. Murray (drawn by H. Barnes)
6:47.0,,,11-11,,San Antonio full timeout
6:47.0,S. Mejri enters the game for D. Nowitzki,,11-11,,
6:37.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by H. Barnes),3,14-11,,
6:22.0,,,14-11,,Turnover by B. Forbes (lost ball; steal by W. Matthews)
6:09.0,W. Matthews misses 2-pt shot from 14 ft,,14-11,,
6:06.0,,,14-11,,Defensive rebound by L. Aldridge
5:48.0,,,14-11,,P. Gasol misses 2-pt shot from 8 ft
5:45.0,Defensive rebound by Y. Ferrell,,14-11,,
5:33.0,S. Mejri misses 2-pt shot from 16 ft,,14-11,,
5:33.0,,,14-11,,Defensive rebound by D. Murray
5:24.0,,,14-11,,D. Murray misses 2-pt shot from 8 ft
5:22.0,Defensive rebound by S. Mejri,,14-11,,
5:11.0,Y. Ferrell makes 3-pt shot from 24 ft,3,17-11,,
5:11.0,Shooting foul by D. Murray (drawn by Y. Ferrell),,17-11,,
5:11.0,,,17-11,,M. Ginobili enters the game for D. Murray
5:11.0,,,17-11,,P. Mills enters the game for B. Forbes
5:11.0,,,17-11,,D. Bertans enters the game for P. Gasol
5:11.0,D. Harris enters the game for W. Matthews,,17-11,,
5:11.0,Y. Ferrell makes free throw 1 of 1,1,18-11,,
4:57.0,,,18-11,,R. Gay misses 2-pt shot from 7 ft
4:50.0,Defensive rebound by Y. Ferrell,,18-11,,
4:43.0,S. Mejri makes 2-pt shot at rim (assist by Y. Ferrell),2,20-11,,
4:25.0,,,20-11,,L. Aldridge misses 2-pt shot from 8 ft
4:22.0,,,20-11,,Offensive rebound by L. Aldridge
4:15.0,,,20-11,,M. Ginobili misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by S. Mejri,,20-11,,
3:51.0,H. Barnes makes 3-pt shot from 27 ft (assist by Y. Ferrell),3,23-11,,
3:30.0,,,23-14,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
3:28.0,Dallas full timeout,,23-14,,
3:28.0,,,23-14,,B. Paul enters the game for L. Aldridge
3:28.0,,,23-14,,J. Lauvergne enters the game for R. Gay
3:12.0,D. Harris misses 2-pt shot from 2 ft,,23-14,,
3:05.0,Offensive rebound by S. Mejri,,23-14,,
3:05.0,S. Mejri makes 2-pt shot at rim,2,25-14,,
2:54.0,,,25-14,,Offensive charge foul by J. Lauvergne (drawn by H. Barnes)
2:54.0,,,25-14,,Turnover by J. Lauvergne (offensive foul)
2:54.0,D. Nowitzki enters the game for Y. Ferrell,,25-14,,
2:54.0,D. Powell enters the game for M. Kleber,,25-14,,
2:54.0,J. Barea enters the game for S. Mejri,,25-14,,
2:54.0,W. Matthews enters the game for H. Barnes,,25-14,,
2:37.0,D. Harris misses 3-pt shot from 25 ft,,25-14,,
2:34.0,,,25-14,,Defensive rebound by D. Bertans
2:26.0,,,25-14,,B. Paul misses 2-pt shot from 6 ft
2:26.0,,,25-14,,Offensive rebound by Team
2:26.0,Personal foul by D. Nowitzki (drawn by B. Paul),,25-14,,
2:18.0,,,25-16,2,P. Mills makes 2-pt shot from 18 ft
1:58.0,D. Nowitzki misses 2-pt shot from 11 ft,,25-16,,
1:58.0,,,25-16,,Defensive rebound by D. Bertans
1:51.0,,,25-16,,D. Bertans misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by J. Barea,,25-16,,
1:47.0,Turnover by J. Barea (discontinued dribble),,25-16,,
1:32.0,,,25-18,2,M. Ginobili makes 2-pt shot from 11 ft
1:21.0,J. Barea makes 2-pt shot from 9 ft,2,27-18,,
0:59.0,,,27-18,,M. Ginobili misses 3-pt shot from 28 ft
0:59.0,Defensive rebound by D. Powell,,27-18,,
0:38.0,J. Barea makes 2-pt shot from 1 ft,2,29-18,,
0:32.0,,,29-18,,B. Paul misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by D. Nowitzki,,29-18,,
0:10.0,,,29-18,,Personal foul by J. Lauvergne (drawn by D. Powell)
0:02.0,D. Powell makes 2-pt shot from 17 ft (assist by J. Barea),2,31-18,,
0:00.0,,,31-18,,B. Paul misses 3-pt shot from 36 ft
0:00.0,,,31-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,31-18,,Personal foul by M. Ginobili (drawn by A. Cleveland)
11:46.0,D. Nowitzki misses 3-pt shot from 24 ft,,31-18,,
11:42.0,,,31-18,,Defensive rebound by B. Paul
11:31.0,,,31-20,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Bertans)
11:04.0,D. Nowitzki misses 2-pt shot from 2 ft,,31-20,,
10:58.0,Offensive rebound by D. Powell,,31-20,,
10:58.0,D. Powell makes 2-pt shot at rim,2,33-20,,
10:41.0,,,33-23,3,D. Bertans makes 3-pt shot from 25 ft (assist by M. Ginobili)
10:41.0,,,33-23,,Shooting foul by A. Cleveland (drawn by D. Bertans)
10:41.0,D. Harris enters the game for A. Cleveland,,33-23,,
10:41.0,,,33-24,1,D. Bertans makes free throw 1 of 1
10:41.0,,,33-24,,B. Forbes enters the game for P. Mills
10:41.0,,,33-24,,D. Murray enters the game for M. Ginobili
10:16.0,D. Harris misses 2-pt shot from 14 ft,,33-24,,
10:13.0,,,33-24,,Defensive rebound by J. Lauvergne
