time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Turner (D. Schroder gains possession),,,,Jump ball: D. Dedmon vs. M. Turner (D. Schroder gains possession)
11:44.0,,,0-0,,D. Schroder misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by V. Oladipo,,0-0,,
11:23.0,M. Turner makes 3-pt shot from 25 ft,3,3-0,,
11:10.0,,,3-3,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Collins)
10:55.0,,,3-3,,Personal foul by K. Bazemore (drawn by B. Bogdanovic)
10:50.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,5-3,,
10:39.0,,,5-6,3,D. Dedmon makes 3-pt shot from 25 ft (assist by D. Schroder)
10:24.0,Turnover by B. Bogdanovic (bad pass; steal by D. Dedmon),,5-6,,
10:14.0,,,5-6,,D. Dedmon misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by T. Young,,5-6,,
9:55.0,T. Young makes 3-pt shot from 25 ft (assist by C. Joseph),3,8-6,,
9:37.0,,,8-8,2,J. Collins makes 2-pt shot from 6 ft (assist by K. Bazemore)
9:37.0,,,8-8,,Shooting foul by M. Turner (drawn by J. Collins)
9:37.0,,,8-9,1,J. Collins makes free throw 1 of 1
9:21.0,Turnover by V. Oladipo (lost ball; steal by T. Waller-Prince),,8-9,,
9:11.0,Personal block foul by M. Turner (drawn by T. Waller-Prince),,8-9,,
9:11.0,D. Sabonis enters the game for M. Turner,,8-9,,
9:03.0,,,8-12,3,T. Waller-Prince makes 3-pt shot from 25 ft
8:55.0,Turnover by D. Sabonis (bad pass),,8-12,,
8:45.0,,,8-12,,D. Schroder misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by C. Joseph,,8-12,,
8:36.0,V. Oladipo makes 2-pt shot from 1 ft,2,10-12,,
8:29.0,,,10-12,,Turnover by T. Waller-Prince (lost ball; steal by T. Young)
8:25.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,12-12,,
8:06.0,,,12-12,,Turnover by J. Collins (lost ball; steal by T. Young)
8:01.0,B. Bogdanovic misses 3-pt shot from 23 ft,,12-12,,
7:59.0,,,12-12,,Defensive rebound by Team
7:45.0,,,12-15,3,D. Dedmon makes 3-pt shot from 23 ft (assist by K. Bazemore)
7:24.0,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Young),2,14-15,,
7:04.0,,,14-15,,Turnover by D. Dedmon (bad pass; steal by V. Oladipo)
6:57.0,T. Young misses 3-pt shot from 24 ft,,14-15,,
6:55.0,Offensive rebound by Team,,14-15,,
6:55.0,,,14-15,,Atlanta full timeout
6:55.0,,,14-15,,M. Muscala enters the game for J. Collins
6:39.0,Turnover by D. Sabonis (lost ball; steal by D. Schroder),,14-15,,
6:28.0,,,14-15,,T. Waller-Prince misses 2-pt shot from 1 ft (block by T. Young)
6:24.0,Defensive rebound by D. Sabonis,,14-15,,
6:23.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Dedmon),,14-15,,
6:23.0,Offensive rebound by Team,,14-15,,
6:15.0,C. Joseph misses 2-pt shot from 17 ft,,14-15,,
6:12.0,Offensive rebound by D. Sabonis,,14-15,,
6:10.0,D. Sabonis misses 2-pt shot from 12 ft (block by D. Dedmon),,14-15,,
6:10.0,,,14-15,,Defensive rebound by D. Dedmon
6:03.0,Shooting block foul by B. Bogdanovic (drawn by T. Waller-Prince),,14-15,,
6:03.0,,,14-16,1,T. Waller-Prince makes free throw 1 of 2
6:03.0,,,14-17,1,T. Waller-Prince makes free throw 2 of 2
5:45.0,Turnover by T. Young (out of bounds lost ball),,14-17,,
5:45.0,,,14-17,,T. Dorsey enters the game for K. Bazemore
5:30.0,,,14-19,2,D. Dedmon makes 2-pt shot at rim (assist by T. Waller-Prince)
5:19.0,V. Oladipo makes 2-pt shot from 2 ft,2,16-19,,
5:19.0,Shooting foul by M. Muscala (drawn by V. Oladipo),,16-19,,
5:19.0,V. Oladipo misses free throw 1 of 1,,16-19,,
5:17.0,,,16-19,,Defensive rebound by D. Dedmon
5:03.0,,,16-19,,T. Waller-Prince misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by Team,,16-19,,
5:02.0,G. Robinson enters the game for B. Bogdanovic,,16-19,,
4:52.0,Shooting foul by T. Waller-Prince (drawn by V. Oladipo),,16-19,,
4:52.0,V. Oladipo misses free throw 1 of 2,,16-19,,
4:52.0,Offensive rebound by Team,,16-19,,
4:52.0,V. Oladipo makes free throw 2 of 2,1,17-19,,
4:39.0,,,17-19,,T. Waller-Prince misses 2-pt shot from 1 ft
4:35.0,,,17-19,,Offensive rebound by M. Muscala
4:35.0,,,17-19,,M. Muscala misses 2-pt shot at rim
4:34.0,Defensive rebound by G. Robinson,,17-19,,
4:28.0,V. Oladipo misses 3-pt shot from 24 ft,,17-19,,
4:23.0,,,17-19,,Defensive rebound by D. Schroder
4:17.0,,,17-19,,D. Schroder misses 2-pt shot from 13 ft (block by G. Robinson)
4:14.0,Defensive rebound by G. Robinson,,17-19,,
4:05.0,D. Sabonis misses 2-pt shot from 3 ft,,17-19,,
4:02.0,,,17-19,,Defensive rebound by D. Schroder
4:00.0,,,17-19,,Shooting foul by C. Joseph (drawn by T. Dorsey)
4:00.0,,,17-20,1,T. Dorsey makes free throw 1 of 2
4:00.0,,,17-20,,J. Morris enters the game for T. Waller-Prince
4:00.0,,,17-20,,M. Plumlee enters the game for D. Dedmon
4:00.0,,,17-20,,I. Taylor enters the game for D. Schroder
4:00.0,J. Young enters the game for C. Joseph,,17-20,,
4:00.0,,,17-20,,T. Dorsey misses free throw 2 of 2
3:56.0,,,17-20,,Offensive rebound by M. Muscala
3:56.0,,,17-20,,M. Muscala misses 2-pt shot at rim
3:55.0,Defensive rebound by Team,,17-20,,
3:55.0,,,17-20,,Loose ball foul by M. Plumlee (drawn by D. Sabonis)
3:42.0,T. Young makes 2-pt shot from 17 ft,2,19-20,,
3:23.0,,,19-20,,Turnover by J. Morris (bad pass; steal by T. Young)
3:19.0,Shooting foul by I. Taylor (drawn by V. Oladipo),,19-20,,
3:19.0,V. Oladipo makes free throw 1 of 2,1,20-20,,
3:19.0,V. Oladipo makes free throw 2 of 2,1,21-20,,
3:09.0,,,21-20,,Turnover by I. Taylor (step out of bounds)
2:56.0,V. Oladipo misses 2-pt shot from 13 ft,,21-20,,
2:53.0,,,21-20,,Defensive rebound by T. Dorsey
2:49.0,,,21-20,,M. Plumlee misses 2-pt shot from 2 ft
2:48.0,,,21-20,,Offensive rebound by J. Morris
2:47.0,,,21-22,2,J. Morris makes 2-pt shot from 2 ft
2:40.0,Indiana full timeout,,21-22,,
2:40.0,L. Stephenson enters the game for V. Oladipo,,21-22,,
2:40.0,B. Bogdanovic enters the game for T. Young,,21-22,,
2:30.0,G. Robinson misses 2-pt shot from 18 ft,,21-22,,
2:26.0,,,21-22,,Defensive rebound by I. Taylor
2:21.0,,,21-24,2,M. Plumlee makes 2-pt shot from 6 ft (assist by I. Taylor)
2:11.0,,,21-24,,Violation by M. Plumlee (kicked ball)
2:06.0,J. Young makes 3-pt shot from 24 ft (assist by D. Sabonis),3,24-24,,
1:41.0,,,24-24,,M. Muscala misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by J. Young,,24-24,,
1:28.0,Turnover by D. Sabonis (out of bounds lost ball),,24-24,,
1:09.0,,,24-26,2,I. Taylor makes 2-pt shot from 1 ft (assist by M. Muscala)
0:52.0,Turnover by L. Stephenson (bad pass),,24-26,,
0:38.0,,,24-26,,Shooting foul by J. Young (drawn by I. Taylor)
0:38.0,,,24-27,1,I. Taylor makes free throw 1 of 2
0:38.0,,,24-28,1,I. Taylor makes free throw 2 of 2
0:31.0,J. Young makes 3-pt shot from 24 ft,3,27-28,,
0:08.0,,,27-28,,J. Morris misses 2-pt shot from 5 ft
0:05.0,Defensive rebound by L. Stephenson,,27-28,,
0:01.0,B. Bogdanovic misses 2-pt shot from 6 ft,,27-28,,
0:01.0,,,27-28,,Defensive rebound by M. Plumlee
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,L. Stephenson misses 3-pt shot from 24 ft,,27-28,,
11:39.0,,,27-28,,Defensive rebound by M. Plumlee
11:29.0,,,27-30,2,M. Plumlee makes 2-pt shot at rim (assist by T. Dorsey)
11:15.0,L. Stephenson misses 3-pt shot from 25 ft,,27-30,,
11:12.0,,,27-30,,Defensive rebound by T. Waller-Prince
10:55.0,,,27-30,,T. Dorsey misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by Team,,27-30,,
10:40.0,D. Sabonis misses 3-pt shot from 24 ft,,27-30,,
10:37.0,,,27-30,,Defensive rebound by T. Waller-Prince
10:30.0,,,27-32,2,T. Waller-Prince makes 2-pt shot from 3 ft
10:21.0,B. Bogdanovic makes 2-pt shot from 9 ft (assist by J. Young),2,29-32,,
10:03.0,,,29-32,,M. Plumlee misses 2-pt shot from 8 ft
9:59.0,Defensive rebound by D. Sabonis,,29-32,,
9:57.0,,,29-32,,Personal take foul by M. Plumlee (drawn by D. Sabonis)
9:57.0,,,29-32,,J. Collins enters the game for M. Plumlee
9:57.0,M. Turner enters the game for B. Bogdanovic,,29-32,,
9:47.0,,,29-32,,Shooting block foul by T. Waller-Prince (drawn by D. Sabonis)
9:47.0,D. Sabonis makes free throw 1 of 2,1,30-32,,
9:47.0,,,30-32,,D. Schroder enters the game for I. Taylor
9:47.0,D. Sabonis makes free throw 2 of 2,1,31-32,,
9:31.0,,,31-35,3,T. Waller-Prince makes 3-pt shot from 24 ft
9:23.0,,,31-35,,Personal foul by J. Collins (drawn by M. Turner)
9:23.0,V. Oladipo enters the game for G. Robinson,,31-35,,
9:12.0,M. Turner misses 3-pt shot from 24 ft,,31-35,,
9:09.0,,,31-35,,Defensive rebound by T. Waller-Prince
8:59.0,,,31-35,,T. Dorsey misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by D. Sabonis,,31-35,,
