time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. R. Gobert (N. Young gains possession),,,,Jump ball: J. McGee vs. R. Gobert (N. Young gains possession)
11:44.0,,,0-0,,N. Young misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by J. Ingles,,0-0,,
11:19.0,D. Mitchell misses 2-pt shot from 20 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by N. Young
10:54.0,,,0-2,2,J. McGee makes 2-pt shot from 1 ft
10:39.0,R. Gobert misses 2-pt shot from 2 ft (block by J. McGee),,0-2,,
10:37.0,,,0-2,,Defensive rebound by J. McGee
10:29.0,,,0-4,2,Q. Cook makes 2-pt shot from 11 ft (assist by P. McCaw)
10:15.0,J. Ingles misses 2-pt shot from 6 ft (block by J. McGee),,0-4,,
10:08.0,Offensive rebound by D. Favors,,0-4,,
10:07.0,J. Ingles makes 3-pt shot from 22 ft (assist by D. Favors),3,3-4,,
9:52.0,,,3-4,,P. McCaw misses 2-pt shot from 2 ft (block by D. Mitchell)
9:48.0,Defensive rebound by R. Rubio,,3-4,,
9:35.0,R. Rubio misses 2-pt shot from 6 ft (block by K. Looney),,3-4,,
9:35.0,Offensive rebound by Team,,3-4,,
9:34.0,J. Ingles misses 3-pt shot from 25 ft,,3-4,,
9:33.0,,,3-4,,Defensive rebound by Q. Cook
9:26.0,,,3-4,,J. McGee misses 2-pt shot from 12 ft
9:24.0,Defensive rebound by R. Rubio,,3-4,,
9:20.0,Turnover by R. Rubio (traveling),,3-4,,
9:04.0,,,3-4,,K. Looney misses 2-pt shot from 7 ft (block by D. Favors)
9:01.0,Defensive rebound by D. Favors,,3-4,,
8:48.0,R. Rubio misses 2-pt shot from 18 ft,,3-4,,
8:43.0,,,3-4,,Defensive rebound by J. McGee
8:37.0,,,3-4,,N. Young misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by R. Gobert,,3-4,,
8:22.0,D. Favors misses 3-pt shot from 23 ft,,3-4,,
8:18.0,,,3-4,,Defensive rebound by N. Young
8:10.0,,,3-6,2,Q. Cook makes 2-pt shot from 17 ft
7:54.0,Turnover by J. Ingles (bad pass; steal by J. McGee),,3-6,,
7:50.0,,,3-6,,J. McGee misses 2-pt shot from 1 ft
7:48.0,,,3-6,,Offensive rebound by J. McGee
7:48.0,,,3-6,,J. McGee misses 2-pt shot from 3 ft
7:47.0,,,3-6,,Offensive rebound by P. McCaw
7:44.0,Loose ball foul by R. Rubio (drawn by J. McGee),,3-6,,
7:30.0,,,3-6,,J. McGee misses 2-pt shot from 11 ft
7:30.0,Defensive rebound by Team,,3-6,,
7:30.0,,,3-6,,Loose ball foul by J. McGee (drawn by R. Gobert)
7:18.0,J. Ingles misses 2-pt shot from 4 ft,,3-6,,
7:15.0,,,3-6,,Defensive rebound by K. Looney
7:13.0,,,3-6,,Shooting foul by D. Mitchell (drawn by P. McCaw)
7:13.0,,,3-7,1,P. McCaw makes free throw 1 of 2
7:13.0,,,3-8,1,P. McCaw makes free throw 2 of 2
7:03.0,D. Mitchell makes 2-pt shot from 15 ft,2,5-8,,
6:44.0,,,5-10,2,J. McGee makes 2-pt shot from 6 ft
6:41.0,Utah full timeout,,5-10,,
6:41.0,J. Crowder enters the game for D. Favors,,5-10,,
6:21.0,D. Mitchell misses 3-pt shot from 27 ft,,5-10,,
6:19.0,,,5-10,,Defensive rebound by N. Young
5:59.0,,,5-10,,P. McCaw misses 2-pt shot from 17 ft
5:55.0,Defensive rebound by J. Ingles,,5-10,,
5:41.0,J. Crowder misses 3-pt shot from 26 ft,,5-10,,
5:37.0,,,5-10,,Defensive rebound by Q. Cook
5:30.0,,,5-10,,Offensive foul by N. Young (drawn by R. Rubio)
5:30.0,,,5-10,,Turnover by N. Young (offensive foul)
5:19.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell),2,7-10,,
5:19.0,Shooting foul by P. McCaw (drawn by R. Gobert),,7-10,,
5:19.0,,,7-10,,A. Iguodala enters the game for P. McCaw
5:19.0,,,7-10,,Z. Pachulia enters the game for J. McGee
5:19.0,J. Jerebko enters the game for J. Ingles,,7-10,,
5:19.0,R. Gobert makes free throw 1 of 1,1,8-10,,
5:00.0,,,8-10,,N. Young misses 2-pt shot from 13 ft
4:57.0,,,8-10,,Offensive rebound by Z. Pachulia
4:56.0,,,8-12,2,N. Young makes 2-pt shot from 15 ft (assist by Z. Pachulia)
4:35.0,Offensive foul by R. Gobert (drawn by A. Iguodala),,8-12,,
4:35.0,Turnover by R. Gobert (offensive foul),,8-12,,
4:16.0,,,8-12,,K. Looney misses 2-pt shot from 15 ft
4:13.0,Defensive rebound by J. Jerebko,,8-12,,
4:08.0,,,8-12,,Personal foul by K. Looney (drawn by R. Gobert)
4:08.0,,,8-12,,J. Bell enters the game for K. Looney
4:08.0,R. O'Neale enters the game for R. Rubio,,8-12,,
4:02.0,D. Mitchell misses 2-pt shot from 3 ft,,8-12,,
4:00.0,Offensive rebound by R. Gobert,,8-12,,
4:00.0,R. Gobert makes 2-pt shot at rim,2,10-12,,
3:41.0,,,10-14,2,Q. Cook makes 2-pt shot from 19 ft (assist by A. Iguodala)
3:20.0,J. Jerebko misses 2-pt shot from 2 ft,,10-14,,
3:20.0,,,10-14,,Defensive rebound by Team
3:14.0,,,10-14,,Golden State full timeout
3:14.0,,,10-14,,S. Livingston enters the game for N. Young
3:08.0,,,10-16,2,Z. Pachulia makes 2-pt shot at rim (assist by Q. Cook)
2:46.0,Turnover by J. Jerebko (bad pass; steal by J. Bell),,10-16,,
2:33.0,,,10-19,3,A. Iguodala makes 3-pt shot from 25 ft (assist by Z. Pachulia)
2:11.0,J. Crowder makes 3-pt shot from 26 ft (assist by D. Mitchell),3,13-19,,
1:54.0,,,13-19,,S. Livingston misses 2-pt shot from 10 ft
1:51.0,Defensive rebound by R. Gobert,,13-19,,
1:33.0,R. Gobert makes 2-pt shot from 2 ft,2,15-19,,
1:15.0,,,15-19,,Z. Pachulia misses 2-pt shot from 6 ft (block by R. Gobert)
1:11.0,Defensive rebound by J. Crowder,,15-19,,
1:09.0,Shooting foul by J. Bell (drawn by D. Mitchell),,15-19,,
1:09.0,D. Mitchell misses free throw 1 of 2,,15-19,,
1:09.0,Offensive rebound by Team,,15-19,,
1:09.0,D. Favors enters the game for R. Gobert,,15-19,,
1:09.0,D. Mitchell makes free throw 2 of 2,1,16-19,,
0:51.0,D. Exum enters the game for D. Mitchell,,16-19,,
0:46.0,,,16-22,3,A. Iguodala makes 3-pt shot from 27 ft (assist by J. Bell)
0:34.0,Turnover by D. Exum (bad pass),,16-22,,
0:25.0,,,16-22,,J. Bell misses 2-pt shot from 12 ft
0:23.0,,,16-22,,Offensive rebound by Z. Pachulia
0:23.0,,,16-22,,Z. Pachulia misses 2-pt shot from 1 ft
0:21.0,,,16-22,,Offensive rebound by Z. Pachulia
0:20.0,,,16-22,,Z. Pachulia misses 2-pt shot at rim
0:18.0,Defensive rebound by D. Favors,,16-22,,
0:03.0,D. Favors makes 2-pt shot from 11 ft (assist by D. Exum),2,18-22,,
0:00.0,,,18-22,,S. Livingston misses 3-pt shot from 30 ft
0:00.0,,,18-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Ingles misses 2-pt shot from 18 ft,,18-22,,
11:34.0,,,18-22,,Defensive rebound by S. Livingston
11:27.0,,,18-22,,Turnover by S. Livingston (bad pass)
11:14.0,R. O'Neale makes 2-pt shot from 11 ft,2,20-22,,
10:58.0,,,20-22,,Shooting foul by R. O'Neale (drawn by N. Young)
10:58.0,,,20-23,1,N. Young makes free throw 1 of 2
10:58.0,,,20-24,1,N. Young makes free throw 2 of 2
10:38.0,D. Exum makes 2-pt shot from 7 ft (assist by J. Ingles),2,22-24,,
10:23.0,,,22-24,,A. Iguodala misses 2-pt shot from 16 ft
10:20.0,Defensive rebound by R. O'Neale,,22-24,,
10:07.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Exum),3,25-24,,
9:52.0,,,25-24,,D. West misses 2-pt shot from 13 ft
9:47.0,Defensive rebound by J. Ingles,,25-24,,
9:36.0,Shooting foul by A. Iguodala (drawn by D. Favors),,25-24,,
9:36.0,D. Favors misses free throw 1 of 2,,25-24,,
9:36.0,Offensive rebound by Team,,25-24,,
9:36.0,D. Favors makes free throw 2 of 2,1,26-24,,
9:22.0,,,26-24,,N. Young misses 2-pt shot from 18 ft
9:18.0,Defensive rebound by J. Ingles,,26-24,,
9:18.0,,,26-24,,Personal foul by N. Young (drawn by J. Ingles)
9:18.0,,,26-24,,P. McCaw enters the game for A. Iguodala
9:09.0,D. Exum makes 3-pt shot from 26 ft (assist by J. Ingles),3,29-24,,
8:59.0,,,29-24,,Golden State full timeout
8:59.0,,,29-24,,K. Looney enters the game for J. Bell
8:43.0,,,29-26,2,D. West makes 2-pt shot from 12 ft (assist by N. Young)
8:31.0,D. Exum makes 2-pt shot from 10 ft,2,31-26,,
8:15.0,,,31-28,2,D. West makes 2-pt shot from 17 ft (assist by P. McCaw)
8:04.0,R. O'Neale misses 3-pt shot from 23 ft,,31-28,,
7:57.0,,,31-28,,Defensive rebound by D. West
7:53.0,,,31-28,,Turnover by P. McCaw (bad pass; steal by J. Ingles)
7:41.0,J. Ingles makes 3-pt shot from 26 ft (assist by J. Crowder),3,34-28,,
7:27.0,,,34-28,,Turnover by S. Livingston (bad pass; steal by R. O'Neale)
7:19.0,J. Crowder makes 2-pt shot from 3 ft (assist by D. Exum),2,36-28,,
6:57.0,,,36-30,2,K. Looney makes 2-pt shot from 1 ft
6:46.0,J. Crowder makes 2-pt shot from 20 ft (assist by D. Exum),2,38-30,,
6:24.0,,,38-32,2,P. McCaw makes 2-pt shot from 1 ft
6:14.0,J. Crowder makes 3-pt shot from 26 ft (assist by J. Ingles),3,41-32,,
5:48.0,,,41-32,,K. Looney misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by D. Favors,,41-32,,
5:29.0,J. Crowder misses 2-pt shot from 22 ft,,41-32,,
5:26.0,,,41-32,,Defensive rebound by S. Livingston
5:22.0,,,41-34,2,K. Looney makes 2-pt shot from 2 ft (assist by S. Livingston)
5:21.0,Utah full timeout,,41-34,,
5:21.0,,,41-34,,Q. Cook enters the game for D. West
5:21.0,,,41-34,,A. Iguodala enters the game for N. Young
5:21.0,,,41-34,,J. McGee enters the game for S. Livingston
5:21.0,D. Mitchell enters the game for J. Ingles,,41-34,,
5:21.0,R. Rubio enters the game for D. Exum,,41-34,,
5:21.0,R. Gobert enters the game for J. Crowder,,41-34,,
5:00.0,R. Rubio misses 2-pt shot from 20 ft,,41-34,,
4:56.0,,,41-34,,Defensive rebound by A. Iguodala
4:39.0,,,41-36,2,J. McGee makes 2-pt shot from 10 ft (assist by Q. Cook)
4:23.0,D. Favors misses 2-pt shot from 20 ft,,41-36,,
4:20.0,,,41-36,,Defensive rebound by Q. Cook
4:11.0,,,41-38,2,J. McGee makes 2-pt shot from 1 ft (assist by A. Iguodala)
4:10.0,Utah full timeout,,41-38,,
4:10.0,J. Crowder enters the game for D. Favors,,41-38,,
3:55.0,D. Mitchell misses 2-pt shot from 18 ft,,41-38,,
3:52.0,Offensive rebound by Team,,41-38,,
3:52.0,,,41-38,,Loose ball foul by K. Looney (drawn by R. Gobert)
3:45.0,D. Mitchell makes 2-pt shot from 2 ft,2,43-38,,
3:28.0,,,43-38,,P. McCaw misses 2-pt shot from 3 ft (block by R. Gobert)
3:25.0,Defensive rebound by R. Gobert,,43-38,,
3:15.0,Turnover by R. Rubio (bad pass; steal by K. Looney),,43-38,,
3:15.0,Personal foul by D. Mitchell (drawn by Q. Cook),,43-38,,
3:15.0,J. Ingles enters the game for R. O'Neale,,43-38,,
3:00.0,,,43-40,2,Q. Cook makes 2-pt shot from 17 ft
2:44.0,J. Ingles misses 2-pt shot from 21 ft,,43-40,,
2:43.0,Offensive rebound by R. Gobert,,43-40,,
2:43.0,R. Gobert makes 2-pt shot from 3 ft,2,45-40,,
2:43.0,Shooting foul by A. Iguodala (drawn by R. Gobert),,45-40,,
2:43.0,R. Gobert misses free throw 1 of 1,,45-40,,
2:41.0,,,45-40,,Defensive rebound by J. McGee
2:32.0,Personal foul by R. Rubio (drawn by J. McGee),,45-40,,
2:28.0,,,45-40,,Turnover by P. McCaw (bad pass; steal by R. Rubio)
2:11.0,R. Rubio makes 2-pt shot from 19 ft (assist by R. Gobert),2,47-40,,
1:59.0,,,47-40,,Q. Cook misses 2-pt shot from 13 ft
1:55.0,Defensive rebound by J. Crowder,,47-40,,
1:50.0,Turnover by D. Mitchell (bad pass; steal by K. Looney),,47-40,,
1:42.0,,,47-40,,Q. Cook misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by D. Mitchell,,47-40,,
1:34.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell),2,49-40,,
1:26.0,,,49-40,,Golden State full timeout
1:26.0,,,49-40,,N. Young enters the game for P. McCaw
1:26.0,R. Rubio makes technical free throw,1,50-40,,
1:07.0,,,50-40,,A. Iguodala misses 2-pt shot from 1 ft
1:06.0,,,50-40,,Offensive rebound by J. McGee
1:06.0,,,50-40,,J. McGee misses 2-pt shot from 1 ft
1:05.0,,,50-40,,J. McGee misses 2-pt shot from 1 ft (block by R. Gobert)
1:05.0,,,50-40,,Offensive rebound by J. McGee
1:04.0,,,50-40,,Offensive rebound by A. Iguodala
1:03.0,Violation by R. Gobert (kicked ball),,50-40,,
0:55.0,,,50-40,,Q. Cook misses 2-pt shot from 4 ft (block by R. Gobert)
0:54.0,,,50-40,,Offensive rebound by K. Looney
0:52.0,,,50-40,,Shooting foul by J. Crowder (drawn by K. Looney)
0:52.0,,,50-41,1,K. Looney makes free throw 1 of 2
0:52.0,,,50-41,,P. McCaw enters the game for Q. Cook
0:52.0,,,50-42,1,K. Looney makes free throw 2 of 2
0:37.0,R. Gobert misses 2-pt shot from 7 ft,,50-42,,
0:33.0,,,50-42,,Defensive rebound by K. Looney
0:31.0,,,50-45,3,A. Iguodala makes 3-pt shot from 27 ft (assist by K. Looney)
0:11.0,D. Mitchell makes 3-pt shot from 25 ft,3,53-45,,
0:02.0,,,53-47,2,N. Young makes 2-pt shot from 1 ft
0:00.0,D. Mitchell misses 3-pt shot from 40 ft,,53-47,,
0:00.0,Offensive rebound by Team,,53-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Gobert),3,56-47,,
11:28.0,,,56-47,,Q. Cook misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by R. Gobert,,56-47,,
11:17.0,J. Ingles misses 3-pt shot from 23 ft,,56-47,,
11:12.0,,,56-47,,Defensive rebound by J. McGee
10:57.0,,,56-50,3,N. Young makes 3-pt shot from 23 ft (assist by K. Looney)
10:42.0,,,56-50,,Personal foul by J. McGee (drawn by J. Ingles)
10:34.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,58-50,,
10:15.0,,,58-50,,N. Young misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by D. Favors,,58-50,,
10:11.0,Shooting foul by P. McCaw (drawn by J. Ingles),,58-50,,
10:11.0,,,58-50,,Technical foul by N. Young
10:11.0,R. Rubio makes technical free throw,1,59-50,,
10:11.0,J. Ingles makes free throw 1 of 2,1,60-50,,
10:11.0,J. Ingles makes free throw 2 of 2,1,61-50,,
10:00.0,,,61-50,,K. Looney misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by Team,,61-50,,
9:47.0,R. Rubio misses 2-pt shot from 7 ft (block by Q. Cook),,61-50,,
9:47.0,Offensive rebound by Team,,61-50,,
9:38.0,D. Mitchell makes 2-pt shot from 5 ft (assist by J. Ingles),2,63-50,,
9:32.0,,,63-50,,Golden State full timeout
9:16.0,,,63-50,,Q. Cook misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by J. Ingles,,63-50,,
